11/05/2018 05:53:08 AM - INFO - Symbol: MDG number of records: 504
11/05/2018 05:53:09 AM - INFO - Symbol: ONE number of records: 400
11/05/2018 05:53:09 AM - INFO - Symbol: CNW number of records: 1980
11/05/2018 05:53:09 AM - INFO - Symbol: SRH number of records: 1332
11/05/2018 05:53:10 AM - INFO - Symbol: KLL number of records: 206
11/05/2018 05:53:10 AM - INFO - Symbol: ESM number of records: 572
11/05/2018 05:53:10 AM - INFO - Symbol: KTA number of records: 598
11/05/2018 05:53:11 AM - INFO - Symbol: ING number of records: 312
11/05/2018 05:53:11 AM - INFO - Symbol: PSP number of records: 1004
11/05/2018 05:53:11 AM - INFO - Symbol: AOH number of records: 2565
11/05/2018 05:53:12 AM - INFO - Symbol: CT1 number of records: 179
11/05/2018 05:53:12 AM - INFO - Symbol: YHL number of records: 48
11/05/2018 05:53:12 AM - INFO - Symbol: MGU number of records: 946
11/05/2018 05:53:13 AM - INFO - Symbol: TAU number of records: 239
11/05/2018 05:53:13 AM - INFO - Symbol: WAX number of records: 2183
11/05/2018 05:53:13 AM - INFO - Symbol: AAP number of records: 567
11/05/2018 05:53:14 AM - INFO - Symbol: GMA number of records: 941
11/05/2018 05:53:14 AM - INFO - Symbol: WCN number of records: 1720
11/05/2018 05:53:14 AM - INFO - Symbol: NCC number of records: 615
11/05/2018 05:53:15 AM - INFO - Symbol: SXS number of records: 1192
11/05/2018 05:53:15 AM - INFO - Symbol: GUL number of records: 1051
11/05/2018 05:53:15 AM - INFO - Symbol: GOR number of records: 2340
11/05/2018 05:53:15 AM - INFO - Symbol: SGT number of records: 2003
11/05/2018 05:53:16 AM - INFO - Symbol: DCC number of records: 2059
11/05/2018 05:53:16 AM - INFO - Symbol: RCG number of records: 2339
11/05/2018 05:53:16 AM - INFO - Symbol: HVN number of records: 2682
11/05/2018 05:53:16 AM - INFO - Symbol: AZC number of records: 497
11/05/2018 05:53:17 AM - INFO - Symbol: SEG number of records: 1777
11/05/2018 05:53:17 AM - INFO - Symbol: LGD number of records: 2097
11/05/2018 05:53:17 AM - INFO - Symbol: MGC number of records: 654
11/05/2018 05:53:17 AM - INFO - Symbol: CL8 number of records: 1065
11/05/2018 05:53:18 AM - INFO - Symbol: ALD number of records: 301
11/05/2018 05:53:18 AM - INFO - Symbol: NUF number of records: 2666
11/05/2018 05:53:18 AM - INFO - Symbol: MRM number of records: 2676
11/05/2018 05:53:19 AM - INFO - Symbol: GBI number of records: 1380
11/05/2018 05:53:19 AM - INFO - Symbol: KYK number of records: 303
11/05/2018 05:53:19 AM - INFO - Symbol: AMN number of records: 1327
11/05/2018 05:53:19 AM - INFO - Symbol: PLV number of records: 1508
11/05/2018 05:53:20 AM - INFO - Symbol: CNI number of records: 2446
11/05/2018 05:53:20 AM - INFO - Symbol: VIA number of records: 240
11/05/2018 05:53:20 AM - INFO - Symbol: GAP number of records: 1929
11/05/2018 05:53:21 AM - INFO - Symbol: MNB number of records: 1102
11/05/2018 05:53:21 AM - INFO - Symbol: VTG number of records: 2426
11/05/2018 05:53:21 AM - INFO - Symbol: ATT number of records: 12
11/05/2018 05:53:21 AM - INFO - Symbol: MEY number of records: 1662
11/05/2018 05:53:22 AM - INFO - Symbol: CPK number of records: 396
11/05/2018 05:53:22 AM - INFO - Symbol: IDL number of records: 383
11/05/2018 05:53:22 AM - INFO - Symbol: CVY number of records: 751
11/05/2018 05:53:22 AM - INFO - Symbol: OSP number of records: 1180
11/05/2018 05:53:23 AM - INFO - Symbol: TRL number of records: 1006
11/05/2018 05:53:23 AM - INFO - Symbol: SRI number of records: 2489
11/05/2018 05:53:23 AM - INFO - Symbol: MOC number of records: 2678
11/05/2018 05:53:23 AM - INFO - Symbol: E88 number of records: 570
11/05/2018 05:53:24 AM - INFO - Symbol: CDA number of records: 2446
11/05/2018 05:53:24 AM - INFO - Symbol: RMR number of records: 1764
11/05/2018 05:53:24 AM - INFO - Symbol: EMG number of records: 1479
11/05/2018 05:53:24 AM - INFO - Symbol: CLR number of records: 783
11/05/2018 05:53:25 AM - INFO - Symbol: ENL number of records: 223
11/05/2018 05:53:25 AM - INFO - Symbol: MKO number of records: 756
11/05/2018 05:53:25 AM - INFO - Symbol: SAU number of records: 2262
11/05/2018 05:53:26 AM - INFO - Symbol: RMP number of records: 1452
11/05/2018 05:53:26 AM - INFO - Symbol: ERA number of records: 2678
11/05/2018 05:53:26 AM - INFO - Symbol: AER number of records: 190
11/05/2018 05:53:27 AM - INFO - Symbol: ALB number of records: 644
11/05/2018 05:53:27 AM - INFO - Symbol: GLF number of records: 1620
11/05/2018 05:53:27 AM - INFO - Symbol: GHC number of records: 2203
11/05/2018 05:53:28 AM - INFO - Symbol: PIC number of records: 441
11/05/2018 05:53:28 AM - INFO - Symbol: SRE number of records: 604
11/05/2018 05:53:28 AM - INFO - Symbol: GSZ number of records: 856
11/05/2018 05:53:28 AM - INFO - Symbol: SRY number of records: 342
11/05/2018 05:53:29 AM - INFO - Symbol: ATS number of records: 307
11/05/2018 05:53:29 AM - INFO - Symbol: OTI number of records: 227
11/05/2018 05:53:29 AM - INFO - Symbol: NEC number of records: 1051
