"symbol","previousClose","open","dividendYield","dividendPerShare","dividendPayDate","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","1YrTargetPrice","daysValueChange","pricePaid","holdingsGainPercent","annualizedGain","holdingsGain","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","epsEstimateNextYear","epsEstimateNextQuarter","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","tickerTrend","holdingsValue"
"AO1",0.23,0.22,,,,,-0.02,-0.0638,"2017-01-30",0.22,0.22,0.22,,,,,,,0.22,0.02,13320000000,,"ASX",25000,-2.92,,,0,0,"0.00",,,,0,,,"0.00",,
"AOA",0.009,0.008,,,,,-0.001,-0.11111,"2017-01-30",0.008,0.008,0.008,,,,,,,0.015,0.005,1920000,,"ASX",1000000,-0.004,,,0,0.01,"-301544.00",,0.9,,0,,,"0.000",,
"AOD",0.7,0.71,,,,,0.01,0.020099999999999996,"2017-01-30",0.71,0.71,0.71,,,,,,,0.75,0.67,14220000000,,"ASX",21428,-0.13,,,0,0.71,"0.00",,0.98,,0,,,"0.00",,
"AOF",2.05,2.08,,,,"9/29/2016",0.01,0.0049,"2017-01-30",2.05,2.08,2.06,,,,,,,2.29,1.97,,,"ASX",13857,,0.17,,0,0,"0.00",,,,0,,,"0.00",,
"AOG",3.19,3.16,,,,"6/29/2016",-0.01,-0.0031,"2017-01-30",3.14,3.22,3.18,,,,,,,3.69,2.77,1720000000,,"ASX",772332,0.22,0.19,,0,3.01,61000000,3.89,1.06,14.39,0.75,16.74,13.83,"0.00",,
"AOH",0.14,0.14,,,,,0,0.037000000000000005,"2017-01-30",0.14,0.14,0.14,,,,,,,0.15,0.09,75180000,,"ASX",293741,-0.01,-0.01,,0,0.11,-6320000,,1.26,,-1.23,,,"0.00",,
"AOK",0.04,0.05,,,,,0,-0.0909,"2017-01-30",0.04,0.05,0.04,,,,,,,0.07,0.04,22500000,,"ASX",526511,-0.04,0,,0,0.07,"-127324.00",3.23,0.66,,0,,,"0.00",,
"AON",0.15,0.145,,,,,-0.005,-0.03333,"2017-01-30",0.145,0.145,0.145,,,,,,,0.15,0.03,18000000,,"ASX",750,-0.473,,,0,0.046,-1060000,2233.873,3.261,,0,,,"0.000",,
"AOP",0.07,0.07,,,,,0,0,"2017-01-30",0.07,0.07,0.07,,,,,,,0.2,0.05,10310000,,"ASX",10500,0,,,0,0.05,"22536.00",45.87,1.3,,0,,,"0.00",,
"AOU",0.2,0.23,,,,,0.015,0.075,"2017-01-30",0.2,0.23,0.215,,,,,,,0.23,0.061,16510000.000000002,,"ASX",248897,0.038,,,0,0.113,-1250000,349.995,1.77,5.658,0,,,"0.000",,
