"symbol","previousClose","open","dividendYield","dividendPerShare","dividendPayDate","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","1YrTargetPrice","daysValueChange","pricePaid","holdingsGainPercent","annualizedGain","holdingsGain","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","epsEstimateNextYear","epsEstimateNextQuarter","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","tickerTrend","holdingsValue"
"CHZ",0.044,0.044,,,,,-0.002,-0.04545,"2017-01-30",0.042,0.044,0.042,,,,,,,0.046,0.029,5010000,,"ASX",671070,-0.003,-0.02,,0,0.033,"-357780.00",46.244,1.333,,0,,,"0.000",,
"CIA",1.1,1.08,,,,,0.045,0.04091,"2017-01-30",1.05,1.18,1.145,,,,,,,1.34,0.13,441890000,,"ASX",1280940,-0.045,-0.01,,0,0.198,-12750000,2455.729,5.556,,0,,,"0.000",,
"CIE",0.96,0.96,,,,"2/17/2016",0,-0.0052,"2017-01-30",0.96,0.98,0.96,,,,,,,1.05,0.91,,,"ASX",394608,,,,0,0,"0.00",,,,0,,,"0.00",,
"CIM",34.91,34.7,,,,"9/12/2016",0.02,0.0006,"2017-01-30",34.34,35.04,34.93,,,,,,,39.82,22.96,11520000000,,"ASX",204982,1.63,1.56,,0,11.28,1270000000,1.09,3.09,21.39,16.03,22.39,21.04,"0.00",,
"CIN",32.36,32.42,,,,,0.24,0.0074,"2017-01-30",32.42,32.6,32.6,,,,,,,33,29.55,863050000,,"ASX",3845,1.58,,,0,29.33,"0.00",19.79,1.1,20.65,0,,,"0.00",,
"CIO",0.023,0.024,,,,,0,0,"2017-01-30",0.023,0.024,0.023,,,,,,,0.024,0.023,18170000,,"ASX",369247,-0.003,,,0,0.01,-2620000,76.709,2.3,,0,,,"0.000",,
"CKA",0.017,0.016,,,,,-0.001,-0.05882,"2017-01-30",0.016,0.016,0.016,,,,,,,0.07,0.013,9490000,,"ASX",838700,-0.061,-0.03,,0,0.04,-2430000,23.672,0.425,,0,,,"0.000",,
"CKF",6.06,6.06,,,,"12/7/2016",-0.06,-0.009899999999999999,"2017-01-30",5.98,6.1,6,,,,,,,6.73,3.49,575240000,,"ASX",178838,0.32,0.37,,0,2.17,77420000,0.99,2.8,18.75,1.11,16.22,14.63,"0.00",,
"CL1",2.76,2.75,,,,"7/22/2016",-0.08,-0.028999999999999998,"2017-01-30",2.66,2.8,2.68,,,,,,,4.2,1.86,313080000,,"ASX",122527,0.05,0.07,,0,0.16,8780000,14.18,17.14,58.26,1.25,38.29,29.78,"0.00",,
"CL8",0.02,0.02,,,,,-0.003,-0.15,"2017-01-30",0.016,0.02,0.017,,,,,,,0.039,0.016,6680000,,"ASX",5918387,-0.006,,,0,0.006,-2120000,12.8,3.333,,0,,,"0.000",,
"CLA",0.031,0.033,,,,,0.001,0.03226,"2017-01-30",0.031,0.035,0.032,,,,,,,2,0.015,"51648.00",,"ASX",11370029,-0.393,0,,0,-0.561,18090000,21.52,,,0,,,"0.000",,
"CLH",1.45,1.46,8.18,0.09,,"3/9/2016",0.01,0.0069,"2017-01-30",1.45,1.47,1.46,,,,,,,1.64,0.93,196350000,,"ASX",125390,0.14,0.15,,0,1.34,39620000,1.47,1.08,10.5,5.22,9.73,9.12,"0.00",,
"CLQ",0.595,0.6,,,,,-0.01,-0.016810000000000002,"2017-01-30",0.585,0.64,0.585,,,,,,,0.67,0.115,255680000,,"ASX",2625463,-0.016,0.02,,0,0.052,-5490000,178.849,11.442,,0,,,"0.000",,
"CLT",0.25,0.26,,,,"9/8/2016",0,0.0196,"2017-01-30",0.26,0.26,0.26,,,,,,,0.28,0.1,13510000,,"ASX",2100,0.03,,,0,0.26,2230000,0.18,0.97,7.88,0,,,"0.00",,
"CLV",0.54,0.52,,,,"10/27/2016",-0.02,-0.027999999999999997,"2017-01-30",0.52,0.53,0.52,,,,,,,0.69,0.25,85890000,,"ASX",101905,0.01,0.02,,0,0.18,3260000,2.06,2.92,40,0.74,26,13,"0.00",,
"CLW",3.88,3.9,,,,,-0.07,-0.018000000000000002,"2017-01-30",3.81,3.91,3.81,,,,,,,4.29,3.6,,,"ASX",74645,,0.17,,0,0,"0.00",,,,0,22.41,14.11,"0.00",,
"CLX",0.85,0.85,,,,"3/31/2016",0,0,"2017-01-30",0.85,0.85,0.85,,,,,,,1.08,0.7,58250000,,"ASX",4590,0.3,0.05,,0,1.17,11240000,0.39,0.72,2.81,0,17,14.17,"0.00",,
"CLY",0.005,0.005,,,,,0,0,"2017-01-30",0.005,0.005,0.005,,,,,,,0.007,0.001,11790000,,"ASX",1000000,-0.002,,,0,0.001,-1320000,930.657,5,,0,,,"0.000",,
"CLZ",0.006,0.008,,,,,0.002,0.33332999999999996,"2017-01-30",0.008,0.008,0.008,,,,,,,0.008,0.002,2600000,,"ASX",98131,0.007,,,0,0.002,"-708335.00",1374.245,3,1.143,0,,,"0.000",,
"CM8",0.12,0.12,,,,,0,0,"2017-01-30",0.12,0.12,0.12,,,,,,,0.3,0.08,20710000,,"ASX",130887,0,0.02,,0,0.14,6310000,0.56,0.88,24,0,,,"0.00",,
"CMA",2.18,2.18,,,,"9/29/2016",0.02,0.0092,"2017-01-30",2.18,2.21,2.2,,,,,,,2.4,1.96,,,"ASX",17460,0.22,0.19,,0,0,"0.00",,,,0,11.58,11.58,"0.00",,
"CMC",0.043,0.037,,,,,-0.008,-0.18605,"2017-01-30",0.035,0.037,0.035,,,,,,,0.055,0.003,6830000,,"ASX",252289,-0.011,,,0,0.058,-1940000,738.85,0.741,,0,,,"0.000",,
"CMI",0.93,0.93,,,,"8/24/2016",-0.02,-0.0215,"2017-01-30",0.9,0.93,0.91,,,,,,,1.35,0.79,31720000,,"ASX",37599,0.1,0.14,,0,1.46,5100000,0.79,0.64,9.29,0,,,"0.00",,
"CMM",0.1,0.1,,,,,0,0,"2017-01-30",0.1,0.1,0.1,,,,,,,0.18,0.05,48690000,,"ASX",146505,-0.01,,,0,0.05,-1500000,196.26,2.08,,0,,,"0.00",,
"CMP",0.675,0.675,,,,"11/23/2004",-0.02,-0.02963,"2017-01-30",0.65,0.675,0.655,,,,,,,0.93,0.315,110580000,,"ASX",29155,0.019,0.04,,0,0.086,3480000,3.035,7.849,34.474,0,16.375,9.357,"0.000",,
"CMT",0.065,0.065,,,,,0,0,"2017-01-30",0.065,0.065,0.065,,,,,,,0.065,0.016,5000000,,"ASX",100000,0.023,,,0,0.076,"-734085.00",,0.855,2.826,0,,,"0.000",,
"CMW",0.99,0.99,,,,"9/29/2016",-0.015,-0.015149999999999999,"2017-01-30",0.97,0.99,0.975,,,,,,,1.115,0.885,1710000000,,"ASX",2157351,0.188,0.08,,0,-0.003,235000000,4.826,,5.186,-7.83,12.188,12.188,"0.000",,
"CMY",0.001,0.001,,,,,0,0,"2017-01-30",0.001,0.001,0.001,,,,,,,0.01,0.001,1510000,,"ASX",8100000,-0.004,-0.06,,0,0.003,-3870000,,0.333,,0,,,"0.000",,
"CND",0.1,0.1,,,,"3/5/2012",0,0,"2017-01-30",0.1,0.1,0.1,,,,,,,0.21,0.08,8960000,,"ASX",113836,-0.04,0.02,,0,0.23,"-675000.00",0.05,0.43,,0,,,"0.00",,
"CNI",1.1,1.14,,,,"12/29/2016",0.05,0.0455,"2017-01-30",1.14,1.19,1.15,,,,,,,1.19,0.9,88130000,,"ASX",360236,0.15,0.1,,0,1.54,18440000,1.26,0.71,7.47,2.6,11.5,12.78,"0.00",,
"CNJ",0.045,0.045,,,,,0,0,"2017-01-30",0.045,0.048,0.045,,,,,,,0.048,0.01,13290000,,"ASX",1969952,0,,,0,0.05,"-407012.00",6320.617,0.9,,0,,,"0.000",,
"CNU",4.06,4.03,,,,"9/22/2016",-0.14,-0.0345,"2017-01-30",3.9,4.03,3.92,,,,,,,4.48,3.34,1570000000,,"ASX",100281,0.14,0.31,,0,1.58,395310000,2.23,2.58,28.41,2.01,12.65,14,"0.00",,
"CNW",0.02,0.02,,,,,-0.001,-0.05,"2017-01-30",0.019,0.02,0.019,,,,,,,0.041,0.019,,,"ASX",1402631,,,,0,0,"0.00",,,,0,,,"0.000",,
"COE",0.365,0.365,,,,,0.01,0.0274,"2017-01-30",0.36,0.375,0.375,,,,,,,0.385,0.126,163190000,,"ASX",7289916,-0.102,0.02,,0,0.21,-2069999.9999999998,7.841,1.738,,0,18.75,12.5,"0.000",,
"COH",127.36,126.2,2.62,2.52,,"9/7/2016",-2.1,-0.0165,"2017-01-30",124.69,127,125.26,,,,,,,144.12,89.97,7160000000,,"ASX",136613,3.3,3.87,,0,7.84,277050000,6.44,16.24,37.96,2.27,32.37,28.53,"0.00",,
"COI",0.084,0.08,,,,,0.001,0.011899999999999999,"2017-01-30",0.08,0.085,0.085,,,,,,,0.097,0.05,44730000,,"ASX",90000,-0.007,0,,0,0.055,-1660000,1227.951,1.527,,0,,,"0.000",,
"COM",0.013,0.013,,,,"4/5/2001",0,0,"2017-01-30",0.013,0.013,0.013,,,,,,,0.022,0.01,9320000,,"ASX",168000,-0.006,,,0,0.008,-2089999.9999999998,1.026,1.625,,0,,,"0.000",,
"COO",0.065,0.066,,,,"2/11/2015",0.001,0.01538,"2017-01-30",0.066,0.066,0.066,,,,,,,0.135,0.056,16890000,,"ASX",61737,0,,,0,0.078,1660000,1.067,0.833,,0,,,"0.000",,
"CPH",0.22,0.23,,,,,0.01,0.0222,"2017-01-30",0.23,0.23,0.23,,,,,,,0.39,0.19,7300000,,"ASX",167517,0,,,0,0,"-21000.00",58.31,225,,0,,,"0.00",,
"CPU",12.9,12.85,3.05,0.28,,"8/16/2016",-0.07,-0.0054,"2017-01-30",12.72,12.87,12.83,,,,,,,12.87,8.64,7020000000,,"ASX",762054,0.28,0.55,,0,2,428780000,3.59,6.44,45.02,2.26,23.33,21.38,"0.00",,
"CQR",4.27,4.25,,,,"6/29/2016",-0.04,-0.009399999999999999,"2017-01-30",4.22,4.27,4.23,,,,,,,4.98,4.05,1710000000,,"ASX",1065062,0.46,0.3,,0,3.79,"0.00",7.01,1.13,9.26,5.27,14.1,13.22,"0.00",,
"CR8",0.089,0.09,,,,,0,0,"2017-01-30",0.087,0.091,0.089,,,,,,,0.105,0.019,,,"ASX",8445354,0.013,,,0,0,"-338858.00",,,,0,,,"0.000",,
"CSL",112.88,111.9,1.89,1.57,,"9/13/2016",-1.48,-0.0131,"2017-01-30",111,112.69,111.4,,,,,,,121.25,91.62,50870000000,,"ASX",1324873,2.68,2.94,,0,5.62,1640000000,8.72,20.08,41.52,1.72,37.89,31.38,"0.00",,
"CSR",4.51,4.49,6.09,0.19,,"11/11/2016",-0.04,-0.0089,"2017-01-30",4.41,4.5,4.47,,,,,,,4.72,2.41,2260000000,,"ASX",1387029,0.35,0.37,,0,2.44,316100000,0.95,1.85,12.66,1.64,12.08,13.15,"0.00",,
"CSS",0.034,0.035,,,,,0.001,0.02941,"2017-01-30",0.035,0.035,0.035,,,,,,,0.054,0.029,38680000,,"ASX",1558791,-0.008,0,,0,0.039,-8020000,1.249,0.872,,0,,,"0.000",,
"CSV",0.82,0.83,,,,"8/19/2016",-0.05,-0.0545,"2017-01-30",0.78,0.83,0.78,,,,,,,1.75,0.68,248880000,,"ASX",860066,0.05,0.08,,0,0.86,48360000,1.07,0.96,14.44,0.7,9.75,8.67,"0.00",,
"CTD",17.38,17.4,2.03,0.26,,"3/4/2016",0.14,0.008100000000000001,"2017-01-30",17.2,17.62,17.52,,,,,,,19.15,10.87,1720000000,,"ASX",177307,0.43,0.59,,0,2.62,69200000,6.44,6.64,40.93,81.56,29.69,24,"0.00",,
"CTL",0.019,0.02,,,,,-0.001,-0.052629999999999996,"2017-01-30",0.017,0.02,0.018,,,,,,,0.042,0.017,12700000,,"ASX",1984420,-0.003,,,0,0.056,-1220000,69.242,0.339,,0,,,"0.000",,
"CTM",0.007,0.006,,,,,-0.001,-0.14286,"2017-01-30",0.006,0.006,0.006,,,,,,,0.022,0.003,3960000,,"ASX",24773276,-0.001,-0.03,,0,0.006,"-786617.00",,1.167,,0,,,"0.000",,
"CTN",1.11,1.11,,,,,-0.02,-0.018000000000000002,"2017-01-30",1.09,1.11,1.09,,,,,,,1.2,0.88,,,"ASX",169800,0.11,,,0,0,"0.00",,,,0,,,"0.00",,
"CTO",0.013,0.013,,,,,0,0,"2017-01-30",0.013,0.013,0.013,,,,,,,0.02,0.01,23220000,,"ASX",1000000,-0.005,,,0,0.052,-4800000,,0.25,,0,,,"0.000",,
"CTP",0.19,0.19,,,,,-0.005,-0.02632,"2017-01-30",0.185,0.19,0.185,,,,,,,0.21,0.08,80140000,,"ASX",359196,-0.052,-0.01,,0,0.038,-1860000,3.449,5,,0,,,"0.000",,
"CTX",29.51,29.2,5.85,1.31,,"9/7/2016",-0.5,-0.0169,"2017-01-30",28.91,29.5,29.01,,,,,,,38.12,28.43,7570000000,,"ASX",775115,1.74,1.98,,0,10.04,941140000,0.41,2.94,16.72,2.47,14.65,13.25,"0.00",,
"CUA",2.19,2.19,,,,"12/29/2016",0.01,0.0046,"2017-01-30",2.19,2.2,2.2,,,,,,,2.35,1.96,161220000000,,"ASX",15143,,,,0,0,"0.00",,,,0,,,"0.00",,
"CUE",0.084,0.085,,,,,0.001,0.011899999999999999,"2017-01-30",0.085,0.085,0.085,,,,,,,0.105,0.045,59340000,,"ASX",13200,-0.124,0.01,,0,0.062,2740000,1.291,1.355,,0,,,"0.000",,
"CUP",0.84,0.84,,,,"1/18/2017",0,0,"2017-01-30",0.83,0.84,0.84,,,,,,,0.95,0.55,92760000,,"ASX",31675,0.12,0.13,,0,0.54,10370000,0.77,1.56,6.94,0,,,"0.00",,
"CUV",7.92,8,,,,,0.29,0.0366,"2017-01-30",7.94,8.27,8.21,,,,,,,9.19,2.81,386530000,,"ASX",32135,-0.07,-0.26,,0,0.38,-3520000,54.67,20.95,,0,,,"0.00",,
"CUX",0.004,0.006,,,,,0.002,0.5,"2017-01-30",0.006,0.006,0.006,,,,,,,0.009,0.004,2120000,,"ASX",4774131,-0.006,,,0,0.009,"-596081.00",35.352,0.444,,0,,,"0.000",,
"CV1",0.085,0.087,,,,,0.002,0.023530000000000002,"2017-01-30",0.087,0.087,0.087,,,,,,,0.447,0.068,17330000,,"ASX",60000,-0.059,-0.03,,0,0.024,-10800000,2.38,3.542,,0,,,"0.000",,
"CVC",1.86,1.86,,,,"9/2/2016",-0.06,-0.0323,"2017-01-30",1.8,1.86,1.8,,,,,,,1.93,1.35,215160000,,"ASX",8425,0.12,,,0,1.68,35810000,1.5,1.11,15.65,0,,,"0.00",,
"CVN",0.097,0.097,,,,,0.002,0.02062,"2017-01-30",0.096,0.099,0.099,,,,,,,0.15,0.07,100970000,,"ASX",723140,-0.005,0,,0,0.133,-6080000,,0.729,,0,,,"0.000",,
"CVO",1.935,1.935,,,,"8/25/2016",-0.01,-0.00517,"2017-01-30",1.92,1.935,1.925,,,,,,,2.052,1.11,611280000,,"ASX",1941419,0.059,0.08,,0,0.626,38100000,2.789,3.091,32.627,1.8,24.062,19.25,"0.000",,
"CVT",0.1,0.1,,,,,0,-0.047599999999999996,"2017-01-30",0.1,0.1,0.1,,,,,,,0.46,0.07,52600000,,"ASX",336360,-0.03,-0.03,,0,0.02,-14100000,154.2,6.18,,0,,,"0.00",,
"CVV",0.065,0.065,,,,,0,0,"2017-01-30",0.065,0.065,0.065,,,,,,,0.13,0.065,2990000,,"ASX",45454,-0.019,,,0,0.082,"-802175.00",12.605,0.793,,0,,,"0.000",,
"CVW",1.39,1.38,,,,"9/15/2016",-0.035,-0.025179999999999998,"2017-01-30",1.355,1.38,1.355,,,,,,,1.44,0.844,809520000,,"ASX",34776,0.043,0.06,,0,0.689,59720000,2.852,2.017,31.512,4.63,22.583,19.357,"0.000",,
"CWN",11.49,11.44,0,0,,"9/22/2016",-0.1,-0.0087,"2017-01-30",11.32,11.5,11.39,,,,,,,14.06,10.31,8300000000.000001,,"ASX",2023593,1.3,0.55,,0,6.95,874600000,2.31,1.65,8.74,2.82,20.71,19.31,"0.00",,
"CWP",5.48,5.5,,,,"3/30/2016",-0.07,-0.0128,"2017-01-30",5.38,5.5,5.41,,,,,,,5.6,3.91,426800000,,"ASX",66020,0.55,0.56,,0,3.89,67090000,2.49,1.41,9.78,1.1,9.66,8.73,"0.00",,
"CWY",1.155,1.14,,,,"9/20/2016",-0.01,-0.00866,"2017-01-30",1.14,1.152,1.145,,,,,,,1.26,0.68,1820000000,,"ASX",2196818,0.028,0.04,,0,1.119,254870000,1.259,1.032,40.893,0,,,"0.000",,
"CXM",0.065,0.066,,,,,0.001,0.01538,"2017-01-30",0.066,0.066,0.066,,,,,,,0.097,0.06,20820000,,"ASX",1000,-0.016,,,0,0.109,-1770000,,0.596,,0,,,"0.000",,
"CXO",0.084,0.091,,,,,0.002,0.023809999999999998,"2017-01-30",0.085,0.094,0.086,,,,,,,0.15,0.012,23390000,,"ASX",18420584,-0.009,,,0,0.03,"-929637.00",1029.803,2.8,,0,,,"0.000",,
"CXU",0.08,0.08,,,,,0,0.0667,"2017-01-30",0.08,0.08,0.08,,,,,,,0.11,0.04,23040000,,"ASX",54236,-0.01,,,0,0.05,-3120000,2928.83,1.67,,0,,,"0.00",,
"CXX",0.26,0.27,,,,,-0.005,-0.01923,"2017-01-30",0.255,0.27,0.255,,,,,,,0.345,0.16,42010000,,"ASX",50188,-0.067,0,,0,0.143,-1130000,4475.342,1.818,,0,,,"0.000",,
"CXZ",0.1,0.1,,,,,0.015,0.15,"2017-01-30",0.1,0.115,0.115,,,,,,,0.21,0.08,11720000,,"ASX",71617,-0.077,,,0,-0.034,-6610000,7.871,,,0,,,"0.000",,
"CYA",0.925,0.915,,,,,-0.01,-0.01081,"2017-01-30",0.915,0.915,0.915,,,,,,,0.93,0.78,,,"ASX",11135,0.068,,,0,0,"0.00",,,,0,,,"0.000",,
"CYB",4.85,4.81,,,,,-0.08,-0.0165,"2017-01-30",4.75,4.85,4.77,,,,,,,5.86,3.5,593600000,,"ASX",839724,-0.01,18.24,,0,0.35,"-686496.00",515.63,13.94,,0.32,0.26,0.22,"0.00",,
"CYC",0.84,0.84,,,,"9/2/2016",0.04,0.047599999999999996,"2017-01-30",0.84,0.88,0.88,,,,,,,1.46,0.52,52440000,,"ASX",10542,0.08,,,0,0.21,2710000,3.59,4.06,10.48,0,,,"0.00",,
"CYL",0.5,0.5,,,,,0,-0.009899999999999999,"2017-01-30",0.5,0.5,0.5,,,,,,,0.7,0.26,27360000,,"ASX",3500,-0.02,,,0,0.02,-1100000,1557.43,29.71,,0,,,"0.00",,
"CYP",0.61,0.62,,,,,0,0,"2017-01-30",0.51,0.62,0.61,,,,,,,0.81,0.26,44370000,,"ASX",264704,-0.07,-0.11,,0,0.12,-4800000,40.35,5.17,,0,,,"0.00",,
"CYQ",0.046,0.046,,,,,-0.005,-0.10869999999999999,"2017-01-30",0.041,0.046,0.041,,,,,,,0.051,0.032,,,"ASX",1416541,,,,0,0,-1440000,,,,0,,,"0.000",,
"CYY",0.022,0.022,,,,,0,0,"2017-01-30",0.022,0.023,0.022,,,,,,,0.062,0.013,8880000,,"ASX",224928,-0.004,,,0,0.013,"-902549.00",,1.692,,0,,,"0.000",,
"CZI",0.062,0.062,,,,,0.004,0.06452,"2017-01-30",0.061,0.067,0.066,,,,,,,0.07,0.016,14580000,,"ASX",914468,-0.012,-1.9,,0,0.048,-2330000,1412.223,1.292,,0,,,"0.000",,
"CZL",0.028,0.028,,,,,0.001,0.03571,"2017-01-30",0.028,0.03,0.029,,,,,,,0.062,0.026,12460000,,"ASX",2061340,-0.007,,,0,0.028,-1170000,,1,,0,,,"0.000",,
"CZN",0.017,0.017,,,,,0,0,"2017-01-30",0.017,0.017,0.017,,,,,,,0.03,0.003,11020000,,"ASX",1913574,-0.002,,,0,0.003,"-732814.00",,5.667,,0,,,"0.000",,
"CZZ",15.88,16,0,0,,"6/29/2016",0,0,"2017-01-30",15.88,16.2,15.88,,,,,,,23.19,15.5,150180000,,"ASX",12354,1.1,1.2,,0,5.9,16200000,1.12,2.69,14.41,0.81,13.23,11.26,"0.00",,
"D13",0.12,0.12,,,,,-0.01,-0.04,"2017-01-30",0.12,0.12,0.12,,,,,,,0.17,0.06,56180000,,"ASX",86875,-0.03,,,0,0,-3990000,148.33,25,,0,,,"0.00",,
"D2O",1.04,1.03,,,,,-0.02,-0.0192,"2017-01-30",1.02,1.03,1.02,,,,,,,1.1,0.96,,,"ASX",40200,,,,0,0,"0.00",,,,0,,,"0.00",,
"DAV",0.16,0.16,,,,,-0.01,-0.0625,"2017-01-30",0.15,0.16,0.15,,,,,,,0.19,0.15,11100000000,,"ASX",222113,0.23,,,0,0,"0.00",,,,0,,,"0.00",,
"DCC",0.035,0.037,,,,"8/24/2005",0.001,0.02857,"2017-01-30",0.036,0.037,0.036,,,,,,,0.22,0.034,6790000,,"ASX",68992,-0.019,0.01,,0,0.009,-2830000,0.172,3.889,,0,,,"0.000",,
"DCG",1.05,1.05,,,,"9/1/2016",-0.01,-0.0095,"2017-01-30",1.03,1.05,1.04,,,,,,,1.31,0.65,176690000,,"ASX",39547,-0.34,0.09,,0,1.44,9400000,0.59,0.73,,-0.66,11.56,11.56,"0.00",,
"DCL",0.21,0.21,,,,,0,0,"2017-01-30",0.21,0.21,0.21,,,,,,,0.7,0.2,21170000,,"ASX",105800,-0.06,,,0,0.05,-5980000,22.14,4.04,,0,,,"0.00",,
"DCN",2.4,2.41,,,,,0.01,0.0042,"2017-01-30",2.36,2.46,2.41,,,,,,,4,0.85,321270000,,"ASX",152674,-0.19,-0.05,,0,0.1,-21780000,962.46,24.24,,0,,30.13,"0.00",,
"DDD",0.005,0.005,,,,,0.001,0.2,"2017-01-30",0.005,0.006,0.006,,,,,,,0.007,0.002,1660000,,"ASX",18009690,-0.004,,,0,0.002,"-287160.00",687.702,2.5,,0,,,"0.000",,
"DDR",2.41,2.41,,,,"12/6/2016",0.05,0.0207,"2017-01-30",2.39,2.52,2.46,,,,,,,2.52,1.35,392750000,,"ASX",177160,0.15,0.16,,0,0.46,43320000,0.34,5.3,16.73,0,,,"0.00",,
"DDT",0.015,0.014,,,,,-0.001,-0.06667,"2017-01-30",0.014,0.014,0.014,,,,,,,0.024,0.01,10650000,,"ASX",846363,-0.004,,,0,0.008,-2140000,1.721,1.875,,0,,,"0.000",,
"DFM",0.79,0.79,,,,"3/31/2016",0.02,0.0253,"2017-01-30",0.79,0.81,0.81,,,,,,,2.49,0.74,319130000,,"ASX",20912,0.15,,,0,0.56,59840000,2.28,1.41,5.55,0,,,"0.00",,
"DGR",0.1,0.105,,,,,0.015,0.15,"2017-01-30",0.105,0.115,0.115,,,,,,,0.12,0.024,63350000,,"ASX",523223,0.001,,,0,0.079,"-803699.00",16.043,1.266,115,0,,,"0.000",,
"DJW",3.85,3.79,,,,,-0.13,-0.0338,"2017-01-30",3.67,3.79,3.72,,,,,,,4.24,3.5,813150000,,"ASX",247680,0.15,,,0,3.29,"0.00",19.76,1.17,25.48,0,,,"0.00",,
"DKM",0.14,0.14,,,,,0,0,"2017-01-30",0.14,0.14,0.14,,,,,,,0.3,0.07,11550000,,"ASX",71040,-0.02,,,0,0.06,-1750000,,2.37,,0,,,"0.00",,
"DKO",0.059,0.059,,,,,0,0,"2017-01-30",0.056,0.059,0.059,,,,,,,0.275,0.048,18900000,,"ASX",2230472,-0.013,,,0,0.061,-1980000,,0.967,,0,,,"0.000",,
"DLX",6.1,6.05,,,,"11/16/2016",-0.05,-0.008199999999999999,"2017-01-30",6.03,6.11,6.05,,,,,,,6.78,5.76,2320000000,,"ASX",1314695,0.34,0.35,,0,0.95,229790000,1.36,6.39,18.06,6.54,17.29,16.81,"0.00",,
"DM1",0.027,0.027,,,,"10/8/2013",0,0,"2017-01-30",0.027,0.027,0.027,,,,,,,0.11,0.013,11010000,,"ASX",154934,-0.033,,,0,0.029,"0.00",9.481,0.931,,0,,,"0.000",,
"DMP",61.01,61.18,1.53,0.73,,"8/22/2016",-0.39,-0.0064,"2017-01-30",60.48,61.36,60.62,,,,,,,80.69,48.54,5310000000,,"ASX",287810,0.92,1.4,,0,4.5,160390000,5.79,13.55,65.75,1.36,43.3,33.68,"0.00",,
"DN8",0.215,0.22,,,,,0,0,"2017-01-30",0.215,0.22,0.215,,,,,,,0.22,0.215,73960000,,"ASX",11608,0.01,0.03,,0,-0.021,4600000,1.724,,21.5,0,,,"0.000",,
"DNA",0.37,0.38,,,,"10/4/2016",-0.01,-0.027000000000000003,"2017-01-30",0.36,0.38,0.36,,,,,,,0.77,0.35,299240000,,"ASX",174768,0.09,0.08,,0,0.57,87890000,2.14,0.64,3.79,0.1,4.5,4,"0.00",,
"DNK",0.8,0.81,,,,,-0.01,-0.0125,"2017-01-30",0.76,0.82,0.79,,,,,,,0.82,0.2,158550000,,"ASX",779100,-0.03,0,,0,0.13,-1830000,,6.02,,0,,,"0.00",,
"DOW",6.46,6.39,,,,"8/17/2016",-0.11,-0.017,"2017-01-30",6.28,6.41,6.35,,,,,,,6.53,2.77,2670000000,,"ASX",1247864,0.38,0.38,,0,4.54,542400000,0.4,1.42,16.8,-5.39,16.71,16.28,"0.00",,
"DRA",0.275,0.25,,,,,0,0,"2017-01-30",0.25,0.275,0.275,,,,,,,0.38,0.135,24430000,,"ASX",95839,0.038,0.34,,0,0.362,8070000,0.36,0.76,7.237,0,,,"0.000",,
"DRG",0.03,0.03,,,,,0,0.07139999999999999,"2017-01-30",0.03,0.03,0.03,,,,,,,0.05,0.02,3200000,,"ASX",293102,-0.01,,,0,0.02,"-652661.00",,1.56,,0,,,"0.00",,
"DRM",0.455,0.46,,,,,-0.02,-0.04396,"2017-01-30",0.43,0.465,0.435,,,,,,,1.245,0.405,135190000,,"ASX",4359948,0.055,0.01,,0,0.582,62710000,1.079,0.782,7.909,0,43.5,7.25,"0.000",,
"DRO",0.43,0.43,,,,,0.02,0.04650000000000001,"2017-01-30",0.43,0.45,0.45,,,,,,,0.52,0.17,60750000,,"ASX",293648,,,,0,0.04,"0.00",12647.06,10.49,,0,,,"0.00",,
"DSX",0.052,0.053,,,,,0.003,0.05769,"2017-01-30",0.052,0.055,0.055,,,,,,,0.071,0.04,12620000,,"ASX",1564746,-0.02,,,0,0.014,-3950000,10.381,3.714,,0,,,"0.000",,
"DTI",0.41,0.41,,,,,0,0,"2017-01-30",0.41,0.41,0.41,,,,,,,0.52,0.21,37570000,,"ASX",24445,0,0.03,,0,0.16,3240000,2.32,2.56,,0,13.67,10.25,"0.00",,
"DTL",1.8,1.8,,,,"3/16/2016",0,-0.0028000000000000004,"2017-01-30",1.76,1.81,1.8,,,,,,,1.82,0.95,277150000,,"ASX",127978,0.09,0.1,,0,0.26,19820000,0.28,6.97,20,1.59,18,16.36,"0.00",,
"DTS",0.27,0.27,,,,,0.01,0.037000000000000005,"2017-01-30",0.25,0.28,0.28,,,,,,,0.28,0.19,"148680.00",,"ASX",1252629,-1.57,,,0,1.55,"-720973.00",1.32,0.17,,0,,,"0.00",,
"DTZ",0.35,0.36,,,,,-0.01,-0.042300000000000004,"2017-01-30",0.34,0.38,0.34,,,,,,,0.49,0.32,,,"ASX",403013,,,,0,0,"0.00",,,,0,,,"0.00",,
"DUB",0.43,0.44,,,,"11/27/2008",0.01,0.0233,"2017-01-30",0.44,0.44,0.44,,,,,,,0.87,0.35,35170000,,"ASX",19121,-0.13,,,0,0.14,-8029999.999999999,75.09,3.16,,0,,,"0.00",,
