symbol,lastTradeDate,previousClose,change,changeInPercent,daysLow,daysHigh,52WeekHigh,52WeekLow,changeFrom52WeekLow,changeFrom52WeekHigh,percentChangeFrom52WeekLow,percebtChangeFrom52WeekHigh,name
ASX,30/1/17,5714,-52.5,-0.0092,5643.5,5714,5827.5,4706.7,954.8,-166,0.2029,-0.0285,S&P/ASX 200
ALLORD,30/1/17,5765.6,-51.3,-0.0089,5697.7,5765.6,5876.8,4762.1,952.2,-162.5,0.2,-0.0277,ALL ORDINARIES
