symbol,name,EPS,QuoteLast,Price200DayAverage,Price52WeekPercChange,PriceToBook,MarketCap,PE,DividendRecentQuarter,DividendNextQuarter,DPSRecentYear,IAD,DividendPerShare,DividendYield,Dividend,BookValuePerShareYear,CashPerShareYear,CurrentRatioYear,LTDebtToAssetsYear,LTDebtToAssetsQuarter,TotalDebtToAssetsYear,TotalDebtToAssetsQuarter,LTDebtToEquityYear,LTDebtToEquityQuarter,TotalDebtToEquityYear,TotalDebtToEquityQuarter,AINTCOV,ReturnOnInvestmentTTM,ReturnOnInvestment5Years,ReturnOnInvestmentYear,ReturnOnAssetsTTM,ReturnOnAssets5Years,ReturnOnAssetsYear,ReturnOnEquityTTM,ReturnOnEquity5Years,ReturnOnEquityYear,Beta,Float,InstitutionalPercentHeld,GrossMargin,EBITDMargin,OperatingMargin,NetProfitMarginPercent,NetIncomeGrowthRate5Years,RevenueGrowthRate5Years,RevenueGrowthRate10Years,EPSGrowthRate5Years,EPSGrowthRate10Years,Volume,AverageVolume
RHG,RHG Pty Ltd,0.1,0,0.46,9.89,1.72,-,0,0.03,-,0.12,-,0.12,-,58.61,0.29,0.38,65.11,94.3,94.3,94.3,94.3,"2,306.81","2,306.81","2,306.81","2,306.81",-,1.2,1.3,1.2,1.17,1.28,1.17,29.2,39.95,29.2,0.64,267.23,-,32.31,26.29,25.09,17.56,0.46,-31.03,3.33,3.2,-17.6,0,"425,575.00"
RHI,Red Hill Iron Limited,-0.01,0.5,0.41,-,2.58,27290000,-,0,-,0,-,0,-,-,0.19,0,0.34,0,0,1.97,1.97,0,0,2.05,2.05,-,-6.62,-13.53,-6.62,-6.46,-13.28,-6.46,-6.62,-13.53,-6.62,0.52,0.92,-,-,"-15,804.25","-15,805.44","-15,805.67",-,-53.57,-25.76,-,-,"20,000.00","32,149.00"
RHL,Ruralco Holdings Ltd,0.05,2.95,3.21,-11.76,1.17,233930000,53.92,0.02,0.02,0.1,0.1,0.1,3.33,9.26,2.55,0.07,1.16,9.11,9.11,9.71,9.71,32.43,32.43,34.55,34.55,6.62,3.49,6.88,3.49,1.25,2.31,1.25,2.07,5.35,2.07,0.11,51.61,-,17.72,1.66,1.08,0.51,-22.1,11.85,-,-27.09,-,"15,280.00","19,064.00"
RHP,Rhipe Ltd,0,0.6,0.87,-54.44,1.99,82270000,-,0,-,0,-,0,-,-,0.3,0.11,1.6,0,0,0,0,0,0,0,0,-,-0.32,-2.06,-0.32,-0.18,-0.76,-0.18,-0.33,-2.17,-0.33,0.24,88.13,-,19.5,1.14,0.8,-0.09,-,23.67,0.33,-,-,"8,769.00","125,367.00"
RHS,Reproductive Health Science Ltd,-0.03,0.09,0.1,-21.46,4.29,7520000,-,0,-,0,-,0,-,-,0.02,0.02,3.36,6.24,7.5,8.04,10.16,8.99,13.77,11.6,18.64,-146.58,-172.66,-169.68,-99.61,-120.42,-142.84,-80.1,-204,-176.54,-105.98,0.58,33.84,-,64.08,"-2,318.43","-2,432.14","-2,432.15",-,90.68,-,-,-,0,"69,860.00"
RHT,Resonance Health Limited,0,0.03,0.02,8.33,2.59,10460000,-,0,-,0,-,0,-,-,0.01,0.01,3.41,0,0,0,0,0,0,0,0,-11.35,-9.11,-2.88,-9.11,-7.6,-2.32,-7.6,-9.11,-2.91,-9.11,1.04,252.43,-,-,-11.38,-17.13,-14.8,-,6.08,15.42,-,-,0,"107,504.00"
RIC,Ridley Corporation Ltd,0.09,1.31,1.33,-10.8,1.59,403240000,14.77,0.02,0.02,0.04,0.04,0.04,3.12,10.64,0.81,0.09,1.37,14.32,14.32,14.32,14.32,28.01,28.01,28.01,28.01,8.69,8.84,3.99,8.84,5.66,2.65,5.66,11.39,5.09,11.39,0.67,222.6,-,8.79,6.49,4.42,2.98,-1.48,4.75,-3.2,-1.49,-1.18,"891,206.00","157,781.00"
RIE,Riedel Resources Ltd,0,0.01,0.02,30,1.01,3040000,3.69,0,-,0,-,0,-,-,0.01,0.01,10.64,0,0,0,0,0,0,0,0,-66.29,31.16,-48.49,31.16,27.6,-45.34,27.6,31.16,-48.49,31.16,2.2,93.2,-,-,"-3,588.76","-4,710.26","3,612.62",-,-29.78,-,-,-,0,"102,726.00"
RIG,Rongtai International Group Holdings Ltd,0.02,0,-,-,-,-,0,0,-,0,-,0,-,-,0.02,0,1.42,0.95,0.95,1.02,1.02,1.96,1.96,2.1,2.1,-467.17,29.55,-,29.55,7.18,-,7.18,30.76,-,30.76,-,12.27,-,68.18,-284.47,345.02,331.87,-,-,-,-,-,0,-
RIL,Riddock International Ltd,-0.06,0,-,-,-,-,-,0,-,0,-,0,-,-,-0.09,0,0.35,0,0,179.78,179.78,-,-,-,-,-,-,-,-,-255.99,-209.96,-267.94,-,-,-,-,5.63,-,-,-,-,-,-,-,-,-,-,0,-
