symbol,name,EPS,QuoteLast,Price200DayAverage,Price52WeekPercChange,PriceToBook,MarketCap,PE,DividendRecentQuarter,DividendNextQuarter,DPSRecentYear,IAD,DividendPerShare,DividendYield,Dividend,BookValuePerShareYear,CashPerShareYear,CurrentRatioYear,LTDebtToAssetsYear,LTDebtToAssetsQuarter,TotalDebtToAssetsYear,TotalDebtToAssetsQuarter,LTDebtToEquityYear,LTDebtToEquityQuarter,TotalDebtToEquityYear,TotalDebtToEquityQuarter,AINTCOV,ReturnOnInvestmentTTM,ReturnOnInvestment5Years,ReturnOnInvestmentYear,ReturnOnAssetsTTM,ReturnOnAssets5Years,ReturnOnAssetsYear,ReturnOnEquityTTM,ReturnOnEquity5Years,ReturnOnEquityYear,Beta,Float,InstitutionalPercentHeld,GrossMargin,EBITDMargin,OperatingMargin,NetProfitMarginPercent,NetIncomeGrowthRate5Years,RevenueGrowthRate5Years,RevenueGrowthRate10Years,EPSGrowthRate5Years,EPSGrowthRate10Years,Volume,AverageVolume
1AD,Adalta Ltd,-,0.25,-,-,-,18720000,-,-,-,0,-,-,-,-,0.01,0,6.43,0,-,0,-,0,-,0,-,-,-,-,-118.51,-,-,-101.48,-,-,-,-,59.32,-,-,-,-,-,-,-,-,-,-,0,"50,513.00"
1AG,Alterra Ltd,0,0.03,0.05,-78.62,0.34,4270000,-,0,-,0,-,0,-,-,0.09,0.01,14.65,0.62,0.62,0.95,0.95,0.65,0.65,0.99,0.99,-4.94,-1.39,-,-1.39,-1.32,-,-1.32,-1.48,-,-1.48,0.74,80.42,-,-,23.36,-9.77,-6.3,-,-,-,-,-,"229,789.00","106,383.00"
1AL,Oneall International Ltd,0.09,0.99,0.97,-1.5,5.66,127070000,10.81,0.04,0.04,0.06,0.06,0.06,6.09,23.06,0.17,0.08,2.96,0,0,0,0,0,0,0,0,-,55.23,-,-,27.95,-,-,55.23,-,-,-,5.46,-,42.65,27.49,27.36,22.56,-,-,-,-,-,"14,300.00","9,904.00"
1PG,1-Page Ltd,-0.13,0.19,0.38,-94.31,0.45,29300000,-,0,-,0,-,0,-,-,0.43,0.32,47.22,0,0,0,0,0,0,0,0,-,-51.28,-65.51,-48.41,-50.41,-60.34,-47.6,-51.28,-65.66,-48.41,-2.51,114.41,-,-,"-1,174.84","-1,486.59","-1,519.24",-,-,-,-,-,"415,620.00",1450000
1ST,1st Group Ltd,-0.06,0.05,0.06,-14.15,0.92,10530000,-,0,-,0,-,0,-,-,0.06,0.03,9.86,0,0,0,0,0,0,0,0,-164.2,-,-65.94,-42.7,-,-56.02,-39.63,-,-70.92,-46.29,-,80.14,-,-,-153.28,-281.56,-252.4,-,-,-,-,-,"100,000.00","36,233.00"
3DP,Pointerra Ltd,-0.01,0.02,0.03,-34.38,1.6,5010000,-,0,-,0,-,0,-,-,0.01,0.02,6.26,0,0,0.91,0.91,0,0,1.08,1.08,-,-142.47,-137.62,-142.47,-99.18,-99.98,-99.18,-142.47,-137.62,-142.47,3.23,46.55,-,-,-,-,-,-,-,-,-,-,1270000,"465,909.00"
3PL,3P Learning Ltd,0.03,0.97,1,-39.7,3.18,134960000,36.22,0,-,0,-,0,-,2.4,0.31,0.03,0.3,11.67,11.67,11.68,11.68,26.53,26.53,26.55,26.55,-,7.74,17.11,7.74,4.25,8.05,4.25,9.48,20.68,9.48,-,124.61,-,-,24.83,10.02,7.41,5.2,11.2,-,4.89,-,"132,054.00","187,276.00"
4CE,Force Commodities Ltd,-0.01,0.03,0.04,16.66,1.09,5370000,-,0,-,0,-,0,-,-,0.02,0,1.55,0,0,0,0,0,0,0,0,-3.66,-18.63,-40.06,-24.44,-15.77,-36.43,-20.09,-18.69,-41.4,-24.52,0.86,87.74,-,-,-164.37,-185.37,-232.56,-,-,-,-,-,1750000,1580000
4DS,4DS Memory Ltd,-0.06,0.03,0.03,-15.15,14.26,20000000,-,0,-,0,-,0,-,-,0,0,14.85,0,0,0,0,0,0,0,0,-63.16,"-5,036.43",-126,"-5,036.43","-1,613.45",-115.11,"-1,613.45","-10,176.10",-128.2,"-10,176.10",-1.89,468.79,-,-,"-2,026.09","-8,537.78","-8,569.95",-,0.39,-,-,-,1870000,"924,826.00"
4WD,Automotive Solutions Group Ltd,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"31,356.00","110,958.00"
88E,88 Energy Ltd,-0.01,0.04,0.04,616.67,6.17,179270000,-,0,-,0,-,0,-,-,0.01,0,2.48,29.96,32.48,29.96,32.48,50.87,54.76,50.87,54.76,-8.29,-33.96,-89.21,-37.34,-31.29,-82.02,-32.99,-50.17,-98.65,-55.22,-1.07,"3,900.79",-,-,"-16,774.89","-16,839.88","-20,174.91",-,-30.87,-9.18,-,-,3030000,9570000
8CO,8Common Ltd,-0.02,0.1,0.15,-44.74,1.03,6090000,-,0,-,0,-,0,-,-,0.1,0.01,1.98,0,0,15.55,15.55,0,0,20.99,20.99,-13.86,-19.65,-,-19.65,-15.27,-,-15.27,-21.67,-,-21.67,-,15.16,-,78.5,-19.15,-35.08,-36.75,-,-,-,-,-,0,621
8EC,8IP Emerging Companies Ltd,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"29,004.00","21,915.00"
8IH,8I Holdings Ltd,0.05,0.71,0.78,-41.32,5.31,255380000,14.41,0,0,0.01,0.01,0,1.38,4.99,0.13,0.1,6.41,0.12,0.1,0.22,0.23,0.14,0.11,0.26,0.26,-,34.47,-,42.65,29.47,-,37.55,34.03,-,42.65,-,185.61,-,99.21,20.17,103.53,109.08,-,-,-,-,-,0,"41,766.00"
9SP,9 Spokes International Ltd,-0.03,0.14,-,-,67.89,31910000,-,0,-,0,-,0,-,-,0,0.01,1.24,0,0,0,0,0,0,0,0,-,-110.62,-,"-2,034.59",-86.07,-,-208.51,-110.62,-,"-2,034.59",-,18.52,-,-,"-5,100.00","-5,468.68","-5,331.32",-,-,-,-,-,0,"179,988.00"
A2M,a2 Milk Company Ltd (Australia),-,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1970000,4840000
A3D,Aurora Labs Ltd,-0.01,3.12,-,-,"2,255.89",43680000,-,0,-,0,-,0,-,-,0,0.06,0.99,0,0,0,0,0,0,0,0,-223.32,-,-,-,-,-,-78.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"55,668.00","56,515.00"
AAC,Australian Agricultural Company Ltd,0.11,1.6,1.73,21.84,0.96,893940000,14.12,0,-,0,-,0,-,-,1.66,0.03,6.25,26.4,27.18,26.71,27.43,41.21,43.43,41.68,43.82,-8.86,4.91,-,5.45,4.71,-,5.22,7.54,-,8.23,0.91,362.48,-,-6.44,-31.29,25.71,14.79,-,-,-,-,-,"796,396.00","831,957.00"
AAD,Ardent Leisure Group,0.08,2.07,2.27,-3.26,1.55,971030000,27.2,0.06,0.02,0.12,0.08,0.12,3.61,14.46,1.34,0.02,1.28,27.03,27.03,27.03,27.03,50.47,50.47,50.47,50.47,5,3.65,4.06,3.65,3.19,3.64,3.19,5.73,6.19,5.73,0.61,441.83,-,74.43,19.01,8.47,5.17,-1.01,11.6,13.08,-7.99,30.08,2190000,1530000
AAEDC,AGRI NRG DEF SET,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AAI,Arconic Inc GDR,-,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,185
AAJ,Aruma Resources Ltd,0,0.01,0.01,33.93,1.99,3170000,-,0,-,0,-,0,-,-,0,0,10.9,0,0,0,0,0,0,0,0,-,-36.94,-56.54,-36.94,-32.65,-51.97,-32.65,-36.94,-56.54,-36.94,1,230.77,-,-,-37.06,-46.64,-44.8,-,91.01,-,-,-,"690,000.00",1820000
AAK,Australia China Holdings Ltd,0,0,0,-36,0.08,6700000,36.36,0,-,0,-,0,-,-,0.05,0,3.51,0,0,0,0,0,0,0,0,43.87,1.62,0.69,1.62,1.61,0.68,1.61,1.66,0.71,1.66,1.36,39.78,-,-,-,-,-,6.2,-,-,16.84,-,0,-
AAL,APAC Coal Limited,0,0,0,150,0.75,1250000,-,0,-,0,-,0,-,-,0.01,0,7.24,0,0,0,0,0,0,0,0,-,-30.01,-18.14,-11.72,-27.39,-12.96,-10.75,-30.01,-18.17,-11.72,-,248.41,-,-,-634.54,-634.98,-755.89,-,-15.73,-,-,-,0,-
AAM,Stone Resources Australia Ltd,-0.03,0,0,50,-,-,-,0,-,0,-,0,-,-,-0.04,0,0.01,0,0,140.19,140.19,-,-,-,-,-0.73,-,-,-,-19.63,-42.16,-19.63,-,-,-,0.89,255.58,-,"-35,650.00","-101,698.10","-115,457.40","-271,921.60",-,-84.78,-47.99,-,-,0,"111,732.00"
AAON,ADEPT DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AAP,Australian Agricultural Projects Ltd,0,0.03,0.03,-3.33,0.81,4420000,10.32,0,-,0,-,0,-,-,0.04,0,0.71,23.64,23.64,35.65,35.65,57.95,57.95,87.41,87.41,3.33,4.56,-15.17,4.56,2.83,-7.89,2.83,7.26,-24.58,7.26,-0.3,46.98,-,31.76,23.68,15.73,11.01,30.05,-24.58,-1.77,31.74,-,0,"52,579.00"
AAR,Anglo Australian Resources NL,0,0.02,0.02,77.78,2.37,3600000,-,0,-,0,-,0,-,-,0.01,0,0.55,0,0,5.14,5.14,0,0,7.28,7.28,-,-29.47,-63.68,-29.47,-21.03,-56.79,-21.03,-31.1,-63.99,-31.1,2.53,150.26,-,-,-,-,-,-,-,-,-,-,"533,165.00","183,832.00"
AAS,Asian Pacific Ltd,0,0,-,-,-,-,0,0,-,0,-,0,-,1.07,0.08,0,0.62,17.3,17.3,18.05,18.05,28.91,28.91,30.15,30.15,3.76,1.29,52.76,1.29,0.94,32.59,0.94,1.6,57.25,1.6,-,187.63,-,-,2.74,1.23,0.57,-,-2.42,-,-,-,0,-
AAT,AAT Corp Ltd,0,0,-,-,-,-,-,0,-,0,-,0,-,-,0,0,2.84,172.87,172.87,191.26,191.26,-,-,-,-,-3.83,-376.65,-,-376.65,-124.1,-,-124.1,-,-,-,-,204.1,-,-,"-3,825.70","-3,825.70","-4,824.02",-,-,-64.89,-,-,0,-
AATDA,AUTRON DEF SET,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AAU,Adcorp Australia Ltd,-0.01,0.01,0.02,-40.74,1.37,2730000,-,0,-,0,-,0,-,-,0.01,0.03,1.08,0,0,0,0,0,0,0,0,-25.85,-42.27,-48.21,-42.27,-4.24,-7.22,-4.24,-91.93,-59.83,-91.93,1.32,19.11,-,-,1,-3.71,-3.78,-,-11.92,-7.23,-,-,"35,000.00",-
AAX,Ausenco Limited,-0.77,0,0.31,23.44,0.49,-,-,0,-,0,-,0,-,-,0.81,0.05,0.6,0.3,2.83,23.08,34.69,0.54,8.58,41.23,105.11,-8.68,-79.86,-5.43,-39.35,-51.07,-3.94,-27.75,-99.89,-6.56,-45.7,1.06,144.82,-,82.31,-26.53,-62.41,-72.54,-,-13.7,12.21,-,-,0,"82,699.00"
AB1,Animoca Brands Corporation Ltd,-0.04,0.06,0.16,-62.58,5.5,11640000,-,0,-,0,-,0,-,-,0.01,0.03,1.3,0,0,0,0,0,0,0,0,-,-266.92,-,-216.59,-110.88,-,-55.85,-494.57,-,-,-0.57,100.6,-,63.31,-62.37,-70.01,-70.15,-,-,-,-,-,0,"206,402.00"
ABA,Auswide Bank Ltd,0.3,5.3,5.11,-2.62,0.97,215640000,17.48,0.16,0.16,0.3,0.3,0.3,5.76,9.85,5.38,0.34,-,-,-,20.89,20.89,296.24,296.24,296.24,296.24,-,-,-,-,0.39,0.43,0.39,5.45,5.92,5.45,0.56,34.77,-,-,-,27.17,18.02,-12.92,-8.02,1.34,-14.52,-4.28,"10,926.00","31,139.00"
ABC,Adelaide Brighton Ltd.,0.31,5.16,5.39,11.96,2.78,3350000000,16.73,0.08,0.08,0.19,0.2,0.2,3.78,139.5,1.86,0.05,2.25,17.92,20.91,17.98,20.98,27.35,32.83,27.43,32.95,-,12.01,11.52,12.56,10.95,10.26,11.36,17.26,15.97,17.78,0.93,418.45,-,22.58,22.34,19.7,14.24,6.53,5.66,7.02,6.16,6.69,1500000,1210000
ABF,Ausmani Ltd,0,0,-,-,-,-,-,0,-,0,-,0,-,0,0,0,2.04,0,0,0,0,0,0,0,0,-,55.21,-,55.21,28.29,48.98,28.29,55.21,-,55.21,-,812.01,-,-,93.14,93.14,93,-,-75.42,-,-,-,0,-
ABL,Abilene Oil and Gas Ltd,0,0.01,0.01,-33.33,0.71,3180000,-,0,-,0,-,0,-,-,0.01,0,0.11,33.5,33.5,39.99,39.99,63.67,63.67,76.01,76.01,-0.83,-15.58,-53.28,-15.58,-14.31,-49.53,-14.31,-21.01,-56.06,-21.01,5.81,99.92,-,46.59,-131.56,-175.31,-333.05,-,-1.18,50.25,-,-,0,466
ABNDA,ADEFFECTIV DEF SET,-,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
ABNN,ADEFFECTIV DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
ABP,Abacus Property Group,0.33,2.82,3.02,-5.94,1.05,1610000000,8.42,0.08,0.09,0.17,0.17,0.17,6.05,92.23,2.72,0.08,2.29,25.77,25.77,32.73,32.73,41.64,41.64,52.9,52.9,4.92,8.92,5.1,8.92,8.29,4.71,8.29,12.72,8.21,12.72,0.61,322.55,-,76.59,60.12,58.73,47.18,45.42,6.1,11.82,34.38,-11.85,"559,693.00","960,046.00"
ABPDC,ABACUS STAPLED D,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"434,925.00"
ABQDA,ALL BRANDS DEF SET,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
ABT,Abundant Produce Ltd,-,0.54,-,-,6.92,9450000,-,-,-,0,-,-,-,-,0.09,0.05,8.08,0,-,0,-,0,-,0,-,-,-,-,-36.88,-,-,-33.32,-,-,-43.46,-,9.8,-,-,-,-,-,-,-,-,-,-,"50,740.00","12,235.00"
ABU,ABM Resources NL,-0.06,0.12,0.08,170.83,2.26,46890000,-,0,-,0,-,0,-,-,0.06,0.03,4.06,0,0,0,0,0,0,0,0,-,-62.95,-38.6,-62.95,-54.68,-35.35,-54.68,-68.42,-40.5,-68.42,0.44,315.52,-,-,-0.6,-65.14,-59.8,-,134.1,62.02,-,-,"38,677.00","227,251.00"
ABV,Advanced Braking Technology Ltd,0,0.01,0.01,0,6.65,15400000,-,0,-,0,-,0,-,-,0,0,1.2,0.25,0.25,37.44,37.44,0.68,0.68,102.25,102.25,-4.17,-63.01,-38.37,-63.01,-32.23,-30.16,-32.23,-108.25,-46.24,-108.25,-0.38,"1,231.18",-,55.31,-20.46,-26.49,-32.85,-,-5.86,12.93,-,-,0,1260000
ABW,Aurora Absolute Return Fund,-0.07,0.78,0.82,-16.4,0.93,8710000,-,0.01,0.01,0.03,0.04,0.03,4.54,0.74,0.85,0.01,-,0,0,0,0,0,0,0,0,0.36,-6.68,-0.6,-6.68,-6.61,-0.59,-6.61,-6.76,-0.6,-6.76,0.01,8.9,-,-,99.56,-175.11,-175.11,-,-4.73,-,-,-,"17,380.00","10,116.00"
ABX,Australian Bauxite Ltd,0,0.14,0.18,57.61,1.21,19900000,43.61,0,-,0,-,0,-,-,0.12,0.01,0.71,0,0,0,0,0,0,0,0,-8.15,2.62,-9.39,-5.92,2.43,-9.07,-5.44,2.69,-9.44,-6.02,1.19,106.58,-,-,12.9,12.61,9.86,-,33.95,-,-,-,"92,643.00","158,103.00"
ABY,Aditya Birla Minerals Limited,-0.5,0,0.25,120.51,1.43,-,-,0,-,0,-,0,-,-,0.3,0.22,4.55,0,0,0,0,0,0,0,0,-,-63.71,-12.94,-63.71,-56.82,-11.74,-56.82,-83.16,-15.71,-83.16,1.66,16.45,-,-7.74,4.49,-68.1,-75.74,-,-14.84,1.14,-,-,0,"172,329.00"
AC8,Auscann Group Holdings Ltd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.28,0,0,0,0,0,0,0,0,-,-191.99,-,-191.99,-169.6,226.29,-169.6,-191.99,-,-191.99,-,21.11,-,-,"-11,905.66","-11,905.66","-11,905.66",-,-,-56.55,-,-,-,-
ACB,A-Cap Resources Limited,0,0.09,0.05,468.53,1.24,76700000,-,0,-,0,-,0,-,-,0.07,0.01,5.77,0,0,0,0,0,0,0,0,-37.23,-2.54,-6.19,-2.54,-2.5,-6.03,-2.5,-2.54,-6.19,-2.54,1.95,544.41,-,-,"-4,181.29","-4,181.29","-4,293.60",-,-45.16,0.49,-,-,"115,000.00","512,354.00"
ACG,Atcor Medical Holdings Limited,-0.02,0.07,0.11,-64.62,4.43,15890000,-,0,-,0,-,0,-,-,0.02,0.01,3.17,0,0,0,0,0,0,0,0,-,-126.64,-46.1,-126.63,-91.05,-31.31,-91.05,-128.59,-46.72,-128.59,1.49,203.36,-,78.61,-97.83,-95.67,-95.67,-,-8.13,1.6,-,-,"768,992.00","315,493.00"
ACJDA,African Chrome Fields Ltd,-,-,0,-40,0.03,-,-,0,-,0,-,0,-,-,0.11,0.12,1.34,0,0,0,0,0,0,0,0,-10.24,-52.53,-44.68,-43.24,-51.32,-36.09,-22.04,-51.78,-44.46,-42.13,0.48,6.2,-,-,"-3,284.20","-4,544.60","-4,266.96",-,-26.95,-,-,-,-,-
ACK,Austock Group Limited,0.02,0.7,0.47,45.83,8.45,72230000,33.9,0.01,0.01,0.02,0.02,0.02,2.86,2.06,0.08,0.03,-,0,0,0,0,0,0,0,0,-,1.46,2.88,1.46,1.46,2.87,1.46,25.12,-14.9,25.12,1.17,34.85,-,-,-21.15,-22.9,121,4.9,-12.91,-19.61,6.77,-17.92,0,"25,772.00"
ACL,Alchemia Limited,0.07,0.01,0.01,85.22,1.31,3570000,0.17,0,0.09,0,-,0,-,-,0.01,0.01,14.58,0,0,0,0,0,0,0,0,-,300.79,-16.79,300.79,243.89,-14.44,243.89,300.81,-18.56,300.81,-0.17,131.37,-,-,-509.67,"4,368.33","4,270.00",-,-17.63,-13.81,-,-,0,"284,899.00"
ACN,ACERENERGY FPO,-,0.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"94,770.00"
ACO,Australian Careers Network Ltd,0.22,3.43,3.43,-,-,287260000,15.82,0.13,0.13,0.13,0.13,0.13,3.79,-,0.8,0.07,2.41,0.68,0.68,0.89,0.89,0.94,0.94,1.23,1.23,318.24,-,-,44.97,-,-,33.91,-,-,50.17,-,60.41,-,-,36.31,28.73,20.58,-,-,-,-,-,0,-
ACP,Audalia Resources Ltd,0,0.03,0.05,-75.49,2.34,9600000,-,0,-,0,-,0,-,-,0.01,0,0.2,0,0,40.83,40.83,0,0,84.62,84.62,-2.06,-20.28,-18.75,-20.28,-10.25,-13.02,-10.25,-20.42,-18.84,-20.42,-,49.61,-,-,"-2,036.57","-2,053.97","-2,427.65",-,-,-,-,-,0,-
ACQ,Acorn Capital Investment Fund Ltd,0.12,1.02,0.98,26.51,1,50350000,8.25,0.02,0.02,0.02,0.02,0.02,1.43,-,1.05,1.1,25.06,0,0,0,0,0,0,0,0,-,12.53,-,12.53,12.18,-,12.18,12.66,-,12.66,-,42.36,-,37.44,-3.69,"1,042.98",765.64,-,-,-,-,-,"40,278.00","14,817.00"
ACR,Acrux Limited,0.08,0.31,0.51,-53.33,1.2,52450000,3.99,0,0.06,0,0.06,0,19.05,9.99,0.26,0.18,5.95,0,0,0,0,0,0,0,0,24.44,27.94,26.76,27.94,25.49,24.66,25.49,30.72,29.21,30.72,0.9,152.3,-,-,71.28,66.06,45.46,-25.65,-21.11,26.12,-25.74,-,"45,184.00","234,157.00"
ACS,Accent Resources N.L.,-0.01,0.08,0.08,-25,4.07,13580000,-,0,-,0,-,0,-,-,0.02,0,1.86,46.81,46.81,46.81,46.81,93.26,93.26,93.26,93.26,-2.55,-16.88,-24.57,-16.88,-16.29,-24.2,-16.29,-23.44,-25.05,-23.44,0.06,132.4,-,-,-624.11,-880.13,"-1,113.32",-,-20.26,0.67,-,-,0,"4,239.00"
ACU,Activistic Ltd,-0.04,0.02,0.03,-72.5,2.79,7950000,-,-,-,-,-,0,-,-,0.01,0.01,5.1,0,0,0,0,0,0,0,0,-36.98,-255.62,-312.39,-255.62,-228.22,-215.1,-228.22,-255.24,-311.74,-255.24,0.37,280.74,-,-,"-22,203.68","-22,310.20","-22,572.22",-,4.03,-19.72,-,-,"60,561.00","310,133.00"
ACW,Actinogen Medical Ltd,-0.01,0.06,0.07,15.69,2.95,35190000,-,0,-,0,-,0,-,-,0.02,0.01,9.4,0,0,0,0,0,0,0,0,-563.25,-26.44,-47.26,-26.44,-25.47,-45.47,-25.47,-26.44,-47.26,-26.44,0.87,363.03,-,-,"-1,595.10","-1,773.75","-1,776.90",-,28.3,-,-,-,"100,000.00",1030000
ACWN,ACTINOGEN DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
ACX,Aconex Ltd,0.03,5.44,6.28,11.4,10.3,1080000000,164.1,0,-,0,-,0,-,-,0.54,0.26,0.9,0.37,0.37,0.39,0.39,0.88,0.88,0.91,0.91,-,7.96,-,7.96,3.62,-21.87,3.62,16.95,-,16.95,-,161.76,-,74.64,11.67,1.59,4.65,-,27.45,-,-,-,"549,489.00","793,838.00"
AD1,APPLYDIRCT FPO,-,0.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"77,751.00","92,353.00"
ADA,Adacel Technologies Limited,0.12,2.21,2.71,4.67,8.77,175180000,19.01,0.02,0.02,0.03,0.03,0.03,1.34,1.98,0.26,0.2,2.88,0,0,0,0,0,0,0,0,33.29,49.11,22.48,49.11,30.79,13.26,30.79,55.19,27.61,55.19,0.68,57.23,-,90.48,22.18,20.5,19.21,-,5.18,-0.88,-,7.52,"81,036.00","110,991.00"
ADD,Adavale Resources Limited,-0.02,0.01,0.01,-,-,"310,740.00",-,0,-,0,-,0,-,-,-0.03,0,0.06,95.91,95.91,95.91,95.91,-,-,-,-,-4,-268.17,-74.82,-268.16,-48.38,-64.15,-48.38,-,-89.38,-,2.04,10.74,-,-,"-16,085.17","-18,845.05","-22,866.48",-,-57.17,-48.2,-,-,0,-
ADE,Adelaide Energy Ltd.,-0.04,0.19,0.15,69.57,3.03,78950000,-,0,-,0,-,0,-,-,0.06,0,0.99,0.57,0.57,0.89,0.89,0.67,0.67,1.04,1.04,-15.14,-56.19,-20.83,-56.19,-50.83,-19.37,-50.83,-61.67,-22.53,-61.67,1.99,15.92,-,19.53,-14.19,-398.25,-381.45,-,-,-,-,-,0,-
ADH,Adairs Ltd,0.16,1.48,2.24,-44.38,2.58,245490000,9.03,0.02,0.06,0.06,0.12,0.06,7.74,8.29,0.58,0.09,1.66,24.47,24.47,24.4,24.4,43.86,43.86,43.73,43.73,21.22,20.4,4.42,20.4,16.53,3.76,16.53,31.31,12.65,31.31,-,142.53,-,60.95,18.21,15.33,10.73,-,-,-,-,-,"54,557.00","395,875.00"
ADJ,Adslot Ltd,-0.01,0.1,0.11,-10.61,3.15,123300000,-,0,-,0,-,0,-,-,0.03,0,2.28,0,0,0,0,0,0,0,0,-,-24.22,-29.61,-24.22,-21.63,-26.76,-21.63,-24.45,-29.78,-24.45,0.77,"1,071.79",-,83.52,-37.41,-95.33,-95.59,-,9.43,17.63,-,-,"361,143.00","509,170.00"
ADN,Andromeda Metals Ltd,-0.01,0.01,0.02,62.5,0.48,5270000,-,0,-,0,-,0,-,-,0.03,0,2.06,0,0,0,0,0,0,0,0,-,-33.57,-24.76,-33.57,-32.72,-24.12,-32.72,-35.6,-25.29,-35.6,3.27,253.41,-,-,"-9,830.55","-25,702.78","-25,503.75",-,-49.43,-23.54,-,-,0,"211,336.00"
ADO,Anteo Diagnostics Ltd,-0.01,0.04,0.05,-47.3,2.73,44220000,-,0,-,0,-,0,-,-,0.01,0,0.95,28.69,28.69,50.11,50.11,108.51,108.51,189.53,189.53,-7.73,-29.12,-42.18,-29.12,-20.31,-33.63,-20.31,-61.58,-56.51,-61.58,-0.25,798.73,-,-,-36.85,-44.15,-47.94,-,295.74,56.41,-,-,10360000,1950000
ADQ,ADG Global Supply Limited,-1.35,0,-,-,-,-,-,0,-,0,-,0,-,-,-1.03,0,0,-,-,-,-,-,-,-,-,-0.05,-,-39.91,-,-126.16,-20.08,-126.16,-,-46.47,-,-0.09,3.06,-,15.93,0.71,-46.96,-48.66,-,-9.45,-6.06,-,-,0,-
ADQDA,ADG Global Supply Limited,-,-,-,-,-,-,-,0,-,0,-,0,-,-,-2.07,0,0,-,-,-,-,-,-,-,-,-0.05,-,-39.91,-,-96.91,-20.08,-126.16,-,-46.47,-,-,3.56,-,100,85.99,"-1,070.44","-1,070.44",-,-9.45,-6.06,-,-,-,-
ADR,Adherium Ltd,-,0.18,0.41,-68.7,0.99,24610000,-,0,-,-,-,-,-,-,0.18,0.18,19.11,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,96.85,-,-,-,-,-,-,-,-,-,-,"927,407.00","285,722.00"
ADU,Adamus Resources Pty Ltd,-0.13,0.71,0.68,-7.14,26.32,322240000,-,0,-,0,-,0,-,-,0.03,0.05,0.67,18.01,18.01,30.06,30.06,274.8,274.8,458.8,458.8,-0.02,-58.01,-65.8,-58.01,-45.66,-57.37,-45.66,-321.02,-119.82,-321.02,0.49,453.43,-,28.82,5.61,-201.3,-201.3,-,115.03,-,-,-,0,-
ADV,Ardiden Ltd,0,0.03,0.03,57.89,4.56,24570000,-,0,-,0,-,0,-,-,0.01,0.01,15.08,0,0,0,0,0,0,0,0,-,-20.04,-148.39,-20.04,-18.51,-109.84,-18.51,-20.04,-148.39,-20.04,0.96,419.43,-,-,"-7,625.87","-9,141.96","-9,131.07",-,-5.04,-20.64,-,-,1540000,4310000
