,column_name,importance
278,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",0.0030942117
47,MarketCap,0.0030829872
36,Float,0.0030633444
272,value__autocorrelation__lag_5,0.0030633444
609,"value__fft_coefficient__coeff_7__attr_""real""",0.0030558615
459,"value__fft_coefficient__coeff_11__attr_""real""",0.0030455722
153,asxpreviousclose_T2_5P,0.0030287355
425,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_2",0.0030221879
587,"value__fft_coefficient__coeff_6__attr_""real""",0.0030137696
231,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""rvalue""",0.0029941269
171,GRCPAISAD_T11_20P,0.002992256
631,"value__fft_coefficient__coeff_8__attr_""real""",0.0029548411
296,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",0.0029314568
461,"value__fft_coefficient__coeff_12__attr_""real""",0.002922103
469,"value__fft_coefficient__coeff_16__attr_""real""",0.002911814
268,value__autocorrelation__lag_1,0.0029080724
302,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.0029033958
283,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",0.0028846883
38,GRCPAISAD,0.002871593
154,asxpreviousclose_T6_10P,0.0028678516
126,twenty_six_week_price_change,0.0028510147
155,asxpreviousclose_T11_20P,0.0028304367
275,value__autocorrelation__lag_8,0.002816406
219,"value__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""rvalue""",0.0028154708
653,"value__fft_coefficient__coeff_9__attr_""real""",0.0028145353
284,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",0.0027948925
383,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5",0.0027677666
727,symbol_encoded,0.0027677666
289,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",0.0027481238
465,"value__fft_coefficient__coeff_14__attr_""real""",0.002733158
290,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4",0.0027303519
295,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",0.002725675
652,"value__fft_coefficient__coeff_9__attr_""imag""",0.0027107089
463,"value__fft_coefficient__coeff_13__attr_""real""",0.0027004199
244,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""slope""",0.0026667465
630,"value__fft_coefficient__coeff_8__attr_""imag""",0.0026573928
467,"value__fft_coefficient__coeff_15__attr_""real""",0.0026396208
608,"value__fft_coefficient__coeff_7__attr_""imag""",0.0026209133
215,"value__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""rvalue""",0.002600335
83,four_week_std,0.002600335
479,"value__fft_coefficient__coeff_20__attr_""real""",0.0025863044
564,"value__fft_coefficient__coeff_5__attr_""imag""",0.00256292
477,"value__fft_coefficient__coeff_1__attr_""real""",0.0025582432
451,"value__fft_aggregated__aggtype_""kurtosis""",0.0025488895
471,"value__fft_coefficient__coeff_17__attr_""real""",0.0025348589
30,BookValuePerShareYear,0.0025320528
152,asxpreviousclose_T1P,0.0025264407
273,value__autocorrelation__lag_6,0.0025105393
586,"value__fft_coefficient__coeff_6__attr_""imag""",0.002509604
403,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_14__w_5",0.002487155
271,value__autocorrelation__lag_4,0.0024862196
301,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.0024843488
453,"value__fft_aggregated__aggtype_""variance""",0.0024806075
48,OperatingMargin,0.0024712537
274,value__autocorrelation__lag_7,0.0024572231
252,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""slope""",0.0024562876
31,CashPerShareYear,0.0024226143
34,FIRMMCRT,0.002418873
421,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_5__w_2",0.002406713
269,value__autocorrelation__lag_2,0.0024029715
9,52WeekLow,0.0023973593
175,GRCPBCAD_T11_20P,0.0023730395
473,"value__fft_coefficient__coeff_18__attr_""real""",0.0023730395
270,value__autocorrelation__lag_3,0.0023590089
475,"value__fft_coefficient__coeff_19__attr_""real""",0.0023477846
288,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",0.0023346893
