Wall time,Step,Value
1496311913.954609,96,6.969459533691406
1496312445.0393522,197,6.942418098449707
1496312977.09508,297,6.922006130218506
1496313504.747624,397,6.903822422027588
1496314032.014708,497,6.886896133422852
1496314537.2023191,599,6.870462894439697
1496315069.297531,700,6.8548054695129395
1496315607.5279949,797,6.840192794799805
1496316136.693142,898,6.825368404388428
1496316668.4672692,997,6.811192512512207
1496317196.0391092,1097,6.797171592712402
1496317719.8332531,1197,6.783451080322266
1496318225.5616992,1297,6.769958019256592
1496318730.004997,1399,6.756425380706787
1496319248.131712,1500,6.743253707885742
1496319753.824476,1600,6.730463981628418
1496320258.1301062,1699,6.71801233291626
1496320763.921373,1797,6.705927848815918
1496321282.283987,1900,6.693457126617432
1496321787.3333728,1999,6.68169641494751
1496322292.590532,2097,6.670264720916748
1496322798.495797,2198,6.658710479736328
1496323305.011211,2297,6.647604942321777
1496323810.266985,2396,6.636693954467773
1496324315.506491,2498,6.625645160675049
1496324833.12036,2600,6.614804267883301
1496325325.304383,2694,6.60501766204834
1496325844.889298,2799,6.594287395477295
1496326349.888994,2898,6.584395885467529
1496326856.217324,2997,6.57469367980957
1496327361.465303,3095,6.565298080444336
1496327865.171083,3198,6.555654048919678
1496328370.6573598,3297,6.546578407287598
1496328889.954654,3400,6.537369251251221
1496329397.010027,3497,6.528892993927002
1496329902.473093,3596,6.520448207855225
1496330423.032386,3698,6.511940956115723
1496330942.13864,3800,6.5036468505859375
1496331448.550014,3898,6.495845794677734
1496331955.721426,3995,6.488321781158447
1496332477.335863,4098,6.480551242828369
1496332984.2514,4195,6.473357200622559
1496333505.356437,4297,6.465938568115234
1496334024.212447,4399,6.458681583404541
1496334532.212981,4495,6.451974391937256
1496335054.884638,4597,6.444945335388184
1496335576.2140749,4699,6.438077449798584
1496336096.9956968,4800,6.431423187255859
1496336603.970491,4896,6.425239562988281
1496337124.830657,5000,6.418684959411621
1496337633.732811,5095,6.4127702713012695
1496338154.728181,5199,6.4064507484436035
1496338662.260553,5296,6.400688648223877
1496339182.289901,5399,6.394687175750732
1496339688.293544,5498,6.389066219329834
1496340209.8907578,5600,6.383410930633545
1496340717.074002,5697,6.378198623657227
1496341237.695762,5800,6.372769832611084
1496341745.032481,5898,6.367727756500244
1496342253.3528152,5996,6.362794876098633
1496342775.643605,6097,6.357837677001953
1496343284.154149,6194,6.353177547454834
1496343808.252546,6297,6.348362445831299
1496344332.732548,6397,6.343791484832764
1496344855.2208698,6499,6.339244365692139
1496345362.686708,6596,6.335024833679199
1496345886.568119,6697,6.3307342529296875
1496346406.886517,6800,6.326449871063232
1496346913.9554691,6897,6.322500705718994
1496347433.297871,7000,6.318382740020752
1496347953.2233212,7095,6.314661026000977
1496348539.2191732,7200,6.310609340667725
1496349238.2548301,7299,6.3068718910217285
1496349835.711467,7396,6.303257942199707
1496350437.8291929,7499,6.299483299255371
1496350987.3142242,7600,6.295881271362305
1496351498.196817,7698,6.292470455169678
1496352042.275965,7797,6.28910493850708
1496352577.01732,7897,6.285778045654297
1496353104.925998,7997,6.282540321350098
1496353634.277807,8097,6.2793378829956055
1496354164.8766441,8197,6.276214599609375
1496354693.4433851,8297,6.27313756942749
1496355222.457192,8397,6.270106792449951
1496355752.54261,8497,6.267124176025391
1496356281.136918,8597,6.264187812805176
1496356810.413394,8697,6.261298656463623
1496357338.675023,8797,6.2584452629089355
1496357865.811713,8897,6.255622863769531
1496358395.279352,8997,6.252841472625732
1496358923.455285,9097,6.25011682510376
1496359453.893795,9197,6.247402667999268
1496359984.093183,9297,6.244734287261963
1496360515.523743,9397,6.242072105407715
1496361044.0622988,9497,6.239474296569824
1496361572.6076748,9597,6.236908912658691
1496362102.711906,9697,6.234394550323486
1496362632.243669,9797,6.231892108917236
1496363163.6594508,9897,6.229426860809326
1496363690.622655,9997,6.226980686187744
1496364217.894441,10097,6.224546432495117
1496364749.5265331,10197,6.222097873687744
1496365275.285121,10297,6.2196784019470215
1496365804.528141,10397,6.217270851135254
1496366335.858288,10497,6.214870452880859
1496366866.011626,10597,6.212512969970703
1496367395.738818,10697,6.210162162780762
1496367902.18535,10796,6.207866668701172
1496368429.332022,10897,6.2055559158325195
1496368955.195678,10998,6.203258514404297
1496369476.326498,11097,6.201034069061279
1496369995.39628,11200,6.198753833770752
1496370526.203794,11298,6.19659948348999
1496371055.6651032,11397,6.194436550140381
1496371583.7606559,11497,6.192262172698975
1496372113.378044,11597,6.19010591506958
1496372621.360915,11697,6.187952518463135
1496373145.477579,11799,6.185774803161621
1496373652.536717,11896,6.183722019195557
1496374181.3274171,11997,6.181621551513672
1496374717.634557,12097,6.179560661315918
1496375257.113211,12197,6.177539348602295
1496375782.473047,12297,6.175509452819824
1496376305.2075362,12399,6.173450469970703
1496376837.214964,12497,6.17147159576416
1496377365.2904499,12597,6.169503688812256
1496377893.654573,12697,6.167560577392578
1496378424.427401,12797,6.165635585784912
1496378951.7091498,12897,6.163717746734619
1496379480.2253702,12997,6.161835193634033
1496380006.4876502,13097,6.159946441650391
1496380535.884275,13197,6.1580915451049805
1496381063.673505,13297,6.156248569488525
1496381592.211405,13397,6.154431343078613
1496382121.4679308,13497,6.152685165405273
1496382648.432938,13597,6.150926113128662
1496383173.832692,13697,6.149196624755859
1496383699.240135,13797,6.147477626800537
1496384225.424237,13897,6.14578914642334
1496384751.194685,13997,6.144095420837402
1496385276.926466,14097,6.142477989196777
1496385805.225652,14197,6.140855312347412
1496386337.280732,14297,6.139256954193115
1496386868.01872,14397,6.137672424316406
1496387397.7028239,14497,6.136112213134766
1496387927.7248588,14597,6.134584426879883
1496388458.363168,14697,6.133050441741943
1496388991.3157508,14797,6.131519794464111
1496389534.097891,14897,6.129991054534912
1496390066.770516,14997,6.1284708976745605
1496390603.308991,15097,6.126949310302734
1496391145.865152,15196,6.12545919418335
1496391686.62162,15297,6.123951435089111
1496392208.458286,15398,6.122488975524902
1496392731.003017,15497,6.121068477630615
1496393263.677355,15597,6.119679927825928
1496393785.676063,15697,6.118300437927246
1496394316.3196092,15797,6.1169304847717285
1496394862.729555,15896,6.115603446960449
1496395393.854999,15997,6.114246845245361
1496395925.859055,16097,6.112920761108398
1496396444.247194,16200,6.111614227294922
1496396991.442071,16297,6.110359191894531
1496397587.770453,16400,6.109073162078857
1496398173.7406259,16497,6.107857704162598
1496398699.856564,16597,6.10661506652832
1496399226.9313548,16697,6.105386734008789
1496399747.577707,16800,6.104139804840088
1496400240.2346802,16894,6.103016376495361
1496400759.46046,16999,6.101785659790039
1496401270.9375072,17095,6.100663661956787
1496401798.8582358,17197,6.099496364593506
1496402327.216208,17297,6.098357200622559
1496402832.655968,17399,6.097195148468018
1496403337.799475,17497,6.09607458114624
1496403843.746968,17594,6.09501314163208
1496404363.8017962,17699,6.093869686126709
1496404871.629554,17795,6.092809200286865
1496405391.116415,17898,6.091733932495117
1496405896.9963078,17995,6.090750217437744
1496406401.7097092,18097,6.089756965637207
1496406908.77472,18196,6.088809013366699
1496407426.9191291,18300,6.087806701660156
1496407941.842798,18395,6.086888313293457
1496408463.777807,18497,6.085929870605469
1496408987.683253,18597,6.085014343261719
1496409509.8979661,18698,6.084070682525635
1496410030.446741,18798,6.0831522941589355
1496410537.1111438,18896,6.082305908203125
1496411056.78607,18999,6.081387996673584
1496411563.1766772,19094,6.080592155456543
1496412085.74018,19198,6.079719543457031
1496412607.342665,19298,6.078866004943848
1496413126.456547,19400,6.078037738800049
1496413632.461073,19497,6.077295303344727
1496414151.7498581,19600,6.076509952545166
1496414659.574187,19696,6.0757880210876465
1496415180.3239412,19799,6.0750555992126465
1496415699.496693,19899,6.074339866638184
1496416205.0865421,19997,6.073678016662598
1496416233.4005198,20000,6.0736517906188965
