symbol,GICSSector,GICSIndustryGroup,GICSIndustry
DMC,Information Technology,Software & Services,Internet Software & Services
DHG,Information Technology,Software & Services,Internet Software & Services
DN8,Information Technology,Software & Services,Internet Software & Services
DSE,Information Technology,Software & Services,Internet Software & Services
DUB,Information Technology,Software & Services,Internet Software & Services
EN1,Information Technology,Software & Services,Internet Software & Services
EGD,Information Technology,Software & Services,Internet Software & Services
FZO,Information Technology,Software & Services,Internet Software & Services
FCT,Information Technology,Software & Services,Internet Software & Services
FGO,Information Technology,Software & Services,Internet Software & Services
FLN,Information Technology,Software & Services,Internet Software & Services
FDV,Information Technology,Software & Services,Internet Software & Services
GCN,Information Technology,Software & Services,Internet Software & Services
GOO,Information Technology,Software & Services,Internet Software & Services
HOT,Information Technology,Software & Services,Internet Software & Services
IBN,Information Technology,Software & Services,Internet Software & Services
INP,Information Technology,Software & Services,Internet Software & Services
IHR,Information Technology,Software & Services,Internet Software & Services
IVO,Information Technology,Software & Services,Internet Software & Services
IOD,Information Technology,Software & Services,Internet Software & Services
ISD,Information Technology,Software & Services,Internet Software & Services
ICU,Information Technology,Software & Services,Internet Software & Services
ISX,Information Technology,Software & Services,Internet Software & Services
IXU,Information Technology,Software & Services,Internet Software & Services
KYK,Information Technology,Software & Services,Internet Software & Services
LAA,Information Technology,Software & Services,Internet Software & Services
LVH,Information Technology,Software & Services,Internet Software & Services
MTL,Information Technology,Software & Services,Internet Software & Services
MP1,Information Technology,Software & Services,Internet Software & Services
MIG,Information Technology,Software & Services,Internet Software & Services
MUA,Information Technology,Software & Services,Internet Software & Services
MPW,Information Technology,Software & Services,Internet Software & Services
NEA,Information Technology,Software & Services,Internet Software & Services
NET,Information Technology,Software & Services,Internet Software & Services
NXT,Information Technology,Software & Services,Internet Software & Services
NOR,Information Technology,Software & Services,Internet Software & Services
NOV,Information Technology,Software & Services,Internet Software & Services
NVO,Information Technology,Software & Services,Internet Software & Services
OMN,Information Technology,Software & Services,Internet Software & Services
OOK,Information Technology,Software & Services,Internet Software & Services
OTW,Information Technology,Software & Services,Internet Software & Services
PYG,Information Technology,Software & Services,Internet Software & Services
3DP,Information Technology,Software & Services,Internet Software & Services
PPS,Information Technology,Software & Services,Internet Software & Services
PCH,Information Technology,Software & Services,Internet Software & Services
PPL,Information Technology,Software & Services,Internet Software & Services
REA,Information Technology,Software & Services,Internet Software & Services
REV,Information Technology,Software & Services,Internet Software & Services
RBL,Information Technology,Software & Services,Internet Software & Services
RD1,Information Technology,Software & Services,Internet Software & Services
RNT,Information Technology,Software & Services,Internet Software & Services
RXH,Information Technology,Software & Services,Internet Software & Services
RNL,Information Technology,Software & Services,Internet Software & Services
SCL,Information Technology,Software & Services,Internet Software & Services
S3R,Information Technology,Software & Services,Internet Software & Services
SRO,Information Technology,Software & Services,Internet Software & Services
STC,Information Technology,Software & Services,Internet Software & Services
GGL,Information Technology,Software & Services,Internet Software & Services
SKF,Information Technology,Software & Services,Internet Software & Services
SFI,Information Technology,Software & Services,Internet Software & Services
SYT,Information Technology,Software & Services,Internet Software & Services
DXN,Information Technology,Software & Services,Internet Software & Services
TKF,Information Technology,Software & Services,Internet Software & Services
TNY,Information Technology,Software & Services,Internet Software & Services
TOM,Information Technology,Software & Services,Internet Software & Services
TV2,Information Technology,Software & Services,Internet Software & Services
UPD,Information Technology,Software & Services,Internet Software & Services
UBN,Information Technology,Software & Services,Internet Software & Services
VPC,Information Technology,Software & Services,Internet Software & Services
VIG,Information Technology,Software & Services,Internet Software & Services
WNS,Information Technology,Software & Services,Internet Software & Services
ZYB,Information Technology,Software & Services,Internet Software & Services
ACX,Information Technology,Software & Services,Internet Software & Services
GEG,Information Technology,Software & Services,Internet Software & Services
CUS,Information Technology,Software & Services,Internet Software & Services
APT,Information Technology,Software & Services,IT Services
APX,Information Technology,Software & Services,IT Services
AYG,Information Technology,Software & Services,IT Services
CCA,Information Technology,Software & Services,IT Services
CNW,Information Technology,Software & Services,IT Services
CCG,Information Technology,Software & Services,IT Services
CPU,Information Technology,Software & Services,IT Services
CGO,Information Technology,Software & Services,IT Services
CSV,Information Technology,Software & Services,IT Services
CV1,Information Technology,Software & Services,IT Services
DTL,Information Technology,Software & Services,IT Services
DWS,Information Technology,Software & Services,IT Services
EPD,Information Technology,Software & Services,IT Services
FTC,Information Technology,Software & Services,IT Services
GBT,Information Technology,Software & Services,IT Services
GTK,Information Technology,Software & Services,IT Services
IP1,Information Technology,Software & Services,IT Services
LNK,Information Technology,Software & Services,IT Services
MWR,Information Technology,Software & Services,IT Services
RHP,Information Technology,Software & Services,IT Services
RXP,Information Technology,Software & Services,IT Services
SVT,Information Technology,Software & Services,IT Services
SMP,Information Technology,Software & Services,IT Services
SGO,Information Technology,Software & Services,IT Services
CGL,Information Technology,Software & Services,IT Services
TSN,Information Technology,Software & Services,IT Services
TGO,Information Technology,Software & Services,IT Services
ASZ,Information Technology,Software & Services,IT Services
SMX,Information Technology,Software & Services,IT Services
AFY,Information Technology,Software & Services,IT Services
IDE,Information Technology,Software & Services,IT Services
RFL,Information Technology,Software & Services,IT Services
MOQ,Information Technology,Software & Services,Software
1PG,Information Technology,Software & Services,Software
8CO,Information Technology,Software & Services,Software
ADA,Information Technology,Software & Services,Software
ALU,Information Technology,Software & Services,Software
AB1,Information Technology,Software & Services,Software
AO1,Information Technology,Software & Services,Software
BID,Information Technology,Software & Services,Software
BTH,Information Technology,Software & Services,Software
BRN,Information Technology,Software & Services,Software
BVS,Information Technology,Software & Services,Software
BIQ,Information Technology,Software & Services,Software
CAG,Information Technology,Software & Services,Software
CWL,Information Technology,Software & Services,Software
CRO,Information Technology,Software & Services,Software
CL1,Information Technology,Software & Services,Software
COM,Information Technology,Software & Services,Software
CXZ,Information Technology,Software & Services,Software
COO,Information Technology,Software & Services,Software
DCC,Information Technology,Software & Services,Software
DTS,Information Technology,Software & Services,Software
ELO,Information Technology,Software & Services,Software
EOL,Information Technology,Software & Services,Software
EVS,Information Technology,Software & Services,Software
ESV,Information Technology,Software & Services,Software
ESH,Information Technology,Software & Services,Software
ESK,Information Technology,Software & Services,Software
GSW,Information Technology,Software & Services,Software
HSN,Information Technology,Software & Services,Software
HMO,Information Technology,Software & Services,Software
ICI,Information Technology,Software & Services,Software
IMS,Information Technology,Software & Services,Software
IFM,Information Technology,Software & Services,Software
IRI,Information Technology,Software & Services,Software
IAM,Information Technology,Software & Services,Software
IRE,Information Technology,Software & Services,Software
JAN,Information Technology,Software & Services,Software
JCS,Information Technology,Software & Services,Software
K2F,Information Technology,Software & Services,Software
KNM,Information Technology,Software & Services,Software
KNO,Information Technology,Software & Services,Software
LNU,Information Technology,Software & Services,Software
LVT,Information Technology,Software & Services,Software
LVE,Information Technology,Software & Services,Software
MNW,Information Technology,Software & Services,Software
MBM,Information Technology,Software & Services,Software
MKB,Information Technology,Software & Services,Software
MSM,Information Technology,Software & Services,Software
MYQ,Information Technology,Software & Services,Software
MYO,Information Technology,Software & Services,Software
OCL,Information Technology,Software & Services,Software
OMT,Information Technology,Software & Services,Software
OLV,Information Technology,Software & Services,Software
PSY,Information Technology,Software & Services,Software
PIL,Information Technology,Software & Services,Software
PC1,Information Technology,Software & Services,Software
PRO,Information Technology,Software & Services,Software
PPH,Information Technology,Software & Services,Software
RCL,Information Technology,Software & Services,Software
RKN,Information Technology,Software & Services,Software
RFN,Information Technology,Software & Services,Software
RCW,Information Technology,Software & Services,Software
RUL,Information Technology,Software & Services,Software
SNS,Information Technology,Software & Services,Software
SIS,Information Technology,Software & Services,Software
SMA,Information Technology,Software & Services,Software
SHO,Information Technology,Software & Services,Software
TNE,Information Technology,Software & Services,Software
TNT,Information Technology,Software & Services,Software
THD,Information Technology,Software & Services,Software
TTL,Information Technology,Software & Services,Software
VLT,Information Technology,Software & Services,Software
VRI,Information Technology,Software & Services,Software
VGL,Information Technology,Software & Services,Software
WGL,Information Technology,Software & Services,Software
WTC,Information Technology,Software & Services,Software
XRO,Information Technology,Software & Services,Software
XPE,Information Technology,Software & Services,Software
XF1,Information Technology,Software & Services,Software
YOJ,Information Technology,Software & Services,Software
TCH,Information Technology,Software & Services,Software
QML,Information Technology,Software & Services,Software
SP1,Information Technology,Software & Services,Software
CIO,Information Technology,Technology Hardware & Equipment,Communications Equipment
MOB,Information Technology,Technology Hardware & Equipment,Communications Equipment
NTC,Information Technology,Technology Hardware & Equipment,Communications Equipment
SEN,Information Technology,Technology Hardware & Equipment,Communications Equipment
SW1,Information Technology,Technology Hardware & Equipment,Communications Equipment
WMC,Information Technology,Technology Hardware & Equipment,Communications Equipment
WRR,Information Technology,Technology Hardware & Equipment,Communications Equipment
AMO,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
AD8,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
AVA,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
BCT,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
CAT,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
CT1,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
CLT,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
CDA,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
DDR,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
DTI,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
ELS,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
HIL,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
IKE,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
KKL,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
MSP,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
MBO,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
QTG,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
RDF,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
SRH,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
SM8,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
SPZ,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
SP3,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
SMN,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
TZL,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
NUH,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals"
QFY,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals"
STL,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals"
WBT,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals"
ANO,Materials,Materials,Chemicals
AJX,Materials,Materials,Chemicals
BGT,Materials,Materials,Chemicals
CG1,Materials,Materials,Chemicals
CLV,Materials,Materials,Chemicals
DLX,Materials,Materials,Chemicals
HZR,Materials,Materials,Chemicals
HFR,Materials,Materials,Chemicals
IPL,Materials,Materials,Chemicals
KLL,Materials,Materials,Chemicals
LER,Materials,Materials,Chemicals
NUF,Materials,Materials,Chemicals
ORI,Materials,Materials,Chemicals
PWN,Materials,Materials,Chemicals
PLX,Materials,Materials,Chemicals
RAN,Materials,Materials,Chemicals
RWD,Materials,Materials,Chemicals
SO4,Materials,Materials,Chemicals
SDV,Materials,Materials,Chemicals
SES,Materials,Materials,Chemicals
TTT,Materials,Materials,Chemicals
ZNO,Materials,Materials,Chemicals
NOE,Materials,Materials,Chemicals
ABC,Materials,Materials,Construction Materials
BLD,Materials,Materials,Construction Materials
BKW,Materials,Materials,Construction Materials
CDH,Materials,Materials,Construction Materials
CSR,Materials,Materials,Construction Materials
FBU,Materials,Materials,Construction Materials
JHX,Materials,Materials,Construction Materials
WGN,Materials,Materials,Construction Materials
CWH,Materials,Materials,Construction Materials
AMC,Materials,Materials,Containers & Packaging
ORA,Materials,Materials,Containers & Packaging
PGH,Materials,Materials,Containers & Packaging
PPG,Materials,Materials,Containers & Packaging
NCI,Materials,Materials,Containers & Packaging
DDD,Materials,Materials,Metals & Mining
ARI,Materials,Materials,Metals & Mining
AX8,Materials,Materials,Metals & Mining
ACS,Materials,Materials,Metals & Mining
AIV,Materials,Materials,Metals & Mining
ADY,Materials,Materials,Metals & Mining
ADT,Materials,Materials,Metals & Mining
AML,Materials,Materials,Metals & Mining
AIS,Materials,Materials,Metals & Mining
AMN,Materials,Materials,Metals & Mining
AGR,Materials,Materials,Metals & Mining
A1C,Materials,Materials,Metals & Mining
AQG,Materials,Materials,Metals & Mining
AUQ,Materials,Materials,Metals & Mining
ALY,Materials,Materials,Metals & Mining
AL8,Materials,Materials,Metals & Mining
AQI,Materials,Materials,Metals & Mining
AQX,Materials,Materials,Metals & Mining
ALK,Materials,Materials,Metals & Mining
AHQ,Materials,Materials,Metals & Mining
AGS,Materials,Materials,Metals & Mining
AYR,Materials,Materials,Metals & Mining
ARS,Materials,Materials,Metals & Mining
AZI,Materials,Materials,Metals & Mining
ATC,Materials,Materials,Metals & Mining
AME,Materials,Materials,Metals & Mining
AJM,Materials,Materials,Metals & Mining
AWC,Materials,Materials,Metals & Mining
ANL,Materials,Materials,Metals & Mining
ABR,Materials,Materials,Metals & Mining
AHR,Materials,Materials,Metals & Mining
ADN,Materials,Materials,Metals & Mining
ATM,Materials,Materials,Metals & Mining
AAR,Materials,Materials,Metals & Mining
AGG,Materials,Materials,Metals & Mining
AWV,Materials,Materials,Metals & Mining
ASN,Materials,Materials,Metals & Mining
AZY,Materials,Materials,Metals & Mining
AOP,Materials,Materials,Metals & Mining
AON,Materials,Materials,Metals & Mining
AOR,Materials,Materials,Metals & Mining
ARU,Materials,Materials,Metals & Mining
ARX,Materials,Materials,Metals & Mining
AXE,Materials,Materials,Metals & Mining
ARL,Materials,Materials,Metals & Mining
ADV,Materials,Materials,Metals & Mining
ARD,Materials,Materials,Metals & Mining
AXT,Materials,Materials,Metals & Mining
ARE,Materials,Materials,Metals & Mining
AGY,Materials,Materials,Metals & Mining
AHK,Materials,Materials,Metals & Mining
AMD,Materials,Materials,Metals & Mining
ARV,Materials,Materials,Metals & Mining
AAJ,Materials,Materials,Metals & Mining
AJY,Materials,Materials,Metals & Mining
AKM,Materials,Materials,Metals & Mining
ARO,Materials,Materials,Metals & Mining
ATR,Materials,Materials,Metals & Mining
ATA,Materials,Materials,Metals & Mining
AHN,Materials,Materials,Metals & Mining
AGO,Materials,Materials,Metals & Mining
ATU,Materials,Materials,Metals & Mining
ACP,Materials,Materials,Metals & Mining
AKN,Materials,Materials,Metals & Mining
AMI,Materials,Materials,Metals & Mining
AUR,Materials,Materials,Metals & Mining
AOU,Materials,Materials,Metals & Mining
ARM,Materials,Materials,Metals & Mining
ANW,Materials,Materials,Metals & Mining
ASL,Materials,Materials,Metals & Mining
AUC,Materials,Materials,Metals & Mining
AMG,Materials,Materials,Metals & Mining
AOA,Materials,Materials,Metals & Mining
AQD,Materials,Materials,Metals & Mining
AUL,Materials,Materials,Metals & Mining
APG,Materials,Materials,Metals & Mining
AGD,Materials,Materials,Metals & Mining
ARH,Materials,Materials,Metals & Mining
AYM,Materials,Materials,Metals & Mining
ABX,Materials,Materials,Metals & Mining
AUZ,Materials,Materials,Metals & Mining
AQC,Materials,Materials,Metals & Mining
APC,Materials,Materials,Metals & Mining
AVL,Materials,Materials,Metals & Mining
ANS,Materials,Materials,Metals & Mining
AVB,Materials,Materials,Metals & Mining
AEV,Materials,Materials,Metals & Mining
AVW,Materials,Materials,Metals & Mining
AVZ,Materials,Materials,Metals & Mining
AVQ,Materials,Materials,Metals & Mining
AZM,Materials,Materials,Metals & Mining
AZS,Materials,Materials,Metals & Mining
BAR,Materials,Materials,Metals & Mining
BSE,Materials,Materials,Metals & Mining
BSM,Materials,Materials,Metals & Mining
BSR,Materials,Materials,Metals & Mining
BRL,Materials,Materials,Metals & Mining
BAT,Materials,Materials,Metals & Mining
BAU,Materials,Materials,Metals & Mining
BBX,Materials,Materials,Metals & Mining
BCI,Materials,Materials,Metals & Mining
BCN,Materials,Materials,Metals & Mining
BDR,Materials,Materials,Metals & Mining
BMT,Materials,Materials,Metals & Mining
BHP,Materials,Materials,Metals & Mining
BGS,Materials,Materials,Metals & Mining
BIR,Materials,Materials,Metals & Mining
BIS,Materials,Materials,Metals & Mining
BC8,Materials,Materials,Metals & Mining
BMZ,Materials,Materials,Metals & Mining
BKT,Materials,Materials,Metals & Mining
BEM,Materials,Materials,Metals & Mining
BLK,Materials,Materials,Metals & Mining
BSX,Materials,Materials,Metals & Mining
BGH,Materials,Materials,Metals & Mining
BDI,Materials,Materials,Metals & Mining
BSL,Materials,Materials,Metals & Mining
BMG,Materials,Materials,Metals & Mining
BOA,Materials,Materials,Metals & Mining
BBR,Materials,Materials,Metals & Mining
BOE,Materials,Materials,Metals & Mining
BOC,Materials,Materials,Metals & Mining
BCB,Materials,Materials,Metals & Mining
BRB,Materials,Materials,Metals & Mining
BCK,Materials,Materials,Metals & Mining
BPL,Materials,Materials,Metals & Mining
BYH,Materials,Materials,Metals & Mining
BNR,Materials,Materials,Metals & Mining
BUX,Materials,Materials,Metals & Mining
CAD,Materials,Materials,Metals & Mining
CAI,Materials,Materials,Metals & Mining
CAE,Materials,Materials,Metals & Mining
CAY,Materials,Materials,Metals & Mining
CFE,Materials,Materials,Metals & Mining
CMY,Materials,Materials,Metals & Mining
CAA,Materials,Materials,Metals & Mining
CMM,Materials,Materials,Metals & Mining
CVV,Materials,Materials,Metals & Mining
CWX,Materials,Materials,Metals & Mining
CRB,Materials,Materials,Metals & Mining
CDV,Materials,Materials,Metals & Mining
CAV,Materials,Materials,Metals & Mining
CAP,Materials,Materials,Metals & Mining
CZI,Materials,Materials,Metals & Mining
CMD,Materials,Materials,Metals & Mining
CCZ,Materials,Materials,Metals & Mining
CDT,Materials,Materials,Metals & Mining
CYL,Materials,Materials,Metals & Mining
CAZ,Materials,Materials,Metals & Mining
CNL,Materials,Materials,Metals & Mining
CLA,Materials,Materials,Metals & Mining
CTM,Materials,Materials,Metals & Mining
CTL,Materials,Materials,Metals & Mining
CXM,Materials,Materials,Metals & Mining
CVS,Materials,Materials,Metals & Mining
CHN,Materials,Materials,Metals & Mining
CIA,Materials,Materials,Metals & Mining
CHZ,Materials,Materials,Metals & Mining
CMC,Materials,Materials,Metals & Mining
CII,Materials,Materials,Metals & Mining
CTO,Materials,Materials,Metals & Mining
CLY,Materials,Materials,Metals & Mining
CLZ,Materials,Materials,Metals & Mining
CDG,Materials,Materials,Metals & Mining
COB,Materials,Materials,Metals & Mining
CHK,Materials,Materials,Metals & Mining
CKA,Materials,Materials,Metals & Mining
CLL,Materials,Materials,Metals & Mining
CRL,Materials,Materials,Metals & Mining
CDB,Materials,Materials,Metals & Mining
CNJ,Materials,Materials,Metals & Mining
CSD,Materials,Materials,Metals & Mining
CZL,Materials,Materials,Metals & Mining
C6C,Materials,Materials,Metals & Mining
CSE,Materials,Materials,Metals & Mining
COY,Materials,Materials,Metals & Mining
CZN,Materials,Materials,Metals & Mining
CXO,Materials,Materials,Metals & Mining
CIZ,Materials,Materials,Metals & Mining
CGM,Materials,Materials,Metals & Mining
CZR,Materials,Materials,Metals & Mining
CXX,Materials,Materials,Metals & Mining
CGN,Materials,Materials,Metals & Mining
CUX,Materials,Materials,Metals & Mining
CAS,Materials,Materials,Metals & Mining
CDU,Materials,Materials,Metals & Mining
CUL,Materials,Materials,Metals & Mining
CY5,Materials,Materials,Metals & Mining
DCN,Materials,Materials,Metals & Mining
DAU,Materials,Materials,Metals & Mining
DNK,Materials,Materials,Metals & Mining
DHR,Materials,Materials,Metals & Mining
DTM,Materials,Materials,Metals & Mining
DTR,Materials,Materials,Metals & Mining
DAV,Materials,Materials,Metals & Mining
DEG,Materials,Materials,Metals & Mining
DMI,Materials,Materials,Metals & Mining
DGO,Materials,Materials,Metals & Mining
DGR,Materials,Materials,Metals & Mining
DRX,Materials,Materials,Metals & Mining
DAF,Materials,Materials,Metals & Mining
DME,Materials,Materials,Metals & Mining
DRM,Materials,Materials,Metals & Mining
DRA,Materials,Materials,Metals & Mining
DMG,Materials,Materials,Metals & Mining
DRG,Materials,Materials,Metals & Mining
DRK,Materials,Materials,Metals & Mining
DKM,Materials,Materials,Metals & Mining
DMA,Materials,Materials,Metals & Mining
E2M,Materials,Materials,Metals & Mining
EM2,Materials,Materials,Metals & Mining
EGS,Materials,Materials,Metals & Mining
EFE,Materials,Materials,Metals & Mining
EAR,Materials,Materials,Metals & Mining
EGA,Materials,Materials,Metals & Mining
EHX,Materials,Materials,Metals & Mining
E25,Materials,Materials,Metals & Mining
MZM,Materials,Materials,Metals & Mining
ELT,Materials,Materials,Metals & Mining
EMR,Materials,Materials,Metals & Mining
EM1,Materials,Materials,Metals & Mining
EMG,Materials,Materials,Metals & Mining
ERM,Materials,Materials,Metals & Mining
ERL,Materials,Materials,Metals & Mining
EMU,Materials,Materials,Metals & Mining
ENR,Materials,Materials,Metals & Mining
ENT,Materials,Materials,Metals & Mining
EQX,Materials,Materials,Metals & Mining
EQE,Materials,Materials,Metals & Mining
ESM,Materials,Materials,Metals & Mining
ESR,Materials,Materials,Metals & Mining
EUC,Materials,Materials,Metals & Mining
EUR,Materials,Materials,Metals & Mining
EMH,Materials,Materials,Metals & Mining
EVN,Materials,Materials,Metals & Mining
EXG,Materials,Materials,Metals & Mining
EXU,Materials,Materials,Metals & Mining
FEL,Materials,Materials,Metals & Mining
FTZ,Materials,Materials,Metals & Mining
FND,Materials,Materials,Metals & Mining
FCC,Materials,Materials,Metals & Mining
FGR,Materials,Materials,Metals & Mining
FMS,Materials,Materials,Metals & Mining
FML,Materials,Materials,Metals & Mining
4CE,Materials,Materials,Metals & Mining
FRC,Materials,Materials,Metals & Mining
FMG,Materials,Materials,Metals & Mining
FYA,Materials,Materials,Metals & Mining
FRN,Materials,Materials,Metals & Mining
FHS,Materials,Materials,Metals & Mining
FDX,Materials,Materials,Metals & Mining
FNT,Materials,Materials,Metals & Mining
FYI,Materials,Materials,Metals & Mining
GXY,Materials,Materials,Metals & Mining
G1A,Materials,Materials,Metals & Mining
GAL,Materials,Materials,Metals & Mining
GCY,Materials,Materials,Metals & Mining
GML,Materials,Materials,Metals & Mining
GBM,Materials,Materials,Metals & Mining
GBZ,Materials,Materials,Metals & Mining
GMD,Materials,Materials,Metals & Mining
GES,Materials,Materials,Metals & Mining
GPR,Materials,Materials,Metals & Mining
GBG,Materials,Materials,Metals & Mining
GLA,Materials,Materials,Metals & Mining
GFI,Materials,Materials,Metals & Mining
GSC,Materials,Materials,Metals & Mining
GBE,Materials,Materials,Metals & Mining
GME,Materials,Materials,Metals & Mining
GMN,Materials,Materials,Metals & Mining
GOR,Materials,Materials,Metals & Mining
GCR,Materials,Materials,Metals & Mining
GED,Materials,Materials,Metals & Mining
G88,Materials,Materials,Metals & Mining
GMR,Materials,Materials,Metals & Mining
GNG,Materials,Materials,Metals & Mining
GRR,Materials,Materials,Metals & Mining
GPX,Materials,Materials,Metals & Mining
GBR,Materials,Materials,Metals & Mining
GTE,Materials,Materials,Metals & Mining
GGG,Materials,Materials,Metals & Mining
GTR,Materials,Materials,Metals & Mining
GMC,Materials,Materials,Metals & Mining
GUL,Materials,Materials,Metals & Mining
GWR,Materials,Materials,Metals & Mining
HMX,Materials,Materials,Metals & Mining
HHM,Materials,Materials,Metals & Mining
HNR,Materials,Materials,Metals & Mining
HAR,Materials,Materials,Metals & Mining
HDY,Materials,Materials,Metals & Mining
HAS,Materials,Materials,Metals & Mining
HAV,Materials,Materials,Metals & Mining
HWK,Materials,Materials,Metals & Mining
HAW,Materials,Materials,Metals & Mining
HLX,Materials,Materials,Metals & Mining
HRR,Materials,Materials,Metals & Mining
HXG,Materials,Materials,Metals & Mining
HGM,Materials,Materials,Metals & Mining
HIG,Materials,Materials,Metals & Mining
HEG,Materials,Materials,Metals & Mining
HGO,Materials,Materials,Metals & Mining
HRN,Materials,Materials,Metals & Mining
HOR,Materials,Materials,Metals & Mining
HCH,Materials,Materials,Metals & Mining
HDX,Materials,Materials,Metals & Mining
HCO,Materials,Materials,Metals & Mining
ILU,Materials,Materials,Metals & Mining
IMA,Materials,Materials,Metals & Mining
IMD,Materials,Materials,Metals & Mining
IPT,Materials,Materials,Metals & Mining
ICG,Materials,Materials,Metals & Mining
IGO,Materials,Materials,Metals & Mining
IRL,Materials,Materials,Metals & Mining
IDA,Materials,Materials,Metals & Mining
IDO,Materials,Materials,Metals & Mining
INF,Materials,Materials,Metals & Mining
IRC,Materials,Materials,Metals & Mining
IGS,Materials,Materials,Metals & Mining
IAU,Materials,Materials,Metals & Mining
IVR,Materials,Materials,Metals & Mining
IRD,Materials,Materials,Metals & Mining
IBG,Materials,Materials,Metals & Mining
JDR,Materials,Materials,Metals & Mining
JAL,Materials,Materials,Metals & Mining
JRV,Materials,Materials,Metals & Mining
JRL,Materials,Materials,Metals & Mining
JMS,Materials,Materials,Metals & Mining
KAI,Materials,Materials,Metals & Mining
KZR,Materials,Materials,Metals & Mining
KGM,Materials,Materials,Metals & Mining
KAS,Materials,Materials,Metals & Mining
KPC,Materials,Materials,Metals & Mining
KBL,Materials,Materials,Metals & Mining
KGL,Materials,Materials,Metals & Mining
KNL,Materials,Materials,Metals & Mining
KDR,Materials,Materials,Metals & Mining
KIN,Materials,Materials,Metals & Mining
KIS,Materials,Materials,Metals & Mining
KRC,Materials,Materials,Metals & Mining
KCN,Materials,Materials,Metals & Mining
KRM,Materials,Materials,Metals & Mining
KSN,Materials,Materials,Metals & Mining
KLA,Materials,Materials,Metals & Mining
KFE,Materials,Materials,Metals & Mining
KMT,Materials,Materials,Metals & Mining
KRX,Materials,Materials,Metals & Mining
KOR,Materials,Materials,Metals & Mining
KP2,Materials,Materials,Metals & Mining
KTA,Materials,Materials,Metals & Mining
KGD,Materials,Materials,Metals & Mining
LSA,Materials,Materials,Metals & Mining
LKE,Materials,Materials,Metals & Mining
LNY,Materials,Materials,Metals & Mining
LGR,Materials,Materials,Metals & Mining
LRS,Materials,Materials,Metals & Mining
LCD,Materials,Materials,Metals & Mining
LMG,Materials,Materials,Metals & Mining
LEX,Materials,Materials,Metals & Mining
LCY,Materials,Materials,Metals & Mining
LEG,Materials,Materials,Metals & Mining
LPD,Materials,Materials,Metals & Mining
LML,Materials,Materials,Metals & Mining
LIN,Materials,Materials,Metals & Mining
LLO,Materials,Materials,Metals & Mining
LTR,Materials,Materials,Metals & Mining
LIT,Materials,Materials,Metals & Mining
LI3,Materials,Materials,Metals & Mining
LPI,Materials,Materials,Metals & Mining
LSR,Materials,Materials,Metals & Mining
LOM,Materials,Materials,Metals & Mining
LYC,Materials,Materials,Metals & Mining
MLD,Materials,Materials,Metals & Mining
MAH,Materials,Materials,Metals & Mining
MRP,Materials,Materials,Metals & Mining
MAG,Materials,Materials,Metals & Mining
MAU,Materials,Materials,Metals & Mining
MGT,Materials,Materials,Metals & Mining
MNS,Materials,Materials,Metals & Mining
MGU,Materials,Materials,Metals & Mining
MGL,Materials,Materials,Metals & Mining
MKG,Materials,Materials,Metals & Mining
MAR,Materials,Materials,Metals & Mining
MSR,Materials,Materials,Metals & Mining
MDD,Materials,Materials,Metals & Mining
MZN,Materials,Materials,Metals & Mining
MQR,Materials,Materials,Metals & Mining
MYE,Materials,Materials,Metals & Mining
MZZ,Materials,Materials,Metals & Mining
