,symbol,mean_actual_val,median_actual_val,mean_predicted_val,median_predicted_val,mae,mape,rsquared,explain_variance,medae,num_vals
0,KLL,3.8165671825408936,2.4847683906555176,3.978933811187744,1.1055179834365845,3.757297992706299,42.65761077404022,0.8304086402400281,0.8305003643035889,2.271056652069092,58
0,KMC,-4.072309970855713,-7.1428608894348145,-2.7013533115386963,-2.5359244346618652,8.359294891357422,53.26208472251892,0.8806451525681039,0.8821174502372742,4.558746337890625,185
0,KMD,1.982302188873291,3.571392774581909,2.203880786895752,2.4565157890319824,3.9080448150634766,49.506863951683044,0.8728926774508663,0.8730701208114624,2.4860591888427734,413
0,KME,-7.603655815124512,-3.0601859092712402,-4.105740547180176,-0.7853462100028992,10.305466651916504,58.00374746322632,0.7747060825167039,0.7853518724441528,5.794583320617676,235
0,KNL,-3.2165560722351074,0.0,-2.8006751537323,-0.19561731815338135,7.638473033905029,51.13148093223572,0.8833980151288294,0.8835429549217224,4.298211097717285,329
0,KNM,-6.874619007110596,0.0,-3.421661853790283,-0.6005075573921204,9.57709789276123,64.01141285896301,0.8219367164333743,0.8323770761489868,5.952747344970703,165
0,KNO,-12.01196575164795,-14.285711288452148,-9.143895149230957,-8.739432334899902,7.284860134124756,48.98810684680939,0.7959491928594766,0.8082312345504761,4.691707611083984,99
0,KOR,-11.067152976989746,-6.559138298034668,-8.797473907470703,-4.333621025085449,10.320940971374512,68.3814525604248,0.8162847192795109,0.820546567440033,7.590690612792969,432
0,KOV,1.7255464792251587,1.9754562377929688,1.2213337421417236,0.6336852312088013,3.386838674545288,55.23139834403992,0.8385004758028778,0.8402082324028015,2.3464438915252686,340
0,KPC,-11.697859764099121,-10.874706268310547,-8.678864479064941,-8.993637084960938,13.059235572814941,53.98983359336853,0.6955578964971587,0.7016346454620361,7.313481330871582,122
0,KPL,-2.9589626789093018,-2.7973411083221436,-2.4056718349456787,-1.6732423305511475,5.772634029388428,51.18447542190552,0.7509728572700172,0.7518535852432251,3.342766284942627,194
