,explain_variance,mae,mape,medae,num_vals,r2,symbol
0,0.7537202249606648,5.8131876842309245,70.06457601079377,4.097752910223062,78,0.7311364953182018,1ST
0,0.809341960745657,9.161088709306217,68.64589591520276,5.596843648839869,141,0.8089774747631151,AOU
0,0.9324373848842351,7.746433178486655,64.07823939411318,5.480158432593454,287,0.9321994450395324,AUC
0,0.8272555629382202,3.5010910379031843,58.01246750039364,2.4352301166701187,199,0.8272506854078311,BYI
0,0.9439055289032968,6.844368903649618,50.72732188803557,3.683301686356847,458,0.9437032911385449,GOR
0,0.8940492735853477,2.4471398095807704,44.27061310618566,2.1190335433196816,88,0.8939399464723775,IEL
0,0.7100368684021203,12.455834343189837,166.28370509565622,7.233100597389242,331,0.710036612434748,LNY
0,0.8933318054240376,5.604131375131069,45.97969295700756,3.828235235163759,74,0.8910523664608099,LPI
0,0.918102075634518,7.9428502041075895,53.20722582784773,4.875199768994294,191,0.9179749333069503,MDI
0,0.5585300213909087,4.9005691885459335,68.16816873144404,1.9673376942584835,118,0.5582607420931567,NCC
0,0.8981753098707449,6.283245002210827,60.3855974361323,4.302640596963032,468,0.8977036503919986,PBT
0,0.9071385642297181,9.467796971906951,62.14500486590649,5.382575988769535,311,0.9068306965048984,RVR
0,0.848456254207258,3.6924866927790734,43.13918916040299,2.4455797313097456,232,0.8446121539582736,RXP
0,0.7883760539286055,13.437562450685803,65.38435582625335,8.141279488656528,165,0.7878895500696417,TND
0,0.8730666051972216,8.727236765773824,62.78847676871592,5.238050215569296,378,0.872841886593922,USA
0,0.9529585914014903,2.5387329061219504,45.90044419253406,1.634631175199237,257,0.9528952120285153,VTA
0,0.850547872002503,8.075746535135366,49.50856771997564,4.905150793216853,142,0.8436978046218502,XTD
0,0.5558648134899152,2.462895983371618,45.67779146707151,0.8371979470745265,89,0.5369147641492061,generic
