,explain_variance,mae,mape,mean_actual_val,mean_predicted_val,medae,median_actual_val,median_predicted_val,num_vals,r2,symbol
0,0.9792883981558738,1.8164989405751049,17.78946485478577,2.3475382503809534,1.769132375717163,0.9398716125848194,-1.1006481594716864,-1.977599859237671,63,0.9783076036491872,1ST
0,0.9543945336552199,3.7629675977786325,18.69039141633174,1.2193830065305005,1.784611701965332,1.8636117262869947,-6.406406406406406,-4.684691905975342,126,0.9539993466626985,4DS
0,0.9702205058198752,1.701275109489786,19.045615501417632,-2.12201918254475,-2.373812437057495,1.03540270488618,-2.1129032258064533,-1.7292065620422363,68,0.9699210312614557,9SP
0,0.9725618506615908,1.6276664202917563,14.991811851602154,3.3517711911338446,3.030562162399292,0.9454997144390074,4.855745050523526,4.433727264404297,515,0.972109461805879,AAD
0,0.9455412938021137,4.610407451172124,21.601115979334395,-3.477636970277165,-4.8621063232421875,1.5186112844027022,-9.33866279069767,-8.790457725524902,256,0.9447280253163958,AB1
0,0.9835336958033248,0.8673142958937894,13.011598673841911,4.554915142057844,4.483795166015625,0.561563284457581,3.9298533753536526,4.13934326171875,510,0.9834861453659943,ABC
0,0.9420045797659641,2.3661551055250505,19.639247113755527,-1.9020459158553116,-2.514972686767578,1.2000477454241583,0.0,0.01890280842781067,56,0.9408948393030477,ABT
0,0.9703452361090545,2.767810744873395,13.618318689651188,0.5555062132193501,-0.15406982600688934,1.2403841818504144,-8.111622866431853,-7.904374599456787,325,0.9698196408772265,ACG
0,0.982483350679005,2.113019485320363,15.097149065724425,-0.19854935103059343,-0.38890665769577026,1.2874098108775645,-3.2412327311370848,-2.9250218868255615,509,0.9824267736938234,ACR
0,0.9714829329384125,3.122833812913113,13.684796062935705,-0.7915093281828732,-1.2826769351959229,1.7241715185515094,-9.997900041999165,-9.205857276916504,428,0.9712856406416513,ADN
0,0.9115463288550267,5.008367093890937,17.02538726075776,1.667340174224023,0.5088601112365723,1.9362948205736092,-5.555555555555541,-4.239833831787109,275,0.9107703793621262,ADV
0,0.9534932829900649,3.3566155466495893,14.36615931923335,-2.402248210482606,-3.558781623840332,1.1492275620503882,-6.316489361702132,-6.052520751953125,390,0.9526442746363425,ADY
0,0.882463168559357,4.960545846365425,21.893901124595935,6.062142832486405,4.365227222442627,1.8435707092285112,-2.2727272727272747,-2.6538383960723877,239,0.8806853447216311,AEI
0,0.9313610532477854,3.9441393015388337,17.94835713693201,-0.7083154480134989,-1.815873384475708,1.2510144521319626,-3.4596211365902265,-3.079350471496582,186,0.930070108743829,AEK
0,0.9247813702630441,3.7694417624346914,20.734454376436545,1.6910909335687017,2.4810492992401123,1.71501246118161,0.0,-0.030299395322799683,191,0.9237991474519966,AFA
0,0.9660586677218914,1.8114083153244611,17.6364238808334,0.265483963492807,0.1454959362745285,1.008227459140405,-1.382570648757682,-1.4899775981903076,372,0.9660098039208118,AGG
0,0.9047695010841885,6.429403582109809,16.342854539664405,15.34165811534121,12.108473777770996,1.5297558728386385,-6.666666666666661,-6.016374588012695,307,0.9035486978175582,AGR
0,0.9823339253336447,3.099476338198057,13.847531801560772,0.7782687048843432,0.5712922215461731,1.7812361283735711,-8.333333333333341,-7.694719314575195,139,0.9823031577263651,AGU
0,0.8272893579326874,7.476666841303197,26.811361948524805,-2.267695239972801,-2.1876156330108643,2.963566948385801,-7.2807017543859605,-6.81342887878418,110,0.8272841820846598,AHK
0,0.9645282887078436,4.085198685172989,17.560689276054557,-4.632797333975613,-4.013247013092041,2.544616699218759,-10.000000000000009,-8.803618431091309,165,0.964190759718888,AHN
