"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio"
"AJL",0.39,,,"9/1/2009",0.005,0.01282,"2017-02-03",0.39,0.4,0.395,0.6,0.145,150540000,,"ASX",17984,-0.067,0.1,0.228,15050000,1.185,1.711,,0,,,"0.000"
"AJM",0.175,,,"11/25/2002",0.002,0.011430000000000001,"2017-02-03",0.175,0.185,0.177,0.282,0.051,216380000,,"ASX",1266641,-0.035,-0.01,0.017,-7000000,158.467,10.294,,0,,17.7,"0.000"
"AJQ",0.07,,,,0.001,0.01429,"2017-02-03",0.07,0.071,0.071,0.125,0.052,22920000,,"ASX",1555900,-0.06,-0.02,0.157,-8910000,279.424,0.446,,0,,,"0.000"
"AJX",0.63,,,,0,0,"2017-02-03",0.63,0.63,0.63,0.9,0.47,188200000,,"ASX",241951,-0.07,0.02,0.04,-15700000,62.71,16.58,,0,31.5,63,"0.00"
"AKK",0.006,,,,0,0,"2017-02-03",0.005,0.007,0.006,0.012,0.004,6710000,,"ASX",78846213,-0.014,0.04,0.01,-3410000,11.063,0.6,,0,,,"0.000"
"AKM",0.03,,,,0,0.0345,"2017-02-03",0.03,0.03,0.03,0.06,0,27850000,,"ASX",123271,0,-0.03,0.04,-1780000,,0.78,,0,,,"0.00"
"AKP",12.61,,,,0.38,0.0301,"2017-02-03",12.75,13,12.99,34.8,6.95,349340000,,"ASX",788,-0.22,,0.15,-3800000,,81.88,,0,,,"0.00"
"ALC",0.079,,,,-0.001,-0.01266,"2017-02-03",0.078,0.08,0.078,0.145,0.035,47020000,,"ASX",710905,-0.006,,0.011,-1400000,11.701,7.182,,0,,,"0.000"
"ALF",1.44,,,,-0.03,-0.0208,"2017-02-03",1.41,1.46,1.41,1.58,1.36,,,"ASX",564296,0.11,,0,"0.00",,,,0,,,"0.00"
"ALI",1.65,,,,0,-0.003,"2017-02-03",1.65,1.66,1.65,1.97,1.62,,,"ASX",105747,,,0,"0.00",,,,0,,,"0.00"
"ALK",0.34,,,,0.02,0.0588,"2017-02-03",0.34,0.37,0.36,0.65,0.18,171420000,,"ASX",1349960,0.01,0.01,0.4,36240000,1.48,0.85,32.73,18.25,36,,"0.00"
"ALL",15.33,1.9,0.22,"6/1/2016",-0.2,-0.013000000000000001,"2017-02-03",15.13,15.44,15.13,16.68,9.24,9640000000,,"ASX",1203931,0.55,0.75,1.7,763000000,4.59,9.02,27.56,1.56,20.17,18.23,"0.00"
"ALQ",5.98,2.21,0.1,"12/5/2016",0.02,0.0033,"2017-02-03",5.9,6.07,6,6.6,2.93,3010000000,,"ASX",1488212,-0.49,0.21,2.35,223000000,2.27,2.54,,1.73,28.57,22.22,"0.00"
"ALR",1.12,,,,0,-0.0044,"2017-02-03",1.12,1.13,1.12,1.16,0.95,,,"ASX",10800,0.04,,0,"0.00",,,,0,,,"0.00"
"ALT",0.006,,,,0,0,"2017-02-03",0.006,0.006,0.006,0.01,0.002,13210000,,"ASX",8500,-0.003,,0.001,-3820000,6.305,6,,0,,,"0.000"
"ALU",8.25,3.6,0.22,"9/22/2016",0.03,0.0036,"2017-02-03",8.22,8.48,8.28,9.98,4.87,1080000000,,"ASX",321168,0.18,0.22,1,28590000,11.47,8.22,46.26,1.55,37.64,30.67,"0.00"
"ALY",0.02,,,,0,0,"2017-02-03",0.02,0.02,0.02,0.03,0.01,4620000,,"ASX",325000,0,,0.06,"-552102.00",,0.33,,0,,,"0.00"
"AMA",1.01,,,"3/3/2016",0.01,0.009899999999999999,"2017-02-03",1.01,1.02,1.02,1.15,0.75,482660000,,"ASX",18993,0.01,0.05,0.31,24680000,1.81,3.26,68,-9.38,20.4,17,"0.00"
"AMC",14.09,,,"9/6/2016",0.08,0.005699999999999999,"2017-02-03",13.97,14.21,14.17,16.66,12.06,16379999999.999998,,"ASX",3390781,0.21,0.59,0.68,1380000000,1.73,20.78,68.45,2.38,24.02,21.8,"0.00"
"AMH",0.92,,,,-0.02,-0.016399999999999998,"2017-02-03",0.9,0.91,0.9,1.03,0.83,232180000,,"ASX",65748,0.02,,0.87,"0.00",35.24,1.06,47.37,0,,,"0.00"
"AMI",0.17,,,,0,0,"2017-02-03",0.17,0.17,0.17,0.22,0.05,65959999.99999999,,"ASX",122392,0.02,0.03,-0.06,32110000,0.72,,7.08,0.46,5.67,1.55,"0.00"
"AML",0.19,,,,0.01,0.0256,"2017-02-03",0.19,0.2,0.2,0.2,0.03,68170000,,"ASX",48514,-0.01,,0.09,-1650000,,2.05,,0,,,"0.00"
"AMP",5.07,8.5,0.29,"8/31/2016",-0.01,-0.002,"2017-02-03",5.04,5.12,5.06,5.96,4.39,14820000000,,"ASX",6804562,0.34,0.23,2.94,2780000000,1.29,1.72,15.06,61.22,22,14.46,"0.00"
"AMT",0.15,,,,0,0,"2017-02-03",0.15,0.15,0.15,0.23,0,9540000,,"ASX",15000,-0.03,,0.03,-1170000,1.59,4.41,,0,,,"0.00"
"ANG",0.19,,,"3/3/2014",-0.01,-0.0526,"2017-02-03",0.18,0.19,0.18,0.22,0.08,94720000,,"ASX",1242532,-0.27,0,0.26,-10840000,0.53,0.73,,0,,18,"0.00"
"ANL",0.038,,,,-0.001,-0.02632,"2017-02-03",0.037,0.041,0.037,0.085,0.018,35600000,,"ASX",902345,-0.016,,0.016,-2600000,2677.186,2.375,,0,,,"0.000"
"ANN",21.75,,,"9/19/2016",0.14,0.0064,"2017-02-03",21.61,22.18,21.89,25.67,14.76,3230000000,,"ASX",820778,1.04,1.06,7.59,267300000,2.04,2.86,20.95,4.88,20.65,19.37,"0.00"
"ANQ",0.003,,,,0,0,"2017-02-03",0.003,0.003,0.003,0.009,0.001,8020000,,"ASX",1854292,-0.003,,-0.005,-5870000,650.263,,,0,,,"0.000"
"ANR",1.25,,,,0.03,0.024,"2017-02-03",1.28,1.28,1.28,1.8,0.97,63250000,,"ASX",5000,-0.01,-0.06,0.27,"-990867.00",25.23,4.58,,0,,64,"0.00"
"ANW",0.01,,,,0,0,"2017-02-03",0.01,0.01,0.01,0.02,0,15070000,,"ASX",7804700,0,,0.01,-1030000,6211.71,1.43,,0,,,"0.00"
"ANZ",29.39,7.79,1.68,"11/14/2016",-0.28,-0.0095,"2017-02-03",29.06,29.4,29.11,31.84,21.86,84390000000,,"ASX",4128171,1.89,2.31,19.94,"0.00",4.58,1.47,15.38,1.71,12.66,12.13,"0.00"
"AO1",0.28,,,,0,0,"2017-02-03",0.28,0.28,0.28,0.28,0.02,16950000000,,"ASX",2996,-2.92,,0,"0.00",,,,0,,,"0.00"
"AOA",0.008,,,,-0.001,-0.125,"2017-02-03",0.007,0.007,0.007,0.015,0.005,1680000,,"ASX",80153,-0.004,,0.01,"-301544.00",,0.8,,0,,,"0.000"
"AOD",0.71,,,,-0.01,-0.0141,"2017-02-03",0.7,0.7,0.7,0.75,0.67,14020000000,,"ASX",1000,-0.13,,0.71,"0.00",,1,,0,,,"0.00"
"AOF",2.06,,,"9/29/2016",0,0,"2017-02-03",2.05,2.06,2.06,2.29,1.97,,,"ASX",221997,,0.17,0,"0.00",,,,0,,,"0.00"
"AOG",3.15,,,"6/29/2016",0,0,"2017-02-03",3.13,3.17,3.15,3.69,2.77,1700000000,,"ASX",487627,0.22,0.19,3.01,61000000,3.84,1.05,14.25,0.74,16.58,13.7,"0.00"
"AOH",0.14,,,,-0.005,-0.03571,"2017-02-03",0.135,0.145,0.135,0.15,0.085,72490000,,"ASX",649303,-0.01,-0.01,0.107,-6320000,,1.308,,-1.23,,,"0.000"
"AOK",0.045,,,,0,0,"2017-02-03",0.045,0.045,0.045,0.067,0.044,25320000,,"ASX",93243,-0.036,0,0.067,"-127324.00",3.3,0.672,,0,,,"0.000"
"AOP",0.076,,,,0.01,0.13158,"2017-02-03",0.086,0.086,0.086,0.2,0.05,12670000,,"ASX",51250,-0.002,,0.054,"22536.00",49.802,1.407,,0,,,"0.000"
"AOW",0.057,,,,0.001,0.01754,"2017-02-03",0.058,0.058,0.058,0.21,0.058,10960000,,"ASX",93504,-0.014,,0.058,-2310000,,0.983,,0,,,"0.000"
"APA",8.34,4.75,0.3,"6/29/2016",0.15,0.018000000000000002,"2017-02-03",8.31,8.54,8.49,9.85,7.15,9460000000,,"ASX",1232775,0.16,0.22,3.62,1330000000,4.44,2.31,52.73,1.28,38.59,33.96,"0.00"
"APC",0.12,,,,-0.01,-0.0435,"2017-02-03",0.11,0.12,0.11,0.12,0.11,16230000,,"ASX",183664,-0.04,,0,-4730000,1004.74,23,,0,,,"0.00"
"APD",0.41,,,"3/15/2016",-0.01,-0.024399999999999998,"2017-02-03",0.4,0.41,0.4,0.64,0.35,117080000,,"ASX",20138,0.17,0.01,0.47,5400000,6.04,0.88,2.35,0,,,"0.00"
"APE",9.53,,,"3/24/2016",-0.04,-0.0042,"2017-02-03",9.43,9.58,9.49,12.5,8.41,1760000000,,"ASX",48776,0.48,0.52,3.77,165800000,0.51,2.53,19.77,2.18,18.25,16.65,"0.00"
"APG",0.007,,,,0,0,"2017-02-03",0.007,0.007,0.007,0.018,0.003,10390000,,"ASX",65000,0.001,,0.024,-2049999.9999999998,,0.292,7,0,,,"0.000"
"API",1.87,,,"11/3/2016",0,0,"2017-02-03",1.85,1.88,1.87,2.24,1.57,914610000,,"ASX",972233,0.1,0.12,1.1,102780000,0.24,1.7,17.81,1.53,15.58,14.38,"0.00"
"APL",1.1,,,,-0.005,-0.00455,"2017-02-03",1.085,1.1,1.095,1.1,1.025,,,"ASX",280182,,,0,"0.00",,,,0,,,"0.000"
"APN",2.51,,,"8/30/2012",-0.01,-0.004,"2017-02-03",2.47,2.51,2.5,4.73,2.4,490030000,,"ASX",611395,-1.8,0.19,1.39,139460000,0.58,1.81,,-0.61,13.16,11.9,"0.00"
"APO",5.65,,,"3/9/2016",0.11,0.0195,"2017-02-03",5.63,5.78,5.76,8.28,4.35,959700000,,"ASX",737185,0.29,0.31,1.5,81430000,2.99,3.77,20.14,1.29,18.58,16.46,"0.00"
"APW",1.58,,,"9/29/2016",0,-0.0032,"2017-02-03",1.57,1.57,1.57,1.59,1.1,,,"ASX",25000,0.09,,0,"0.00",,,,0,,,"0.00"
"APX",2.8,,,"9/1/2016",-0.02,-0.0070999999999999995,"2017-02-03",2.76,2.8,2.78,3.62,1.25,269930000,,"ASX",97642,0.11,0.11,0.32,18030000,2.71,8.7,24.82,0,25.27,19.86,"0.00"
"APY",0.01,,,,0.001,0.1,"2017-02-03",0.011,0.012,0.011,0.019,0.006,12750000,,"ASX",11853429,0.006,0,0.006,-3210000,19.948,1.667,1.833,0,,,"0.000"
"AQC",0.018,,,,-0.001,-0.05556,"2017-02-03",0.016,0.017,0.017,0.031,0.009,73410000,,"ASX",676200,-0.002,,0.003,-4040000,598.729,6,,0,,,"0.000"
"AQD",0.007,,,,0,0,"2017-02-03",0.007,0.007,0.007,0.019,0.005,3500000,,"ASX",1982240,-0.016,,0.021,-1000000,179.363,0.333,,0,,,"0.000"
"AQF",1.89,,,,0,0,"2017-02-03",1.89,1.89,1.89,1.98,1.5,,,"ASX",35199,,,0,"0.00",,,,0,,,"0.00"
"AQG",2.55,,,"3/25/2014",0.02,0.0078000000000000005,"2017-02-03",2.56,2.62,2.57,3.85,1.88,750550000,,"ASX",1043188,0.08,0.07,2.23,46850000,4.82,1.14,30.6,-9.75,36.71,64.25,"0.00"
"AQI",0.18,,,,0.02,0.11109999999999999,"2017-02-03",0.19,0.2,0.2,0.45,0.03,14410000,,"ASX",74000,-0.02,,0.02,-1450000,79.96,8.57,,0,,,"0.00"
"AQX",0.03,,,,-0.002,-0.06667,"2017-02-03",0.027,0.03,0.028,0.057,0.025,5400000,,"ASX",146931,-0.037,,0.013,"-648557.00",740.44,2.308,,0,,,"0.000"
"AQZ",0.79,,,"9/21/2016",0.01,0.0127,"2017-02-03",0.79,0.8,0.8,0.88,0.42,96800000,,"ASX",14911,0.12,0.12,1.05,42540000,0.52,0.75,6.84,0.52,6.67,6.15,"0.00"
"AR1",0.012,,,,-0.001,-0.08333,"2017-02-03",0.011,0.011,0.011,0.022,0.011,2460000,,"ASX",895109,0.024,,0.004,"-548259.00",737.797,3,0.458,0,,,"0.000"
"ARA",0.65,,,"9/8/2016",0,0,"2017-02-03",0.65,0.65,0.65,0.69,0.31,130699999.99999999,,"ASX",25000,0.05,,0.43,12830000,4.23,1.51,12.04,0,,,"0.00"
"ARB",16.07,2.85,0.37,"10/6/2016",-0.01,-0.0006,"2017-02-03",15.91,16.25,16.06,18.5,14.46,1270000000,,"ASX",77064,0.6,0.66,3.15,69250000,3.56,5.1,26.81,2,24.33,22,"0.00"
