symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio
CAB,3.79,3.8,0,0,3/30/2016,-0.06,-0.0158,30/1/17,3.68,3.8,3.73,4.09,2.83,449200000,,ASX,21030,0.21,0.3,3.23,57050000,2.7,1.17,17.51,-1.18,12.43,13.32,0
CAD,0.003,0.003,,,,0,0,30/1/17,0.003,0.003,0.003,0.006,0.001,11760000,,ASX,21694232,-0.001,,0.001,-357006,,3,,0,,,0
CAJ,0.12,0.115,,,9/23/2015,-0.005,-0.04167,30/1/17,0.115,0.12,0.115,0.225,0.1,60150000,,ASX,298123,-0.009,0.02,0.162,21240000,0.397,0.741,,0.27,5.75,5.75,0
CAM,0.88,0.88,,,,0.02,0.0227,30/1/17,0.88,0.9,0.9,0.9,0.75,,,ASX,109961,-0.01,,0,0,,,,0,,,0
CAP,0.07,0.067,,,,-0.003,-0.04286,30/1/17,0.067,0.067,0.067,0.074,0.022,7750000,,ASX,30000,-0.012,,0.03,-1210000,70.799,2.333,,0,,,0
CAR,10.65,10.58,,,3/23/2016,-0.19,-0.0178,30/1/17,10.45,10.64,10.46,13.63,9.57,2520000000,,ASX,658011,0.45,0.5,1.06,166200000,7.46,10.03,23.09,1.74,20.92,19.02,0
CAT,2.46,2.46,,,,-0.04,-0.0163,30/1/17,2.41,2.5,2.42,4.29,1.95,291730000,,ASX,168779,-0.05,0,0.1,-7410000,17.07,24.85,,0,,60.5,0
CAY,0.083,0.083,,,,-0.001,-0.01205,30/1/17,0.082,0.083,0.082,0.18,0.04,15130000,,ASX,200821,-0.028,,0.006,-2100000,675.205,13.833,,0,,,0
CAZ,0.085,0.085,,,,-0.006,-0.07059,30/1/17,0.079,0.086,0.079,0.125,0.022,13510000,,ASX,659700,-0.013,,0.128,-631267,49.985,0.664,,0,,,0
CBA,82.98,82.57,7.64,4.61,8/17/2016,-0.79,-0.0095,30/1/17,81.78,82.68,82.19,85.65,69.22,1.4063E+11,,ASX,1591614,5.29,5.57,35.19,0,6.09,2.36,15.53,4.84,14.76,14.39,0
CBC,0.93,0.9,,,11/16/2016,0.01,0.0108,30/1/17,0.9,0.94,0.94,0.95,0.83,23160000,,ASX,47190,0.01,,0.96,0,22.27,0.97,134.29,0,,,0
CBL,3.51,3.54,,,4/14/2016,0.09,0.0256,30/1/17,3.52,3.6,3.6,3.84,1.92,783900000,,ASX,8067,0.11,,0.66,49550000,3.62,5.33,31.86,0,,,0
CCA,0.6,0.62,,,,0.02,0.0333,30/1/17,0.62,0.62,0.62,0.77,0.45,35540000,,ASX,10000,-0.23,-0.09,0.2,-7640000,191.1,3.03,,0,,31,0
CCE,0.073,0.073,,,,0.01,0.13699,30/1/17,0.073,0.083,0.083,0.083,0.073,1.9102E+11,,ASX,13265867,-0.003,,0.013,-11270000,167672.453,5.615,,0,,,0
CCL,10.02,9.93,5.82,0.45,9/1/16,-0.23,-0.023,30/1/17,9.74,9.95,9.79,10.35,7.91,7480000000,,ASX,1497784,0.53,0.54,2.8,910600000,1.48,3.58,18.33,4.14,18.13,17.8,0
CCP,17.72,17.72,,,10/18/2016,0.35,0.0198,30/1/17,17.54,18.11,18.07,20.16,9.25,849110000,,ASX,249459,0.97,1.18,4.56,0,4.17,3.89,18.63,0.87,15.31,13.39,0
CCV,0.35,0.35,,,4/14/2016,0,-0.0141,30/1/17,0.35,0.36,0.35,0.67,0.29,169740000,,ASX,344154,-0.01,0.04,0.5,54470000,0.56,0.71,,0,8.75,8.75,0
CCZ,0.014,0.014,,,,0,0,30/1/17,0.014,0.014,0.014,0.023,0.008,2960000,,ASX,712500,-0.002,,0.001,-402184,,14,,0,,,0
CDA,2.05,2.05,,,3/11/16,0,0,30/1/17,2.01,2.05,2.05,2.19,0.58,363280000,,ASX,73843,0.09,0.19,0.78,31040000,2.14,2.61,23.56,0.31,10.79,12.81,0
