"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","FIRMMCRT","FXRUSD","GRCPAIAD","GRCPRCAD","GRCPNRAD","GRCPBMAD","GRCPBCAD","GRCPAISAD","GRCPBCSAD","H01_GGDPCVGDP","H01_GGDPCVGDPFY","640106_A3597525W","H05_GLFSEPTPOP","allordpreviousclose","allordchange","allorddayslow","allorddayshigh","asxpreviousclose","asxchange","asxdayslow","asxdayshigh"
"A2M",2.25,,,,0.05,0.0222,"2017-02-06",2.27,2.3,2.3,2.48,1.28,1670000000,,"ASX",5712907,0.03,0.08,0.13,39330000,6.36,16.79,74.19,0.61,28.75,23,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"A3D",3.35,,,,0.02,0.006,"2017-02-06",3.3,3.39,3.37,5.39,0.44,185350000,,"ASX",6796,-0.01,,0,-1200000,,3350,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AAC",1.49,,,"9/11/2008",-0.03,-0.020099999999999996,"2017-02-06",1.46,1.5,1.46,2.13,1.12,778420000,,"ASX",977289,0.11,0.12,1.75,-144540000,1.79,0.85,13.27,3.18,12.17,13.27,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AAD",2.1,,,"6/29/2016",-0.03,-0.0143,"2017-02-06",2.05,2.11,2.07,2.97,1.71,958490000,,"ASX",2177348,0.09,0.08,1.34,125980000,1.46,1.57,22.02,4.65,25.88,18.82,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AAJ",0.009,,,,0,0,"2017-02-06",0.009,0.009,0.009,0.016,0.005,2080000,,"ASX",1053750,-0.002,,0.005,"-320488.00",,1.8,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AB1",0.06,,,,-0.02,-0.3103,"2017-02-06",0.04,0.04,0.04,0.27,0.04,8199999.999999999,,"ASX",129830,-0.04,-0.02,0.03,-5180000,1.41,2.15,,0,,4,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ABA",5.34,,,"3/3/2016",-0.07,-0.0131,"2017-02-06",5.25,5.3,5.27,5.46,4.8,212120000,,"ASX",6542,0.31,0.4,5.38,"0.00",3.38,0.99,16.89,4.42,13.18,11.98,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ABC",5.2,0,0,"9/14/2016",-0.03,-0.0058,"2017-02-06",5.15,5.24,5.17,5.99,4.49,3350000000,,"ASX",969655,0.31,0.3,1.83,308900000,2.37,2.84,16.68,8.14,17.23,16.68,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ABP",2.81,,,"1/17/2017",0.01,0.0036,"2017-02-06",2.81,2.86,2.82,3.38,2.67,1590000000,,"ASX",463729,0.34,0.24,2.72,185790000,5.11,1.03,8.42,5.86,11.75,9.72,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ABT",0.55,,,,0,0,"2017-02-06",0.55,0.56,0.55,1.01,0.45,25580000,,"ASX",35000,-0.09,,0.09,"-783913.00",45.28,6.47,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ABU",0.12,,,,0,0,"2017-02-06",0.12,0.12,0.12,0.17,0.03,45020000,,"ASX",103877,-0.06,0.11,0.06,1670000,1.25,2.07,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ABV",0.007,,,,0,0,"2017-02-06",0.007,0.007,0.007,0.011,0.006,15400000,,"ASX",2078075,-0.001,,0.001,-1180000,3.41,7,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ABX",0.14,,,,-0.005,-0.03571,"2017-02-06",0.135,0.14,0.135,0.25,0.097,19190000,,"ASX",115410,0.003,,0.125,"612333.00",4.221,1.12,45,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AC8",0.22,,,,-0.025,-0.11364,"2017-02-06",0.195,0.235,0.195,0.235,0.195,42190000000,,"ASX",2989917,,,0,"0.00",,,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ACB",0.074,,,,0.001,0.01351,"2017-02-06",0.075,0.075,0.075,0.105,0.013,55210000,,"ASX",220000,-0.002,0,0.073,-1250000,1788.552,1.014,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ACG",0.07,,,,-0.003,-0.042859999999999995,"2017-02-06",0.067,0.067,0.067,0.195,0.061,13520000,,"ASX",14000,-0.024,-0.01,0.016,-5270000,2.813,4.375,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ACL",0.012,,,,0.001,0.08333,"2017-02-06",0.013,0.013,0.013,0.016,0.006,4220000,,"ASX",523014,0.066,-0.05,0.008,22100000,0.155,1.5,0.197,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ACQ",1.03,,,,0.01,0.0097,"2017-02-06",1.04,1.04,1.04,1.09,0.77,,,"ASX",82000,,,0,"0.00",,,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ACR",0.31,0,0,"8/18/2015",0,0,"2017-02-06",0.31,0.31,0.31,0.83,0.3,51620000,,"ASX",205004,0.08,0.03,0.26,19020000,1.81,1.17,3.97,1.42,10.33,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ACU",0.028,,,,-0.002,-0.07143,"2017-02-06",0.026,0.029,0.026,0.084,0.019,4730000,,"ASX",586778,-0.041,,0.008,-6640000,170.179,3.5,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ACW",0.056,,,,0,0,"2017-02-06",0.054,0.059,0.056,0.1,0.036,33970000,,"ASX",283023,-0.006,,0.02,-3260000,8.595,2.8,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ACX",3.08,,,,0.05,0.016200000000000003,"2017-02-06",3.1,3.19,3.13,8.75,2.87,514419999.99999994,,"ASX",1862303,0.03,0.05,0.58,9410000,4.1,5.32,104.33,6.56,62.6,39.13,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ADA",2.51,1.68,0.03,"3/16/2016",-0.11,-0.0438,"2017-02-06",2.38,2.55,2.4,3.55,1.84,190240000,,"ASX",86496,0.12,,0.26,11870000,4.15,9.8,20.69,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ADH",1.33,,,"3/15/2016",0.01,0.0075,"2017-02-06",1.33,1.37,1.34,2.75,1.33,222270000,,"ASX",905297,0.16,0.13,0.58,45090000,0.87,2.31,8.17,0.72,10.31,8.38,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ADJ",0.09,,,,0.01,0.0588,"2017-02-06",0.09,0.09,0.09,0.16,0.08,100200000,,"ASX",236498,-0.01,,0.03,-4030000.0000000005,12.23,3.04,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
