"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","FIRMMCRT","FXRUSD","GRCPAIAD","GRCPRCAD","GRCPNRAD","GRCPBMAD","GRCPBCAD","GRCPAISAD","GRCPBCSAD","H01_GGDPCVGDP","H01_GGDPCVGDPFY","640106_A3597525W","H05_GLFSEPTPOP","allordpreviousclose","allordchange","allorddayslow","allorddayshigh","asxpreviousclose","asxchange","asxdayslow","asxdayshigh","EPS","PriceToBook","MarketCap","PE","DividendRecentQuarter","DividendNextQuarter","DPSRecentYear","IAD","DividendPerShare","DividendYield","Dividend","BookValuePerShareYear","CashPerShareYear","CurrentRatioYear","LTDebtToAssetsYear","LTDebtToAssetsQuarter","TotalDebtToAssetsYear","TotalDebtToAssetsQuarter","LTDebtToEquityYear","LTDebtToEquityQuarter","TotalDebtToEquityYear","TotalDebtToEquityQuarter","AINTCOV","ReturnOnInvestmentTTM","ReturnOnInvestment5Years","ReturnOnInvestmentYear","ReturnOnAssetsTTM","ReturnOnAssets5Years","ReturnOnAssetsYear","ReturnOnEquityTTM","ReturnOnEquity5Years","ReturnOnEquityYear","Beta","Float","GrossMargin","EBITDMargin","OperatingMargin","NetProfitMarginPercent","NetIncomeGrowthRate5Years","RevenueGrowthRate5Years","RevenueGrowthRate10Years","EPSGrowthRate5Years","EPSGrowthRate10Years"
"1AD",0.23,,,,0,0,"2017-02-08",0.23,0.23,0.23,0.31,0.17,23000000,,"ASX",8700,-0.32,,-0.15,-1170000,31.16,,,0,,,"0.00",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,,,17580000,,,,0,,,,,0.01,0,6.43,0,,0,,0,,0,,,,,-118.51,,,-101.48,,,,,59.32,,,,,,,,,
"1AG",0.034,,,,-0.001,-0.02941,"2017-02-08",0.033,0.033,0.033,0.15,0.029,4540000,,"ASX",150000,0.002,,0.091,"451112.00",1.613,0.374,16.5,0,,,"0.000",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,0,0.38,4680000,,0,,0,,0,,,0.09,0.01,14.65,0.62,0.62,0.95,0.95,0.65,0.65,0.99,0.99,-4.94,-1.39,,-1.39,-1.32,,-1.32,-1.48,,-1.48,0.74,81.92,,23.36,-9.77,-6.3,,,,,
"1PG",0.19,,,,0.02,0.08109999999999999,"2017-02-08",0.19,0.2,0.2,3.24,0.14,30840000,,"ASX",445204,-0.13,0.03,0.34,-15200000,36.74,0.54,,0,,,"0.00",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,-0.13,0.45,28520000,,0,,0,,0,,,0.43,0.32,47.22,0,0,0,0,0,0,0,0,,-51.28,-65.51,-48.41,-50.41,-60.34,-47.6,-51.28,-65.66,-48.41,-2.49,114.41,,-1174.84,-1486.59,-1519.24,,,,,
"3PL",0.94,,,"10/6/2015",0,-0.0053,"2017-02-08",0.93,0.97,0.94,1.93,0.62,130690000,,"ASX",105131,0.03,0.04,0.31,7740000,2.67,3.02,34.81,2.32,23.5,18.8,"0.00",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,0.03,2.97,131479999.99999999,35.29,0,,0,,0,,2.4,0.31,0.03,0.3,11.67,11.67,11.68,11.68,26.53,26.53,26.55,26.55,,7.74,17.11,7.74,4.25,8.05,4.25,9.48,20.68,9.48,,124.61,,24.83,10.02,7.41,5.2,11.2,,4.89,
"4CE",0.022,,,,0.001,0.04545,"2017-02-08",0.022,0.023,0.023,0.064,0.015,4940000000,,"ASX",533167,-0.053,,0.025,-1050000,18128.82,0.88,,0,,,"0.000",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,-0.01,0.92,4730000,,0,,0,,0,,,0.02,0,1.55,0,0,0,0,0,0,0,0,-3.66,-18.63,-40.06,-24.44,-15.77,-36.43,-20.09,-18.69,-41.4,-24.52,0.89,92.47,,-164.37,-185.37,-232.56,,,,,
"4DS",0.029,,,,-0.001,-0.03448,"2017-02-08",0.028,0.028,0.028,0.044,0.018,18460000,,"ASX",1417620,-0.028,,0.002,-2710000,139.521,14.5,,0,,,"0.000",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,-0.06,14.26,20710000,,0,,0,,0,,,0,0,14.85,0,0,0,0,0,0,0,0,-63.16,-5036.43,-126,-5036.43,-1613.45,-115.11,-1613.45,-10176.1,-128.2,-10176.1,-1.88,468.79,,-2026.09,-8537.78,-8569.95,,0.39,,,
"4WD",0.86,,,,0.01,0.0116,"2017-02-08",0.87,0.88,0.87,1,0.85,,,"ASX",19169,,,0,"0.00",,,,0,,,"0.00",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"88E",0.04,,,,-0.001,-0.025,"2017-02-08",0.039,0.041,0.039,0.082,0.006,151830000,,"ASX",5576640,-0.003,,0.01,-9300000,4317.6,4,,0,,,"0.000",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,-0.01,5.74,166770000,,0,,0,,0,,,0.01,0,2.48,29.96,32.48,29.96,32.48,50.87,54.76,50.87,54.76,-8.29,-33.96,-89.21,-37.34,-31.29,-82.02,-32.99,-50.17,-98.65,-55.22,-1.01,3900.79,,-16774.89,-16839.88,-20174.91,,-30.87,-9.18,,
"8EC",1.005,,,,0,0,"2017-02-08",1.005,1.005,1.005,1.05,0.85,41220000000,,"ASX",10200,,,0,"0.00",,,,0,,,"0.000",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8IH",0.7,,,"8/15/2016",0.005,0.00714,"2017-02-08",0.69,0.705,0.705,1.14,0.68,252480000,,"ASX",65600,0.037,,0.128,13760000,10.567,5.469,19.054,0,,,"0.000",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,0.05,5.34,251790000,14.25,0,0,0.01,0.01,0,,4.96,0.13,0.1,6.41,0.12,0.1,0.22,0.23,0.14,0.11,0.26,0.26,,34.47,,42.65,29.47,,37.55,34.03,,42.65,,185.61,99.21,20.17,103.53,109.08,,,,,
"9SP",0.17,,,,0,-0.0286,"2017-02-08",0.16,0.17,0.17,0.2,0.12,68500000,,"ASX",482679,-0.02,,0.03,"0.00",531.47,5.3,,0,,,"0.00",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,-0.03,82.11,38510000,,0,,0,,0,,,0,0.01,1.24,0,0,0,0,0,0,0,0,,-110.62,,-2034.59,-86.07,,-208.51,-110.62,,-2034.59,,18.52,,-5100,-5468.68,-5331.32,,,,,
"A2M",2.3,,,,0,0,"2017-02-08",2.28,2.3,2.3,2.48,1.28,1670000000,,"ASX",3415338,0.03,0.07,0.13,39440000,6.49,17.16,74.19,0.73,32.86,23,"0.00",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A3D",3.4,,,,0.2,0.0588,"2017-02-08",3.36,3.65,3.6,5.39,0.44,198000000,,"ASX",110408,-0.01,,0,-1200000,,3400,,0,,,"0.00",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,-0.01,2460.3,47600000,,0,,0,,0,,,0,0.06,0.99,0,0,0,0,0,0,0,0,-223.32,,,,,,-78.33,,,,,,,,,,,,,,
"AAC",1.43,,,"9/11/2008",-0.01,-0.0105,"2017-02-08",1.4,1.45,1.42,2.13,1.12,757090000,,"ASX",1874972,0.11,0.12,1.75,-144540000,1.73,0.82,12.91,3.18,11.83,12.91,"0.00",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,0.11,0.88,801750000,12.67,0,,0,,0,,,1.66,0.03,6.25,26.4,27.18,26.71,27.43,41.21,43.43,41.68,43.82,-8.86,4.91,,5.45,4.71,,5.22,7.54,,8.23,0.94,362.48,-6.44,-31.29,25.71,14.79,,,,,
"AAD",2.06,,,"6/29/2016",0.05,0.024300000000000002,"2017-02-08",2.05,2.13,2.11,2.97,1.71,977010000,,"ASX",3256469,0.09,0.08,1.34,125980000,1.44,1.54,22.45,4.65,26.38,19.18,"0.00",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,0.08,1.55,966330000,27.07,0.06,0.02,0.12,0.08,0.12,,14.46,1.34,0.02,1.28,27.03,27.03,27.03,27.03,50.47,50.47,50.47,50.47,5,3.65,4.06,3.65,3.19,3.64,3.19,5.73,6.19,5.73,0.61,441.83,74.43,19.01,8.47,5.17,-1.01,11.6,13.08,-7.99,30.08
"AAJ",0.009,,,,0.002,0.22222,"2017-02-08",0.01,0.011,0.011,0.016,0.005,2550000,,"ASX",6775127,-0.002,,0.005,"-320488.00",,1.8,,0,,,"0.000",1.5,0.7665,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.6,30.8,5671.1,5707.5,5621.9,29.5,5620.4,5655.6,0,1.99,3170000,,0,,0,,0,,,0,0,10.9,0,0,0,0,0,0,0,0,,-36.94,-56.54,-36.94,-32.65,-51.97,-32.65,-36.94,-56.54,-36.94,1,230.77,,-37.06,-46.64,-44.8,,91.01,,,
