"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","FIRMMCRT","FXRUSD","GRCPAIAD","GRCPRCAD","GRCPNRAD","GRCPBMAD","GRCPBCAD","GRCPAISAD","GRCPBCSAD","H01_GGDPCVGDP","H01_GGDPCVGDPFY","640106_A3597525W","H05_GLFSEPTPOP","allordpreviousclose","allordchange","allorddayslow","allorddayshigh","asxpreviousclose","asxchange","asxdayslow","asxdayshigh","EPS","PriceToBook","MarketCap","PE","DividendRecentQuarter","DividendNextQuarter","DPSRecentYear","IAD","DividendPerShare","DividendYield","Dividend","BookValuePerShareYear","CashPerShareYear","CurrentRatioYear","LTDebtToAssetsYear","LTDebtToAssetsQuarter","TotalDebtToAssetsYear","TotalDebtToAssetsQuarter","LTDebtToEquityYear","LTDebtToEquityQuarter","TotalDebtToEquityYear","TotalDebtToEquityQuarter","AINTCOV","ReturnOnInvestmentTTM","ReturnOnInvestment5Years","ReturnOnInvestmentYear","ReturnOnAssetsTTM","ReturnOnAssets5Years","ReturnOnAssetsYear","ReturnOnEquityTTM","ReturnOnEquity5Years","ReturnOnEquityYear","Beta","Float","GrossMargin","EBITDMargin","OperatingMargin","NetProfitMarginPercent","NetIncomeGrowthRate5Years","RevenueGrowthRate5Years","RevenueGrowthRate10Years","EPSGrowthRate5Years","EPSGrowthRate10Years"
"1AG",0.033,,,,0.001,0.030299999999999997,"2017-02-09",0.033,0.035,0.034,0.15,0.029,4680000,,"ASX",110000,0.002,,0.091,"451112.00",1.566,0.363,17,0,,,"0.000",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5703.4,14.3,5690,5723.2,5651.4,13.2,5635,5671.4,0,0.38,4680000,,0,,0,,0,,,0.09,0.01,14.65,0.62,0.62,0.95,0.95,0.65,0.65,0.99,0.99,-4.94,-1.39,,-1.39,-1.32,,-1.32,-1.48,,-1.48,0.74,81.92,,23.36,-9.77,-6.3,,,,,
"1PG",0.2,,,,-0.005,-0.025,"2017-02-09",0.195,0.195,0.195,3.24,0.145,30070000,,"ASX",217851,-0.127,0.03,0.343,-15200000,39.717,0.583,,0,,,"0.000",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5703.4,14.3,5690,5723.2,5651.4,13.2,5635,5671.4,-0.13,0.45,28520000,,0,,0,,0,,,0.43,0.32,47.22,0,0,0,0,0,0,0,0,,-51.28,-65.51,-48.41,-50.41,-60.34,-47.6,-51.28,-65.66,-48.41,-2.49,114.41,,-1174.84,-1486.59,-1519.24,,,,,
"3DP",0.023,,,,-0.001,-0.04348,"2017-02-09",0.022,0.023,0.022,0.053,0.021,7170000,,"ASX",546752,-0.032,,0.013,"-865347.00",,1.769,,0,,,"0.000",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5703.4,14.3,5690,5723.2,5651.4,13.2,5635,5671.4,-0.01,1.75,4800000,,0,,0,,0,,,0.01,0.02,6.26,0,0,0.91,0.91,0,0,1.08,1.08,,-142.47,-137.62,-142.47,-99.18,-99.98,-99.18,-142.47,-137.62,-142.47,3.24,46.55,,,,,,,,,
"3PL",0.94,,,"10/6/2015",0.01,0.0106,"2017-02-09",0.94,0.95,0.95,1.93,0.62,132080000.00000001,,"ASX",61230,0.03,0.04,0.31,7740000,2.65,3,35.19,2.32,23.75,19,"0.00",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5703.4,14.3,5690,5723.2,5651.4,13.2,5635,5671.4,0.03,2.97,131479999.99999999,35.29,0,,0,,0,,2.4,0.31,0.03,0.3,11.67,11.67,11.68,11.68,26.53,26.53,26.55,26.55,,7.74,17.11,7.74,4.25,8.05,4.25,9.48,20.68,9.48,,124.61,,24.83,10.02,7.41,5.2,11.2,,4.89,
"4CE",0.023,,,,0.001,0.04348,"2017-02-09",0.023,0.024,0.024,0.064,0.015,4190000.0000000005,,"ASX",1033441,-0.053,,0.025,-1050000,15.408,0.92,,0,,,"0.000",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5703.4,14.3,5690,5723.2,5651.4,13.2,5635,5671.4,-0.01,0.92,4730000,,0,,0,,0,,,0.02,0,1.55,0,0,0,0,0,0,0,0,-3.66,-18.63,-40.06,-24.44,-15.77,-36.43,-20.09,-18.69,-41.4,-24.52,0.89,92.47,,-164.37,-185.37,-232.56,,,,,
"4DS",0.028,,,,0.001,0.03571,"2017-02-09",0.028,0.029,0.029,0.044,0.018,19120000,,"ASX",744473,-0.028,,0.002,-2710000,134.71,14,,0,,,"0.000",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5703.4,14.3,5690,5723.2,5651.4,13.2,5635,5671.4,-0.06,14.26,20710000,,0,,0,,0,,,0,0,14.85,0,0,0,0,0,0,0,0,-63.16,-5036.43,-126,-5036.43,-1613.45,-115.11,-1613.45,-10176.1,-128.2,-10176.1,-1.88,468.79,,-2026.09,-8537.78,-8569.95,,0.39,,,
"4WD",0.87,,,,0.03,0.0345,"2017-02-09",0.86,0.94,0.9,1,0.85,,,"ASX",99457,,,0,"0.00",,,,0,,,"0.00",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5703.4,14.3,5690,5723.2,5651.4,13.2,5635,5671.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"88E",0.039,,,,0,0,"2017-02-09",0.039,0.04,0.039,0.082,0.006,151830000,,"ASX",2932986,-0.003,,0.01,-9300000,4209.66,3.9,,0,,,"0.000",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5703.4,14.3,5690,5723.2,5651.4,13.2,5635,5671.4,-0.01,5.74,166770000,,0,,0,,0,,,0.01,0,2.48,29.96,32.48,29.96,32.48,50.87,54.76,50.87,54.76,-8.29,-33.96,-89.21,-37.34,-31.29,-82.02,-32.99,-50.17,-98.65,-55.22,-1.01,3900.79,,-16774.89,-16839.88,-20174.91,,-30.87,-9.18,,
"8EC",1.005,,,,0.01,0.00995,"2017-02-09",1.005,1.015,1.015,1.05,0.85,,,"ASX",90000,,,0,"0.00",,,,0,,,"0.000",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5703.4,14.3,5690,5723.2,5651.4,13.2,5635,5671.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8IH",0.7,,,"8/15/2016",0,-0.0070999999999999995,"2017-02-09",0.68,0.7,0.7,1.14,0.68,250690000,,"ASX",14150,0.04,,0.13,13740000,10.66,5.51,18.92,0,,,"0.00",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5703.4,14.3,5690,5723.2,5651.4,13.2,5635,5671.4,0.05,5.34,251790000,14.25,0,0,0.01,0.01,0,,4.96,0.13,0.1,6.41,0.12,0.1,0.22,0.23,0.14,0.11,0.26,0.26,,34.47,,42.65,29.47,,37.55,34.03,,42.65,,185.61,99.21,20.17,103.53,109.08,,,,,
