"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","FIRMMCRT","FXRUSD","GRCPAIAD","GRCPRCAD","GRCPNRAD","GRCPBMAD","GRCPBCAD","GRCPAISAD","GRCPBCSAD","H01_GGDPCVGDP","H01_GGDPCVGDPFY","640106_A3597525W","H05_GLFSEPTPOP","allordpreviousclose","allordchange","allorddayslow","allorddayshigh","asxpreviousclose","asxchange","asxdayslow","asxdayshigh","EPS","PriceToBook","MarketCap","PE","DividendRecentQuarter","DividendNextQuarter","DPSRecentYear","IAD","DividendPerShare","DividendYield","Dividend","BookValuePerShareYear","CashPerShareYear","CurrentRatioYear","LTDebtToAssetsYear","LTDebtToAssetsQuarter","TotalDebtToAssetsYear","TotalDebtToAssetsQuarter","LTDebtToEquityYear","LTDebtToEquityQuarter","TotalDebtToEquityYear","TotalDebtToEquityQuarter","AINTCOV","ReturnOnInvestmentTTM","ReturnOnInvestment5Years","ReturnOnInvestmentYear","ReturnOnAssetsTTM","ReturnOnAssets5Years","ReturnOnAssetsYear","ReturnOnEquityTTM","ReturnOnEquity5Years","ReturnOnEquityYear","Beta","Float","GrossMargin","EBITDMargin","OperatingMargin","NetProfitMarginPercent","NetIncomeGrowthRate5Years","RevenueGrowthRate5Years","RevenueGrowthRate10Years","EPSGrowthRate5Years","EPSGrowthRate10Years"
"1AL",0.99,,,"5/23/2016",0,-0.0051,"2017-02-10",0.98,0.98,0.98,1,0.8,126420000,,"ASX",3500,0.09,,0.17,11160000,3.15,5.66,11.26,0,,,"0.00",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5717.7,53.9,5717.7,5772.7,5664.6,56,5664.6,5721.4,0.09,5.64,127070000,10.81,0.04,0.04,0.06,0.06,0.06,,23.06,0.17,0.08,2.96,0,0,0,0,0,0,0,0,,55.23,,,27.95,,,55.23,,,,5.46,42.65,27.49,27.36,22.56,,,,,
"1PG",0.19,,,,0,-0.0256,"2017-02-10",0.19,0.19,0.19,3.24,0.14,29290000,,"ASX",256296,-0.13,0.03,0.34,-15200000,38.72,0.57,,0,,,"0.00",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5717.7,53.9,5717.7,5772.7,5664.6,56,5664.6,5721.4,-0.13,0.45,28520000,,0,,0,,0,,,0.43,0.32,47.22,0,0,0,0,0,0,0,0,,-51.28,-65.51,-48.41,-50.41,-60.34,-47.6,-51.28,-65.66,-48.41,-2.49,114.41,,-1174.84,-1486.59,-1519.24,,,,,
"3DP",0.022,,,,-0.001,-0.04545,"2017-02-10",0.021,0.021,0.021,0.053,0.021,6850000,,"ASX",12751,-0.032,,0.013,"-865347.00",,1.692,,0,,,"0.000",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5717.7,53.9,5717.7,5772.7,5664.6,56,5664.6,5721.4,-0.01,1.75,4800000,,0,,0,,0,,,0.01,0.02,6.26,0,0,0.91,0.91,0,0,1.08,1.08,,-142.47,-137.62,-142.47,-99.18,-99.98,-99.18,-142.47,-137.62,-142.47,3.24,46.55,,,,,,,,,
"3PL",0.95,,,"10/6/2015",-0.01,-0.0105,"2017-02-10",0.94,0.95,0.94,1.93,0.62,130690000,,"ASX",32546,0.03,0.04,0.31,7740000,2.68,3.04,34.81,2.32,23.5,18.8,"0.00",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5717.7,53.9,5717.7,5772.7,5664.6,56,5664.6,5721.4,0.03,2.97,131479999.99999999,35.29,0,,0,,0,,2.4,0.31,0.03,0.3,11.67,11.67,11.68,11.68,26.53,26.53,26.55,26.55,,7.74,17.11,7.74,4.25,8.05,4.25,9.48,20.68,9.48,,124.61,,24.83,10.02,7.41,5.2,11.2,,4.89,
"4CE",0.024,,,,0.002,0.08333,"2017-02-10",0.024,0.026,0.026,0.064,0.015,4540000,,"ASX",3205158,-0.053,,0.025,-1050000,16.078,0.96,,0,,,"0.000",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5717.7,53.9,5717.7,5772.7,5664.6,56,5664.6,5721.4,-0.01,0.92,4730000,,0,,0,,0,,,0.02,0,1.55,0,0,0,0,0,0,0,0,-3.66,-18.63,-40.06,-24.44,-15.77,-36.43,-20.09,-18.69,-41.4,-24.52,0.89,92.47,,-164.37,-185.37,-232.56,,,,,
"4DS",0.029,,,,-0.001,-0.03448,"2017-02-10",0.027,0.029,0.028,0.044,0.018,18460000,,"ASX",461246,-0.028,,0.002,-2710000,139.521,14.5,,0,,,"0.000",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5717.7,53.9,5717.7,5772.7,5664.6,56,5664.6,5721.4,-0.06,14.26,20710000,,0,,0,,0,,,0,0,14.85,0,0,0,0,0,0,0,0,-63.16,-5036.43,-126,-5036.43,-1613.45,-115.11,-1613.45,-10176.1,-128.2,-10176.1,-1.88,468.79,,-2026.09,-8537.78,-8569.95,,0.39,,,
"4WD",0.9,,,,0,0,"2017-02-10",0.9,0.92,0.9,1,0.85,,,"ASX",174081,,,0,"0.00",,,,0,,,"0.00",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5717.7,53.9,5717.7,5772.7,5664.6,56,5664.6,5721.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"88E",0.039,,,,0,0,"2017-02-10",0.039,0.04,0.039,0.082,0.006,151830000,,"ASX",2218285,-0.003,,0.01,-9300000,4209.66,3.9,,0,,,"0.000",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5717.7,53.9,5717.7,5772.7,5664.6,56,5664.6,5721.4,-0.01,5.74,166770000,,0,,0,,0,,,0.01,0,2.48,29.96,32.48,29.96,32.48,50.87,54.76,50.87,54.76,-8.29,-33.96,-89.21,-37.34,-31.29,-82.02,-32.99,-50.17,-98.65,-55.22,-1.01,3900.79,,-16774.89,-16839.88,-20174.91,,-30.87,-9.18,,
"8EC",1.01,,,,0,-0.0049,"2017-02-10",1,1.01,1.01,1.05,0.85,,,"ASX",508365,,,0,"0.00",,,,0,,,"0.00",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5717.7,53.9,5717.7,5772.7,5664.6,56,5664.6,5721.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8IH",0.7,,,"8/15/2016",-0.005,-0.00714,"2017-02-10",0.685,0.695,0.695,1.14,0.68,248900000,,"ASX",17000,0.037,,0.128,13740000,10.583,5.469,18.784,0,,,"0.000",1.5,0.7671,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5717.7,53.9,5717.7,5772.7,5664.6,56,5664.6,5721.4,0.05,5.34,251790000,14.25,0,0,0.01,0.01,0,,4.96,0.13,0.1,6.41,0.12,0.1,0.22,0.23,0.14,0.11,0.26,0.26,,34.47,,42.65,29.47,,37.55,34.03,,42.65,,185.61,99.21,20.17,103.53,109.08,,,,,
