"symbol","previousClose","open","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio"
"ARU",0.082,0.08,,,,0.002,0.024390000000000002,"2017-02-02",0.079,0.084,0.084,0.085,0.041,37070000,,"ASX",524890,-0.072,0,0.223,-3160000,96.151,0.368,,0,,,"0.000"
"ASB",1.62,1.63,3.76,0.04,"3/8/2016",0.11,0.0646,"2017-02-02",1.62,1.73,1.73,1.95,0.94,602720000,,"ASX",452543,-0.24,0.09,1.31,-105690000,0.42,1.24,,2.02,19.22,15.73,"0.00"
"ASG",2.59,2.61,,,,0.03,0.0116,"2017-02-02",2.56,2.62,2.62,2.66,2.25,74010000,,"ASX",144135,-0.02,,-0.03,"-228250.00",40244.72,,,0,,,"0.00"
"ASL",1.425,1.41,0,0,"3/18/2015",0.07,0.04912,"2017-02-02",1.405,1.5,1.495,1.75,0.18,466850000,,"ASX",455220,0.182,0.1,1.942,125300000,0.595,0.734,8.214,-0.8,14.95,12.458,"0.000"
"ASN",0.044,0.044,,,,-0.001,-0.02273,"2017-02-02",0.042,0.045,0.043,0.051,0.009,5250000,,"ASX",669672,-0.012,,0.011,-1210000,5376052,4,,0,,,"0.000"
"AST",1.6,1.6,6.28,0.08,"5/19/2016",-0.005,-0.00312,"2017-02-02",1.59,1.605,1.595,1.795,1.4,5690000000,,"ASX",4912216,0.083,0.08,0.993,1050000000,3.05,1.611,19.217,-9.17,19.938,19.938,"0.000"
"ASW",0.86,0.88,,,"8/15/2016",0.04,0.04650000000000001,"2017-02-02",0.88,0.9,0.9,0.9,0.6,38470000,,"ASX",3000,0.04,,0.17,2920000,6.07,5.21,20.93,0,,,"0.00"
"ASX",50.24,49.88,6.06,2.17,"3/2/2016",-0.18,-0.0036,"2017-02-02",49.81,50.17,50.06,52.41,38.4,9680000000,,"ASX",918408,2.2,2.26,19.77,706600000,10.7,2.54,22.71,5.55,22.15,21.21,"0.00"
"ASY",0.015,0.015,,,,0,0,"2017-02-02",0.015,0.015,0.015,0.026,0.012,,,"ASX",300000,-0.006,,0,"0.00",,,,0,,,"0.000"
"ATC",0.15,0.155,,,,-0.005,-0.03333,"2017-02-02",0.145,0.155,0.145,0.205,0.081,34140000,,"ASX",867824,-0.008,,0.035,-3240000,,4.286,,0,,,"0.000"
"ATL",1.31,1.33,,,,0.03,0.0229,"2017-02-02",1.33,1.36,1.34,1.42,1.22,194250000,,"ASX",21450,0.04,0.09,0.32,38910000,1.22,4.11,31.16,0,14.89,13.4,"0.00"
"ATP",0.038,0.035,,,"6/26/2008",-0.003,-0.07894999999999999,"2017-02-02",0.035,0.038,0.035,0.05,0.024,14680000,,"ASX",59062,0.002,,0.062,2089999.9999999998,0.864,0.613,17.5,0,,,"0.000"
"ATS",0.25,0.235,,,,-0.015,-0.06,"2017-02-02",0.235,0.235,0.235,0.285,0.21,52070000,,"ASX",16252,-0.24,,0.179,-12470000,4615.75,1.397,,0,,,"0.000"
"ATU",0.48,0.45,,,,-0.03,-0.0625,"2017-02-02",0.44,0.45,0.45,1.07,0.34,89060000,,"ASX",140725,-0.06,-0.95,0.02,-6490000,445.93,30,,0,,,"0.00"
"AUB",10.29,10.3,,,"4/8/2016",-0.09,-0.0087,"2017-02-02",10.2,10.71,10.2,12,8.03,651230000,,"ASX",44914,0.67,0.63,4.61,61670000,2.81,2.23,15.34,61.79,16.19,15.22,"0.00"
"AUC",0.033,0.033,,,,0,0,"2017-02-02",0.032,0.033,0.033,0.069,0.025,10810000,,"ASX",394400,-0.016,,0.11,-1230000,3105.604,0.3,,0,,,"0.000"
"AUF",1.24,1.24,,,,0,0,"2017-02-02",1.24,1.24,1.24,1.35,1.17,,,"ASX",66882,,,0,"0.00",,,,0,,,"0.00"
"AUI",7.8,7.86,,,,0.1,0.0128,"2017-02-02",7.85,7.9,7.9,7.9,6.73,974650000,,"ASX",14655,0.35,,6.76,"0.00",19.9,1.15,22.44,0,,,"0.00"
"AUK",0.013,0.013,,,,0,0,"2017-02-02",0.013,0.013,0.013,0.016,0.001,4110000.0000000005,,"ASX",60000,-0.003,,0.027,"-896978.00",,0.481,,0,,,"0.000"
"AUQ",0.017,0.018,,,,0.002,0.11765,"2017-02-02",0.018,0.019,0.019,0.033,0.014,11260000,,"ASX",137435,-0.074,,0.021,"-199421.00",50.437,0.81,,0,,,"0.000"
"AUZ",0.008,0.008,,,,0,0,"2017-02-02",0.008,0.008,0.008,0.035,0.005,8860000,,"ASX",1623805,-0.001,,0.004,"-636259.00",,2,,0,,,"0.000"
"AVB",0.09,0.092,,,,-0.001,-0.01111,"2017-02-02",0.088,0.094,0.089,0.094,0.048,218660000,,"ASX",5964729,-0.001,0,0.035,2430000,16.471,2.571,,0,,8.9,"0.000"
