symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio,tickerTrend
UCM,0.25,0.25,,,,-0.02,-0.0612,1/2/17,0.23,0.25,0.23,0.35,0.14,24950000,,ASX,50406,-0.02,0.01,0.05,-1630000,9.05,5.33,,0,,,0,
UEQ,0.013,0.012,,,,-0.001,-0.07692,1/2/17,0.012,0.012,0.012,0.019,0.003,7420000,,ASX,1137473,0.001,,0.035,-214095,,0.371,12,0,,,0,
UNL,0.2,0.2,,,,0,-0.0244,1/2/17,0.2,0.2,0.2,0.28,0.19,25160000000,,ASX,15202,0,,0.19,1020000,3412.62,1.11,50,0,,,0,
UNS,0.049,0.05,,,,0.002,0.04082,1/2/17,0.05,0.051,0.051,0.295,0.039,846243,,ASX,331465,-6.056,-0.12,-6.237,-62070000,0.061,,,0,,,0,
UNV,0.14,0.13,,,,-0.005,-0.03571,1/2/17,0.125,0.135,0.135,0.23,0.12,69260000,,ASX,469523,0.017,0.05,0.144,16950000,0.736,0.972,7.941,0,2.7,2.25,0,
UOS,0.61,0.61,,,10/11/16,0,0,1/2/17,0.61,0.61,0.61,0.64,0.45,788080000,,ASX,43295,0.11,,0.84,246460000,1.57,0.73,5.55,0,,,0,
UPD,0.45,0.45,,,,0,0,1/2/17,0.45,0.46,0.45,0.65,0.17,2.2001E+11,,ASX,200987,,,0,0,,,,0,,,0,
URF,2.01,2.01,,,6/29/2016,0,0,1/2/17,2.01,2.01,2.01,2.29,1.87,,,ASX,14428,-0.08,,0,0,,,,0,,,0,
USF,2.13,2.15,,,,0.02,0.0094,1/2/17,2.15,2.15,2.15,2.64,2.07,,,ASX,1285,,,0,0,,,,0,,,0,
UTR,0.04,0.039,,,,-0.003,-0.075,1/2/17,0.036,0.039,0.037,0.073,0.025,,,ASX,2033341,,,0,0,,,,0,,,0,
VAE,53.7,53.69,,,,-0.01,-0.0002,1/2/17,53.69,53.69,53.69,54.35,45.61,,,ASX,20,,,0,,,,,0,,,,
VAH,0.22,0.22,,,2/25/2008,0,0,1/2/17,0.22,0.22,0.22,0.49,0.19,891370000,,ASX,319771,-0.07,0.01,0.22,348100000,0.18,0.98,,7.21,22,22,0,
VAN,0.048,0.048,,,,0,0,1/2/17,0.048,0.048,0.048,0.077,0.013,,,ASX,70997,-0.01,,0,0,,,,0,,,0,
VAR,0.016,0.016,,,,0.001,0.0625,1/2/17,0.016,0.017,0.017,0.033,0.013,8820000,,ASX,571257,-0.004,,0.016,-77105,3.723,1,,0,,,0,
VCF,51.22,51.22,,,,-0.22,-0.0043,1/2/17,51,51.22,51,53.33,50.35,,,ASX,2793,,,0,,,,,0,,,,
VCX,2.86,2.85,,,6/29/2016,0,0,1/2/17,2.83,2.86,2.86,3.6,2.7,11320000000,,ASX,7975488,0.24,0.18,2.74,867600000,8.48,1.04,11.77,5.4,15.89,15.05,0,
VEC,0.003,0.003,,,,0,0,1/2/17,0.003,0.003,0.003,0.007,0.001,4050000,,ASX,3193000,-0.005,,0,-238775,,,,0,,,0,
VEQ,46.48,47.15,,,,0.67,0.0144,1/2/17,47.15,47.15,47.15,50.39,42.48,,,ASX,276,,,0,,,,,0,,,,
VGAD,57.61,57.9,,,,0.09,0.0016,1/2/17,57.67,57.9,57.7,58.19,45.65,,,ASX,2254,,,0,,,,,0,,,,
VGE,56.05,56.55,,,,-0.07,-0.0012,1/2/17,55.98,56.55,55.98,57,45.86,,,ASX,3097,,,0,,,,,0,,,,
VGS,58.14,58.41,,,,0.2,0.0034,1/2/17,58.14,58.41,58.34,60.78,51.89,,,ASX,20132,,,0,,,,,0,,,,
VHT,0.6,0.6,,,,0,0,1/2/17,0.57,0.6,0.6,0.87,0.31,74570000,,ASX,90727,-0.32,-0.06,0.04,-4970000,40.14,16.22,,0,,,0,
VIC,0.013,0.012,,,,-0.001,-0.07692,1/2/17,0.012,0.012,0.012,0.21,0.008,,,ASX,1560009,-0.018,,0,0,,,,0,,,0,
VIF,51.52,51.46,,,,0.18,0.0035,1/2/17,51.44,51.7,51.7,54.2,50.86,,,ASX,3071,,,0,,,,,0,,,,
VIV,0.046,0.045,,,,-0.001,-0.02174,1/2/17,0.045,0.045,0.045,0.091,0.044,16310000000,,ASX,110000,-0.018,,0,0,,,,0,,,0,
VKA,0.02,0.02,,,,0.003,0.15,1/2/17,0.02,0.023,0.023,0.033,0.011,5770000,,ASX,879900,-0.003,,0.021,-753817,,0.952,,0,,,0,
VLA,1.07,1.06,,,,-0.045,-0.04206,1/2/17,1.025,1.06,1.025,1.35,0.63,245890000,,ASX,89094,-0.043,-0.04,0.21,-7710000,55.143,5.095,,0,,,0,
VLT,0.029,0.029,,,,0,0,1/2/17,0.029,0.029,0.029,0.053,0.018,16390000,,ASX,255000,-0.01,,0.007,-302632,5.152,4.143,,0,,,0,
VLW,2.43,2.4,,,9/1/16,-0.02,-0.0082,1/2/17,2.38,2.43,2.41,2.55,1.96,265930000,,ASX,69369,0.3,0.32,2.15,55160000,0.69,1.13,8.01,1.24,7.53,7.09,0,
VMG,0.001,0.001,,,9/29/2010,0,0,1/2/17,0.001,0.001,0.001,0.006,0.001,5480000,,ASX,4867080,-0.001,-0.05,0.001,-4730000,7.555,1,,0,,,0,
VML,0.018,0.018,,,,0,0,1/2/17,0.018,0.018,0.018,0.027,0.008,8660000,,ASX,240573,-0.003,,0.01,-659316,517.867,1.8,,0,,,0,
VMS,0.03,0.031,,,,0.001,0.03333,1/2/17,0.031,0.031,0.031,0.068,0.015,9820000,,ASX,32674,-0.011,0.01,0.012,-2390000,101.478,2.5,,0,,,0,
VMT,0.075,0.074,,,,0.003,0.04,1/2/17,0.073,0.078,0.078,0.35,0.064,12340000,,ASX,256677,-0.015,0.03,0.212,2120000,0.293,0.354,,0,,,0,
VMY,0.24,0.25,,,,0.005,0.02083,1/2/17,0.245,0.25,0.245,0.4,0.22,56290000,,ASX,112581,-0.052,-0.05,-0.023,-11740000,5.514,,,0,,,0,
VOC,4.04,4.04,5.41,0.18,9/19/2016,-0.07,-0.0173,1/2/17,3.94,4.06,3.97,9.4,3.69,2100000000,,ASX,4080742,0.19,0.34,6.01,203730000,2.57,0.67,21.12,0.94,11.68,10.45,0,
VPC,0.016,0.016,,,,-0.001,-0.0625,1/2/17,0.015,0.016,0.015,0.068,0.015,10180000,,ASX,435225,-0.012,0,0.013,-3180000,7.584,1.231,,0,,,0,
VRC,0.046,0.045,,,,-0.001,-0.02174,1/2/17,0.042,0.046,0.045,0.15,0.031,42770000,,ASX,5886067,-0.007,,0.02,-2780000,1814.055,2.3,,0,,,0,
VRI,0.048,0.048,,,,-0.003,-0.0625,1/2/17,0.044,0.048,0.045,0.115,0.034,,,ASX,625685,,,0,0,,,,0,,,0,
VRL,3.96,3.98,,,9/13/2016,-0.02,-0.0051,1/2/17,3.94,3.99,3.94,7.06,3.89,634750000,,ASX,321136,0.1,0.28,2.89,147610000,0.61,1.37,40.62,5.13,14.07,11.59,0,
VRM,0.036,0.036,,,,0,0,1/2/17,0.036,0.036,0.036,0.036,0.036,34700000,,ASX,3114082,-0.013,,0.055,-1420000,,0.655,,0,,,0,
VRS,0.23,0.24,,,,0,-0.0213,1/2/17,0.23,0.24,0.23,0.24,0.15,61290000,,ASX,330429,0.07,0.02,0.2,15130000,0.52,1.17,3.11,0,11.5,7.67,0,
VRT,5.11,5.12,,,9/15/2016,0.26,0.0509,1/2/17,4.94,5.37,5.37,8.37,4.94,429250000,,ASX,1468137,0.41,0.42,2.98,64950000,1.56,1.71,13.16,1.5,12.79,11.43,0,
VRX,0.02,0.02,,,,0,0,1/2/17,0.02,0.02,0.02,0.03,0.01,2750000,,ASX,400000,-0.07,,0.02,-489335,39.91,0.87,,0,,,0,
VSC,1.23,1.23,,,3/17/2016,0,0,1/2/17,1.23,1.23,1.23,1.85,1.06,69950000,,ASX,4635,0.08,0.07,0.41,6830000,1.82,2.98,15,0,,,0,
VTG,3.18,3.2,,,3/11/16,-0.08,-0.0252,1/2/17,3.1,3.2,3.1,5.47,2.24,470080000,,ASX,495537,0.23,0.26,0.45,56130000,0.75,7.1,13.25,1.51,11.92,10.69,0,
VVR,2.25,2.25,,,,0.04,0.0178,1/2/17,2.25,2.3,2.29,2.63,2.02,,,ASX,637766,,0.05,0,0,,,,13.76,45.8,17.62,0,
VXR,0.007,0.007,,,,0,0,1/2/17,0.007,0.007,0.007,0.015,0.002,18280000,,ASX,457064,-0.002,-0.01,0.007,-131959,23.016,1,,0,,,0,
WAA,1.15,1.15,,,,0,0,1/2/17,1.15,1.15,1.15,1.23,1,,,ASX,10000,0.09,,0,0,,,,0,,,0,
WAF,0.28,0.29,,,,0,0,1/2/17,0.28,0.3,0.28,0.44,0.05,114480000,,ASX,323365,-0.03,-0.01,0.01,-7110000,3271.45,35,,0,,,0,
WAM,2.39,2.4,,,,0.03,0.0126,1/2/17,2.39,2.42,2.42,2.45,2.11,,,ASX,710116,0.21,,0,0,,,,0,,,0,
WAX,1.535,1.535,,,10/12/15,-0.01,-0.00651,1/2/17,1.525,1.535,1.525,1.665,1.27,,,ASX,152980,0.153,,0,0,,,,0,,,0,
WBA,1.37,1.345,,,10/2/15,-0.005,-0.00365,1/2/17,1.345,1.365,1.365,1.42,1.05,478770000,,ASX,45917,-0.233,0.06,1.188,-22760000,3.743,1.153,,0,22.75,17.062,0,
WBC,31.71,31.71,8.36,1.95,11/14/2016,0.28,0.0088,1/2/17,31.53,32.01,31.99,34.08,27.57,1.0675E+11,,ASX,3987219,2.18,2.4,17.42,0,5.33,1.82,14.69,2.78,13.33,12.9,0,
WBT,0.03,0.029,,,,-0.001,-0.03333,1/2/17,0.028,0.03,0.029,0.069,0.021,,,ASX,1606574,,,0,0,,,,0,,,0,
WCB,8.85,8.87,,,9/3/13,0.05,0.0056,1/2/17,8.87,8.99,8.9,9.04,6.2,583050000,,ASX,8803,0.43,0.46,5.87,32470000,0.86,1.51,20.94,0,,,0,
WCN,0.007,0.007,,,,0,0,1/2/17,0.007,0.007,0.007,0.011,0.006,10690000,,ASX,2503222,-0.003,,0.002,-3410000,,3.5,,0,,,0,
WCP,0.083,0.083,,,10/11/01,0,0,1/2/17,0.083,0.083,0.083,0.095,0.013,33020000,,ASX,350000,-0.001,,0.005,-525794,,16.6,,0,,,0,
