symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio,tickerTrend
1AG,0.034,0.035,,,,0.001,0.02941,1/2/17,0.035,0.035,0.035,0.15,0.029,4820000,,ASX,264430,0.002,,0.091,451112,1.613,0.374,17.5,0,,,0,
1PG,0.19,0.19,,,,0,-0.027,1/2/17,0.18,0.19,0.18,3.48,0.14,27750000,,ASX,343447,-0.13,0.03,0.34,-15200000,36.74,0.54,,0,,,0,
3PL,0.95,0.95,,,10/6/15,-0.015,-0.01579,1/2/17,0.915,0.95,0.935,1.93,0.625,130000000,,ASX,77186,0.027,0.04,0.313,7740000,2.681,3.035,34.63,2.41,23.375,18.7,0,
4CE,0.024,0.024,,,,0,0,1/2/17,0.024,0.024,0.024,0.064,0.015,5160000000,,ASX,150001,-0.053,,0.025,-1050000,19776.895,0.96,,0,,,0,
4DS,0.028,0.029,,,,0,0,1/2/17,0.028,0.029,0.028,0.044,0.018,18460000,,ASX,723767,-0.028,,0.002,-2710000,134.71,14,,0,,,0,
4WD,0.9,0.9,,,,0,0,1/2/17,0.9,0.9,0.9,1,0.85,,,ASX,28145,,,0,0,,,,0,,,0,
88E,0.04,0.04,,,,0,0,1/2/17,0.04,0.04,0.04,0.08,0.01,155730000,,ASX,1372002,0,,0.01,-9300000,4317.6,4,,0,,,0,
8EC,1,0.99,,,,-0.01,-0.01,1/2/17,0.98,0.99,0.99,1.05,0.85,40610000000,,ASX,44909,,,0,0,,,,0,,,0,
8IH,0.7,0.7,,,8/15/2016,0,0,1/2/17,0.7,0.7,0.7,1.2,0.68,250690000,,ASX,15000,0.04,,0.13,13640000,10.66,5.51,18.92,0,,,0,
9SP,0.17,0.17,,,,0.005,0.02941,1/2/17,0.165,0.175,0.175,0.2,0.125,70520000,,ASX,475553,-0.017,,0.033,0,518.92,5.152,,0,,,0,
A2M,2.12,2.12,,,,0.01,0.0047,1/2/17,2.11,2.14,2.13,2.48,1.28,1540000000,,ASX,2270058,0.03,0.08,0.13,39240000,6.01,15.94,68.71,0.57,26.63,21.3,0,
A3D,3.21,3.2,,,,0.09,0.028,1/2/17,3.2,3.3,3.3,5.39,0.44,181500000,,ASX,47082,-0.01,,0,-1200000,,3210,,0,,,0,
AAC,1.47,1.49,,,9/11/08,0,0.0034,1/2/17,1.46,1.5,1.47,2.13,1.12,783750000,,ASX,1283358,0.11,0.12,1.75,-144540000,1.76,0.84,13.36,3.42,12.25,13.36,0,
AAD,2.1,2.1,,,6/29/2016,-0.02,-0.0095,1/2/17,2.06,2.1,2.08,2.97,1.71,963120000,,ASX,2223053,0.09,0.08,1.34,125980000,1.46,1.57,22.13,4.54,26,18.91,0,
AAJ,0.009,0.009,,,,0,0,1/2/17,0.009,0.009,0.009,0.016,0.005,2080000,,ASX,1067542,-0.002,,0.005,-320488,,1.8,,0,,,0,
AAR,0.019,0.02,,,,0,0,1/2/17,0.019,0.02,0.019,0.027,0.005,4270000,,ASX,252222,-0.002,,0.007,-391285,,2.714,,0,,,0,
AAU,0.01,0.01,,,9/14/2012,0,0.25,1/2/17,0.01,0.01,0.01,0.03,0.01,1820000,,ASX,65000,0,0.02,0.01,-142000,0.09,0.67,,0,,,0,
ABA,5.32,5.32,,,3/3/16,-0.05,-0.0094,1/2/17,5.25,5.32,5.27,5.46,4.8,212120000,,ASX,8715,0.31,0.4,5.38,0,3.37,0.99,16.89,4.42,13.18,11.98,0,
ABC,5.12,5.14,0,0,9/14/2016,0.02,0.0039,1/2/17,5.09,5.16,5.14,5.99,4.49,3330000000,,ASX,1899087,0.31,0.3,1.83,308900000,2.33,2.8,16.58,8.08,17.13,16.58,0,
ABP,2.81,2.81,,,1/17/2017,0.02,0.0071,1/2/17,2.78,2.85,2.83,3.38,2.67,1590000000,,ASX,963640,0.34,0.24,2.72,185790000,5.11,1.03,8.45,5.88,11.79,9.76,0,
ABT,0.55,0.56,,,,0,0,1/2/17,0.55,0.56,0.55,1.01,0.45,25580000,,ASX,6569,-0.09,,0.09,-783913,45.28,6.47,,0,,,0,
ABU,0.12,0.12,,,,-0.01,-0.0833,1/2/17,0.11,0.12,0.11,0.17,0.03,41270000,,ASX,362908,-0.06,0.11,0.06,1670000,1.25,2.07,,0,,,0,
ABV,0.007,0.007,,,,0,0,1/2/17,0.007,0.007,0.007,0.011,0.006,15400000,,ASX,24475779,-0.001,,0.001,-1180000,3.41,7,,0,,,0,
ABX,0.14,0.14,,,,0,0.037,1/2/17,0.14,0.14,0.14,0.25,0.1,19900000,,ASX,20498,0,,0.12,612333,4.07,1.08,46.67,0,,,0,
ACB,0.08,0.081,,,,-0.009,-0.1125,1/2/17,0.071,0.081,0.071,0.105,0.013,52260000,,ASX,713792,-0.002,0,0.073,-1250000,1933.57,1.096,,0,,,0,
ACG,0.07,0.07,,,,0,0.0294,1/2/17,0.07,0.07,0.07,0.2,0.06,14120000,,ASX,500000,-0.02,-0.01,0.02,-5270000,2.73,4.25,,0,,,0,
ACL,0.011,0.012,,,,0.001,0.09091,1/2/17,0.012,0.012,0.012,0.1,0.006,3900000,,ASX,911059,0.066,-0.05,0.008,22100000,0.142,1.375,0.182,0,,,0,
ACR,0.31,0.32,0,0,8/18/2015,0.01,0.0323,1/2/17,0.31,0.32,0.32,0.83,0.3,53290000,,ASX,1896574,0.08,0.03,0.26,19020000,1.81,1.17,4.1,1.4,10.67,,0,
ACU,0.03,0.028,,,,-0.006,-0.2,1/2/17,0.023,0.029,0.024,0.084,0.019,4360000,,ASX,2394362,-0.041,,0.008,-6640000,182.335,3.75,,0,,,0,
ACW,0.057,0.057,,,,0,0,1/2/17,0.057,0.057,0.057,0.1,0.036,34580000,,ASX,189102,-0.006,,0.02,-3260000,8.748,2.85,,0,,,0,
ACX,3.02,3.07,,,,-0.02,-0.0066,1/2/17,2.97,3.08,3,8.75,2.97,493060000,,ASX,3362752,0.03,0.06,0.58,9410000,4.02,5.22,100,2.62,50,30,0,
ADA,2.38,2.38,1.68,0.03,3/16/2016,-0.04,-0.0168,1/2/17,2.34,2.38,2.34,3.55,1.8,185490000,,ASX,43366,0.12,,0.26,11870000,3.94,9.3,20.17,0,,,0,
ADD,0.011,0.017,,,,0.008,0.72727,1/2/17,0.017,0.019,0.019,0.035,0.01,536731,,ASX,119900,-0.018,,-0.027,-228250,170.924,,,0,,,0,
ADH,1.455,1.45,,,3/15/2016,-0.03,-0.02062,1/2/17,1.325,1.45,1.425,2.75,1.325,236370000,,ASX,549438,0.164,0.13,0.576,45090000,0.953,2.526,8.689,0.79,10.962,8.906,0,
ADJ,0.091,0.092,,,,-0.003,-0.03297,1/2/17,0.088,0.092,0.088,0.159,0.08,97970000,,ASX,1255366,-0.008,,0.028,-4030000,13.097,3.25,,0,,,0,
ADN,0.012,0.013,,,,-0.001,-0.08333,1/2/17,0.011,0.013,0.011,0.027,0.006,3870000,,ASX,206153,-0.012,,0.027,-870486,273.045,0.444,,0,,,0,
ADO,0.04,0.04,,,,0,0.0256,1/2/17,0.04,0.04,0.04,0.07,0.04,45360000,,ASX,1445568,0,,0.01,-3380000,4.94,3.9,,0,,,0,
ADR,0.2,0.2,,,,0,0,1/2/17,0.2,0.2,0.2,0.6,0.11,33800000,,ASX,953419,-0.05,-0.06,0.18,-6330000,16.09,1.1,,0,,,0,
ADV,0.029,0.03,,,,0,0,1/2/17,0.029,0.03,0.029,0.053,0.016,,,ASX,1769584,-0.001,,0,0,,,,0,,,0,
ADX,0.018,0.017,,,,-0.001,-0.05556,1/2/17,0.017,0.017,0.017,0.017,0.003,13200000,,ASX,691304,-0.002,0,0.001,-1900000,2516.625,18,,0,,,0,
AEE,0.037,0.037,,,,0.004,0.10811,1/2/17,0.037,0.041,0.041,0.043,0.013,29160000,,ASX,15386769,-0.004,-1,0.03,-1520000,5363.522,1.233,,0,,,0,
AEF,88,87.5,,,9/8/16,-1,-0.0114,1/2/17,87,87.5,87,92.5,60,97010000,,ASX,305,2.72,,11.71,5430000,4.26,7.51,32.01,0,,,0,
AEG,1.05,1.04,,,,0.01,0.0095,1/2/17,1.04,1.06,1.06,1.37,0.99,,,ASX,167548,-0.02,,0,0,,,,0,,,0,
AEI,0.38,0.38,,,,0,-0.013,1/2/17,0.38,0.38,0.38,0.47,0.34,58870000,,ASX,1833,-0.01,,0.04,-2530000,43.28,11,,0,,,0,
AEV,0.12,0.12,,,,0,0,1/2/17,0.12,0.12,0.12,0.26,0.1,63220000,,ASX,68375,-0.02,,0.12,-5400000,92.91,0.98,,0,,,0,
AFG,1.42,1.42,,,9/2/16,-0.045,-0.03169,1/2/17,1.36,1.43,1.375,1.43,0.905,,,ASX,193685,0.11,0.11,0,0,,,,0,,,0,
AFI,5.92,5.94,,,,0.02,0.0034,1/2/17,5.91,5.95,5.94,5.95,5.32,6760000000,,ASX,283371,0.21,,5.01,0,24.71,1.18,28.29,0,,,0,
AFY,2.65,2.65,,,,-0.03,-0.0113,1/2/17,2.61,2.65,2.62,3.14,1.05,,,ASX,70456,,-0.01,0,0,,,,0,,52.4,0,
AGD,0.14,0.16,,,,0.01,0.0345,1/2/17,0.15,0.16,0.15,0.23,0.12,77850000,,ASX,90000,0.04,,0.18,5250000,1.35,0.82,3.85,0,,,0,
AGE,0.019,0.018,,,,-0.001,-0.05263,1/2/17,0.018,0.018,0.018,0.024,0.008,6480000,,ASX,498472,-0.028,,0.037,-955067,,0.514,,0,,,0,
AGG,3.3,3.4,,,5/27/2013,0,0,1/2/17,3.3,3.4,3.3,5.93,2.28,1350000000,,ASX,3706,0.27,0.91,6.45,1210000000,0.34,0.51,12.31,0.02,3.63,2.97,0,
AGI,1.81,1.81,7.31,0.11,2/26/2016,0.01,0.0055,1/2/17,1.78,1.85,1.82,2.64,1.6,596440000,,ASX,260482,0.17,0.14,0.96,88920000,2.08,1.88,10.77,0.65,13,10.71,0,
AGL,22.6,22.66,4.49,0.73,8/24/2016,0.61,0.027,1/2/17,22.58,23.26,23.21,23.26,16.51,15660000000,,ASX,1878536,-0.61,1.16,11.73,1650000000,1.37,1.93,,1.8,20.01,17.45,0,
AGO,0.044,0.045,0,0,9/10/14,0.002,0.04545,1/2/17,0.044,0.046,0.046,0.05,0.008,413800000,,ASX,74413405,-0.045,0,0.03,60360000,0.504,1.467,,0,,,0,
AGR,0.08,0.08,,,,0,-0.0123,1/2/17,0.08,0.08,0.08,0.14,0.08,29350000,,ASX,205294,-0.02,,0.07,-2300000,504.83,1.23,,0,,,0,
AGS,0.09,0.091,,,,-0.001,-0.01111,1/2/17,0.089,0.091,0.089,0.196,0.022,9280000,,ASX,75814,0.464,,0.238,-1030000,13.485,0.378,0.192,0,,,0,
AGY,0.028,0.028,,,,0.001,0.03571,1/2/17,0.028,0.029,0.029,0.046,0.003,14920000,,ASX,1920220,0,,0.002,0,3652.296,14,,0,,,0,
AHF,0.165,0.165,,,,0,0,1/2/17,0.16,0.165,0.165,0.35,0.16,30200000,,ASX,250275,-0.006,0,0.038,-1470000,3.067,4.342,,0,,,0,
AHG,3.91,3.91,,,3/17/2016,-0.01,-0.0026,1/2/17,3.89,3.92,3.9,5,3.52,1200000000,,ASX,1222677,0.29,0.31,2.27,221520000,0.21,1.73,13.27,4.09,12.58,11.82,0,
AHQ,0.03,0.03,,,,0.004,0.13333,1/2/17,0.03,0.034,0.034,0.175,0.008,1200000,,ASX,347396,-0.092,,-0.011,-238293,15.601,,,0,,,0,
AHX,1.16,1.15,,,,-0.01,-0.0086,1/2/17,1.15,1.15,1.15,1.88,1.05,113250000,,ASX,20000,0,0.06,0.46,4150000,2.11,2.5,1150,0,19.17,14.38,0,
AHY,1.51,1.49,,,3/1/16,0,0,1/2/17,1.44,1.52,1.51,2.33,1.24,845810000,,ASX,3510433,0.12,0.11,0.56,134650000,1.39,2.72,12.91,-12.45,13.73,12.58,0,
AHZ,0.345,0.345,,,,0,0,1/2/17,0.345,0.355,0.345,0.68,0.28,67710000,,ASX,229813,-0.126,-0.05,0.106,-27810000,4.785,3.255,,15.87,,,0,
AIA,6.57,6.55,,,9/28/2016,0.05,0.0076,1/2/17,6.54,6.65,6.62,7.59,5.03,7880000000,,ASX,56344,0.16,0.2,2.37,310950000,19.02,2.78,41.38,2.97,33.1,30.09,0,
AIK,0.18,0.175,,,5/4/07,-0.005,-0.02778,1/2/17,0.175,0.175,0.175,0.19,0.096,,,ASX,74236,0.03,,0,0,,,,0,,,0,
AIS,0.054,0.053,,,,-0.001,-0.01852,1/2/17,0.053,0.053,0.053,0.07,0.025,7430000,,ASX,20000,0.171,,0.011,23640000,0.039,4.909,0.31,0,,,0,
AIZ,2.08,2.04,,,9/8/16,-0.04,-0.0192,1/2/17,2.02,2.04,2.04,2.95,1.61,2290000000,,ASX,100098,0.3,0.3,1.36,839520000,0.62,1.53,6.89,1.18,6.8,7.56,0,
AJA,6.3,6.34,0,0,6/29/2016,0.15,0.0238,1/2/17,6.3,6.5,6.45,7.47,5.16,,,ASX,19442,2.16,0.59,0,0,,,,11.87,10.93,10.08,0,
AJC,0.006,0.006,,,,0.002,0.33333,1/2/17,0.006,0.008,0.008,0.008,0.002,7230000,,ASX,25891346,-0.011,,0.002,-305687,31.257,3,,0,,,0,
AJD,1.53,1.53,,,9/29/2016,0,-0.0033,1/2/17,1.52,1.53,1.53,1.67,1.25,175950000,,ASX,78663,0.28,0.11,1.42,0,13.25,1.08,5.56,9.09,13.91,13.91,0,
AJL,0.41,0.41,,,9/1/09,0,-0.012,1/2/17,0.41,0.41,0.41,0.6,0.14,156260000,,ASX,1414,-0.07,0.1,0.23,15050000,1.26,1.82,,0,,,0,
AJM,0.17,0.18,,,11/25/2002,0.01,0.0286,1/2/17,0.17,0.19,0.18,0.28,0.05,220040000,,ASX,2721480,-0.04,-0.01,0.02,-7000000,158.47,10.29,,0,,18,0,
AJQ,0.073,0.072,,,,-0.002,-0.0274,1/2/17,0.071,0.072,0.071,0.125,0.052,22920000,,ASX,4322806,-0.06,-0.02,0.157,-8910000,291.399,0.465,,0,,,0,
AJX,0.65,0.65,,,,-0.01,-0.0229,1/2/17,0.63,0.67,0.64,0.9,0.47,191190000,,ASX,361016,-0.07,0.02,0.04,-15700000,65.2,17.24,,0,32,64,0,
AKG,0.185,0.185,,,3/6/15,0,0,1/2/17,0.185,0.185,0.185,0.31,0.1,14090000,,ASX,3002,-0.06,,0.331,1300000,0.256,0.559,,0,,,0,
AKK,0.006,0.005,,,,-0.001,-0.16667,1/2/17,0.005,0.006,0.005,0.012,0.004,5600000,,ASX,640666,-0.014,0.04,0.01,-3410000,11.063,0.6,,0,,,0,
AKM,0.03,0.03,,,,0,0.0345,1/2/17,0.03,0.03,0.03,0.06,0,27850000,,ASX,36870,0,-0.03,0.04,-1780000,,0.78,,0,,,0,
AKP,12.67,12.5,,,,0.03,0.0024,1/2/17,12.1,12.72,12.7,34.8,6.95,341540000,,ASX,11175,-0.22,,0.15,-3800000,,82.27,,0,,,0,
ALC,0.084,0.084,,,,-0.001,-0.0119,1/2/17,0.082,0.084,0.083,0.145,0.035,50030000,,ASX,793539,-0.006,,0.011,-1400000,12.442,7.636,,0,,,0,
ALF,1.43,1.43,,,,0.005,0.0035,1/2/17,1.415,1.435,1.435,1.575,1.355,,,ASX,265150,0.11,,0,0,,,,0,,,0,
ALI,1.66,1.66,,,,0,-0.003,1/2/17,1.66,1.67,1.66,1.97,1.62,,,ASX,42527,,,0,0,,,,0,,,0,
ALK,0.34,0.34,,,,-0.005,-0.01471,1/2/17,0.33,0.345,0.335,0.655,0.18,159510000,,ASX,414016,0.011,0.01,0.4,36240000,1.477,0.85,30.455,18.25,33.5,,0,
ALL,15.28,15.2,1.9,0.22,6/1/16,-0.14,-0.0092,1/2/17,15.01,15.31,15.14,16.68,9.24,9650000000,,ASX,1461788,0.55,0.75,1.7,763000000,4.57,8.99,27.58,1.55,20.19,18.24,0,
ALQ,5.92,6.13,2.21,0.1,12/5/16,-0.03,-0.0051,1/2/17,5.88,6.24,5.89,6.6,2.93,2960000000,,ASX,1560147,-0.49,0.21,2.35,223000000,2.24,2.52,,1.73,28.05,21.81,0,
ALR,1.12,1.11,,,,0.025,0.02232,1/2/17,1.1,1.145,1.145,1.16,0.95,,,ASX,69433,0.035,,0,0,,,,0,,,0,
ALT,0.006,0.006,,,,0,0,1/2/17,0.006,0.006,0.006,0.01,0.002,13210000,,ASX,999068,-0.003,,0.001,-3820000,6.305,6,,0,,,0,
ALU,8.07,8.03,3.6,0.22,9/22/2016,0.14,0.0173,1/2/17,8,8.26,8.21,9.98,4.87,1070000000,,ASX,562143,0.18,0.22,1,28590000,11.22,8.04,45.87,1.55,37.32,30.41,0,
ALY,0.02,0.02,,,,0,0,1/2/17,0.02,0.02,0.02,0.03,0.01,4620000,,ASX,132923,0,,0.06,-552102,,0.33,,0,,,0,
AMA,0.99,0.99,,,3/3/16,0.03,0.0303,1/2/17,0.98,1.02,1.02,1.15,0.75,482660000,,ASX,170423,0.01,0.05,0.31,24680000,1.77,3.19,68,-9.38,20.4,17,0,
AMC,14.3,14.47,,,9/6/16,-0.07,-0.0049,1/2/17,14.22,14.47,14.23,16.66,12.06,16450000000,,ASX,1953405,0.21,0.59,0.68,1380000000,1.75,21.09,68.74,2.28,24.12,21.89,0,
AME,0.105,0.105,,,,0,0,1/2/17,0.105,0.105,0.105,0.155,0.016,12150000,,ASX,211906,-0.024,,0.062,-456983,,1.694,,0,,,0,
AMH,0.94,0.935,,,,-0.015,-0.01596,1/2/17,0.925,0.945,0.925,1.035,0.83,238630000,,ASX,64000,0.019,,0.866,0,36.199,1.085,48.684,0,,,0,
AMI,0.17,0.17,,,,-0.01,-0.0588,1/2/17,0.16,0.18,0.16,0.22,0.05,62080000,,ASX,903449,0.02,0.03,-0.06,32110000,0.72,,6.67,0.46,5.33,1.45,0,
AML,0.19,0.19,,,,0,0,1/2/17,0.19,0.19,0.19,0.2,0.03,64760000,,ASX,100000,-0.01,,0.09,-1650000,,2,,0,,,0,
AMN,0.59,0.59,,,,0,0,1/2/17,0.59,0.59,0.59,0.79,0.1,73090000,,ASX,43200,-0.01,,0.05,-994589,9449.76,12.04,,0,,,0,
AMP,5,4.98,8.5,0.29,8/31/2016,0.05,0.01,1/2/17,4.97,5.08,5.05,5.96,4.39,14790000000,,ASX,6778412,0.34,0.23,2.94,2780000000,1.27,1.7,15.03,130.18,21.96,14.43,0,
ANG,0.18,0.18,,,3/3/14,0.01,0.0556,1/2/17,0.18,0.19,0.19,0.22,0.08,99980000,,ASX,152686,-0.27,0,0.26,-10840000,0.5,0.69,,0,,19,0,
ANL,0.037,0.038,,,,0.001,0.02703,1/2/17,0.038,0.039,0.038,0.085,0.018,36570000,,ASX,252425,-0.016,,0.016,-2600000,2606.734,2.312,,0,,,0,
ANN,23.78,23.67,,,9/19/2016,-1.35,-0.0568,1/2/17,22.34,23.9,22.43,25.67,14.76,3310000000,,ASX,1433569,1.04,1.07,7.59,267300000,2.23,3.13,21.46,5.39,20.96,19.85,0,
ANO,0.03,0.03,,,,0,0.0714,1/2/17,0.03,0.03,0.03,0.03,0.02,17580000,,ASX,992400,0,,0.01,-206885,3.95,4.67,,0,,,0,
ANP,0.038,0.038,,,,0,0,1/2/17,0.038,0.038,0.038,0.06,0.028,6140000,,ASX,100000,-0.014,,0.028,-2540000,4.017,1.357,,0,,,0,
ANQ,0.003,0.004,,,,0,0,1/2/17,0.003,0.004,0.003,0.009,0.001,8020000,,ASX,2341796,-0.003,,-0.005,-5870000,650.263,,,0,,,0,
ANR,1.3,1.3,,,,-0.06,-0.0462,1/2/17,1.24,1.3,1.24,1.8,0.97,61270000,,ASX,60272,-0.01,-0.04,0.27,-990867,26.24,4.76,,0,,62,0,
ANW,0.01,0.01,,,,0,0,1/2/17,0.01,0.01,0.01,0.02,0,15070000,,ASX,7909905,0,,0.01,-1030000,6211.71,1.43,,0,,,0,
ANZ,29.29,29.3,7.79,1.68,11/14/2016,0.15,0.0051,1/2/17,29.03,29.47,29.44,31.84,21.86,85350000000,,ASX,3486088,1.89,2.31,19.94,0,4.57,1.47,15.55,1.71,12.74,12.22,0,
AO1,0.22,0.23,,,,0.02,0.0909,1/2/17,0.22,0.24,0.24,0.24,0.02,14530000000,,ASX,277504,-2.92,,0,0,,,,0,,,0,
AOA,0.008,0.008,,,,0,0,1/2/17,0.008,0.008,0.008,0.015,0.005,1920000,,ASX,89704,-0.004,,0.01,-301544,,0.8,,0,,,0,
AOF,2.06,2.06,,,9/29/2016,0.01,0.0049,1/2/17,2.06,2.07,2.07,2.29,1.97,,,ASX,21135,,0.17,0,0,,,,0,,,0,
AOG,3.19,3.17,,,6/29/2016,-0.02,-0.0063,1/2/17,3.11,3.19,3.17,3.69,2.77,1720000000,,ASX,655437,0.22,0.19,3.01,61000000,3.89,1.06,14.34,0.75,16.68,13.78,0,
AOH,0.135,0.14,,,,0,0,1/2/17,0.135,0.14,0.135,0.15,0.085,72490000,,ASX,844284,-0.01,-0.01,0.107,-6320000,,1.262,,-1.23,,,0,
AOK,0.044,0.043,,,,-0.001,-0.02273,1/2/17,0.043,0.043,0.043,0.067,0.043,24190000,,ASX,14680,-0.036,0,0.067,-127324,3.227,0.657,,0,,,0,
AOP,0.075,0.075,,,,0.001,0.01333,1/2/17,0.075,0.076,0.076,0.2,0.05,11190000,,ASX,1008300,-0.002,,0.054,22536,49.147,1.389,,0,,,0,
AOU,0.23,0.22,,,,-0.01,-0.0435,1/2/17,0.22,0.22,0.22,0.22,0.06,16900000,,ASX,59608,0.04,,0.11,-1250000,402.49,2.04,5.79,0,,,0,
AOW,0.059,0.059,,,,0,0,1/2/17,0.059,0.059,0.059,0.21,0.058,11150000,,ASX,76994,-0.014,,0.058,-2310000,,1.017,,0,,,0,
APA,8.42,8.33,4.63,0.3,6/29/2016,0.04,0.0048,1/2/17,8.33,8.47,8.46,9.85,7.15,9430000000,,ASX,2328954,0.16,0.22,3.62,1330000000,4.48,2.33,52.55,1.76,38.45,33.84,0,
APC,0.115,0.12,,,,0,0,1/2/17,0.115,0.12,0.115,0.12,0.115,16970000,,ASX,66322,-0.044,,0.005,-4730000,1004.739,23,,0,,,0,
APD,0.43,0.43,,,3/15/2016,-0.025,-0.05814,1/2/17,0.405,0.43,0.405,0.645,0.35,118540000,,ASX,804324,0.17,0.01,0.468,5400000,6.331,0.919,2.382,0,,,0,
APE,9.62,9.62,,,3/24/2016,-0.08,-0.0083,1/2/17,9.5,9.68,9.54,12.5,8.41,1770000000,,ASX,22038,0.48,0.52,3.77,165800000,0.52,2.55,19.88,2.18,18.35,16.74,0,
APG,0.006,0.006,,,,0.001,0.16667,1/2/17,0.006,0.007,0.007,0.018,0.003,10390000,,ASX,654499,0.001,,0.024,-2050000,,0.25,7,0,,,0,
API,1.885,1.885,,,11/3/16,-0.02,-0.01061,1/2/17,1.85,1.9,1.865,2.24,1.565,912160000,,ASX,1554700,0.105,0.12,1.097,102780000,0.24,1.718,17.762,1.62,15.542,14.346,0,
APL,1.095,1.095,,,,0,0,1/2/17,1.09,1.1,1.095,1.1,1.025,,,ASX,221699,,,0,0,,,,0,,,0,
APN,2.54,2.54,,,8/30/2012,0,0,1/2/17,2.49,2.61,2.54,4.73,2.4,497870000,,ASX,3690690,-1.8,0.19,1.39,139460000,0.59,1.83,,-0.61,13.37,12.1,0,
APO,5.63,5.56,,,3/9/16,0.03,0.0053,1/2/17,5.55,5.66,5.66,8.28,4.35,943040000,,ASX,463634,0.29,0.31,1.5,81430000,2.98,3.75,19.79,1.29,18.26,16.17,0,
APX,2.8,2.8,,,9/1/16,0.02,0.0071,1/2/17,2.79,2.85,2.82,3.62,1.25,273820000,,ASX,39048,0.11,0.11,0.32,18030000,2.71,8.7,25.18,0,25.64,20.14,0,
APY,0.009,0.009,,,,0,0,1/2/17,0.009,0.009,0.009,0.019,0.006,10430000,,ASX,1025716,0.006,0,0.006,-3210000,17.953,1.5,1.5,0,,,0,
APZ,1.05,1.05,,,6/29/2016,0,0,1/2/17,1.05,1.05,1.05,1.29,0.97,118720000,,ASX,453,0.08,0.06,1.3,5050000,3.19,0.81,12.65,0.2,17.5,11.67,0,
AQC,0.017,0.017,,,,0,0,1/2/17,0.017,0.017,0.017,0.031,0.009,73410000,,ASX,72380,-0.002,,0.003,-4040000,565.466,5.667,,0,,,0,
AQD,0.007,0.007,,,,0.001,0.14286,1/2/17,0.007,0.008,0.008,0.019,0.005,4000000,,ASX,1006000,-0.016,,0.021,-1000000,179.363,0.333,,0,,,0,
AQF,1.89,1.88,,,,-0.01,-0.0053,1/2/17,1.88,1.88,1.88,1.98,1.5,,,ASX,37054,,,0,0,,,,0,,,0,
AQG,2.44,2.44,,,3/25/2014,0.02,0.0082,1/2/17,2.44,2.47,2.46,3.85,1.88,718420000,,ASX,112756,0.08,0.07,2.23,46850000,4.61,1.09,29.29,-8.9,35.14,61.5,0,
AQI,0.19,0.19,,,,-0.01,-0.0769,1/2/17,0.18,0.19,0.18,0.45,0.03,12970000,,ASX,162034,-0.02,,0.02,-1450000,86.62,9.29,,0,,,0,
AQQ,0.017,0.018,,,,0.001,0.05882,1/2/17,0.018,0.018,0.018,0.045,0.012,12760000,,ASX,48000,0,,0.042,-543956,,0.405,,0,,,0,
AQX,0.03,0.03,,,,0,-0.0625,1/2/17,0.03,0.03,0.03,0.06,0.03,5780000,,ASX,200000,-0.04,,0.01,-648557,789.8,2.46,,0,,,0,
AQZ,0.76,0.78,,,9/21/2016,0.02,0.0263,1/2/17,0.78,0.78,0.78,0.88,0.42,94380000,,ASX,65911,0.12,0.12,1.05,42540000,0.5,0.72,6.67,0.52,6.5,6,0,
AR1,0.012,0.011,,,,-0.001,-0.08333,1/2/17,0.011,0.011,0.011,0.022,0.011,2460000,,ASX,1079838,0.024,,0.004,-548259,737.797,3,0.458,0,,,0,
ARA,0.65,0.64,,,9/8/16,0,0,1/2/17,0.64,0.65,0.65,0.69,0.31,130700000,,ASX,133490,0.05,,0.43,12830000,4.23,1.51,12.04,0,,,0,
ARB,16.21,16.12,2.85,0.37,10/6/16,-0.09,-0.0056,1/2/17,15.86,16.23,16.12,18.5,14.46,1280000000,,ASX,103826,0.6,0.66,3.15,69250000,3.6,5.14,26.91,2,24.42,22.08,0,
ARD,0.027,0.027,,,,0,0,1/2/17,0.027,0.027,0.027,0.044,0.018,8600000,,ASX,295042,-0.008,,0.002,-2090000,,13.5,,0,,,0,
ARE,0.006,0.006,,,,0,0,1/2/17,0.006,0.006,0.006,0.028,0.004,3930000,,ASX,242414,-0.016,,0.003,-1150000,316.285,2,,0,,,0,
ARF,1.87,1.87,,,9/29/2016,0.005,0.00267,1/2/17,1.865,1.892,1.875,2.44,1.65,434930000,,ASX,142697,0.315,0.12,1.278,28840000,12.962,1.463,5.952,0,15.625,14.423,0,
ARG,7.61,7.62,,,,0.03,0.0039,1/2/17,7.61,7.67,7.64,7.85,7.11,5190000000,,ASX,84215,0.32,,6.34,220200000,22.68,1.2,23.88,0,,,0,
ARO,0.003,0.003,,,,0,0,1/2/17,0.003,0.003,0.003,0.011,0.001,2650000,,ASX,403577,-0.01,,0.002,-716373,,1.5,,0,,,0,
ARS,0.1,0.1,,,,0,0,1/2/17,0.1,0.1,0.1,0.19,0.08,7350000,,ASX,80000,-0.03,,0.06,-1760000,,1.72,,0,,,0,
