symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio
1AD,0.2,0.22,,,,0,0.0244,31/1/17,0.2,0.23,0.21,0.31,0.17,21000000,,ASX,85000,-0.32,,-0.15,-1170000,27.78,,,0,,,0
1PG,0.185,0.187,,,,0,0,31/1/17,0.175,0.187,0.185,3.48,0.145,28520000,,ASX,498685,-0.127,0.03,0.343,-15200000,36.738,0.539,,0,,,0
1ST,0.06,0.06,,,,0,0.0169,31/1/17,0.06,0.06,0.06,0.08,0.04,12410000,,ASX,10000,-0.06,,0.06,-4350000,6.13,1,,0,,,0
3DP,0.025,0.024,,,,-0.002,-0.08,31/1/17,0.023,0.025,0.023,0.053,0.021,7500000,,ASX,1226336,-0.032,,0.013,-865347,,1.923,,0,,,0
3PL,0.89,0.86,,,10/6/15,0.06,0.0674,31/1/17,0.86,0.95,0.95,1.93,0.62,132080000,,ASX,313662,0.03,0.04,0.31,7740000,2.51,2.84,35.19,2.41,23.75,19,0
4CE,0.024,0.025,,,,0,0,31/1/17,0.024,0.025,0.024,0.064,0.015,5160000000,,ASX,345000,-0.053,,0.025,-1050000,19776.895,0.96,,0,,,0
4DS,0.027,0.026,,,,0.001,0.03704,31/1/17,0.026,0.028,0.028,0.044,0.018,18460000,,ASX,1464999,-0.028,,0.002,-2710000,129.899,13.5,,0,,,0
4WD,0.9,0.9,,,,0,0,31/1/17,0.9,0.91,0.9,1,0.85,,,ASX,19000,,,0,0,,,,0,,,0
88E,0.04,0.04,,,,0,-0.0244,31/1/17,0.04,0.04,0.04,0.08,0.01,155730000,,ASX,4530009,0,,0.01,-9300000,4425.54,4.1,,0,,,0
8EC,1,1,,,,0,0,31/1/17,0.99,1,1,1.05,0.85,41020000000,,ASX,50919,,,0,0,,,,0,,,0
8IH,0.7,0.7,,,8/15/2016,0,0,31/1/17,0.7,0.7,0.7,1.2,0.68,250690000,,ASX,500,0.04,,0.13,13640000,10.66,5.51,18.92,0,,,0
9SP,0.17,0.17,,,,0,0.0303,31/1/17,0.17,0.17,0.17,0.2,0.12,68500000,,ASX,708270,-0.02,,0.03,0,503.66,5,,0,,,0
A2M,2.11,2.13,,,,0.01,0.0047,31/1/17,2.1,2.14,2.12,2.48,1.28,1540000000,,ASX,3221386,0.03,0.08,0.13,39240000,5.98,15.86,68.39,0.57,26.5,21.2,0
A3D,3.4,3.44,,,,-0.19,-0.0559,31/1/17,3.21,3.44,3.21,5.39,0.44,176550000,,ASX,52287,-0.01,,0,-1200000,,3400,,0,,,0
AAC,1.53,1.52,,,9/11/08,-0.065,-0.04248,31/1/17,1.45,1.52,1.465,2.13,1.12,781080000,,ASX,2092693,0.11,0.12,1.751,-144540000,1.842,0.874,13.318,3.42,12.208,13.318,0
AAD,2.1,2.09,,,6/29/2016,0,0,31/1/17,2.08,2.12,2.1,2.97,1.71,972380000,,ASX,2904590,0.09,0.08,1.34,125980000,1.46,1.57,22.34,4.54,26.25,19.09,0
AAJ,0.009,0.009,,,,0,0,31/1/17,0.009,0.009,0.009,0.016,0.005,2080000,,ASX,2009750,-0.002,,0.005,-320488,,1.8,,0,,,0
AAP,0.029,0.035,,,,0.006,0.2069,31/1/17,0.035,0.035,0.035,0.043,0.021,5330000,,ASX,100000,0.002,,0.036,818491,1.277,0.806,17.5,0,,,0
AAR,0.018,0.02,,,,0.001,0.05556,31/1/17,0.019,0.021,0.019,0.027,0.005,4270000,,ASX,1202154,-0.002,,0.007,-391285,,2.571,,0,,,0
AAU,0.015,0.008,,,9/14/2012,-0.007,-0.46667,31/1/17,0.008,0.008,0.008,0.03,0.007,1460000,,ASX,242130,-0.005,0.02,0.012,-142000,0.174,1.25,,0,,,0
AB1,0.058,0.058,,,,0,0,31/1/17,0.058,0.058,0.058,0.27,0.058,11890000,,ASX,77254,-0.037,-0.02,0.027,-5180000,1.41,2.148,,0,,5.8,0
ABA,5.25,5.2,,,3/3/16,0.07,0.0133,31/1/17,5.2,5.32,5.32,5.46,4.8,214140000,,ASX,15489,0.31,0.4,5.38,0,3.32,0.98,17.05,4.42,13.3,12.09,0
ABC,5.16,5.15,0,0,9/14/2016,-0.04,-0.0078,31/1/17,5.12,5.18,5.12,5.99,4.49,3320000000,,ASX,1670308,0.31,0.3,1.83,308900000,2.35,2.82,16.52,8.08,17.07,16.52,0
ABL,0.008,0.009,,,,0.001,0.125,31/1/17,0.009,0.009,0.009,0.016,0.007,3580000,,ASX,65301,-0.003,,0.011,-385641,10.852,0.727,,0,,,0
ABP,2.8,2.81,,,1/17/2017,0.01,0.0036,31/1/17,2.79,2.82,2.81,3.38,2.67,1580000000,,ASX,765924,0.34,0.24,2.72,185790000,5.1,1.03,8.39,5.88,11.71,9.69,0
ABT,0.55,0.55,,,,0,0,31/1/17,0.55,0.55,0.55,1.01,0.45,25580000,,ASX,1500,-0.09,,0.09,-783913,45.28,6.47,,0,,,0
ABU,0.12,0.12,,,,-0.01,-0.04,31/1/17,0.12,0.12,0.12,0.17,0.03,45020000,,ASX,85683,-0.06,0.11,0.06,1670000,1.3,2.16,,0,,,0
ABV,0.006,0.007,,,,0.001,0.16667,31/1/17,0.007,0.007,0.007,0.011,0.006,15400000,,ASX,25463886,-0.001,,0.001,-1180000,2.923,6,,0,,,0
ABW,0.78,0.78,,,,-0.02,-0.0256,31/1/17,0.76,0.78,0.76,0.95,0.74,,,ASX,28965,-0.01,,0,0,,,,0,,,0
ABX,0.135,0.14,,,,0,0,31/1/17,0.135,0.14,0.135,0.25,0.097,19190000,,ASX,105358,0.003,,0.125,612333,4.07,1.08,45,0,,,0
ACB,0.09,0.08,,,,-0.01,-0.0909,31/1/17,0.08,0.08,0.08,0.1,0.01,58890000,,ASX,6142,0,0,0.07,-1250000,2126.93,1.21,,0,,,0
ACG,0.07,0.069,,,,-0.002,-0.02857,31/1/17,0.068,0.069,0.068,0.2,0.061,13720000,,ASX,164933,-0.024,-0.01,0.016,-5270000,2.813,4.375,,0,,,0
ACL,0.011,0.011,,,,0,0,31/1/17,0.011,0.011,0.011,0.1,0.006,3570000,,ASX,116000,0.066,-0.05,0.008,22100000,0.142,1.375,0.167,0,,,0
ACQ,1.04,1.03,,,,-0.01,-0.0096,31/1/17,1.03,1.03,1.03,1.09,0.77,,,ASX,33950,,,0,0,,,,0,,,0
ACR,0.31,0.31,0,0,8/18/2015,0,-0.0159,31/1/17,0.31,0.32,0.31,0.83,0.3,51620000,,ASX,210882,0.08,0.03,0.26,19020000,1.84,1.19,3.97,1.4,10.33,,0
ACU,0.03,0.03,,,,0,0.1538,31/1/17,0.03,0.03,0.03,0.08,0.02,5450000,,ASX,560676,-0.04,,0.01,-6640000,158.02,3.25,,0,,,0
ACW,0.059,0.058,,,,-0.002,-0.0339,31/1/17,0.054,0.058,0.057,0.1,0.036,34580000,,ASX,667930,-0.006,,0.02,-3260000,9.055,2.95,,0,,,0
ACX,3.1,3.13,,,,-0.08,-0.0258,31/1/17,2.95,3.18,3.02,8.75,2.95,496340000,,ASX,10247039,0.03,0.06,0.58,9410000,4.13,5.35,100.67,3.51,50.33,27.45,0
AD1,0.29,0.29,,,,0,0,31/1/17,0.29,0.29,0.29,0.53,0.27,48250000,,ASX,2249,-0.04,,0.03,-3330000,76,8.53,,0,,,0
ADA,2.33,2.33,1.68,0.03,3/16/2016,0.05,0.0215,31/1/17,2.33,2.39,2.38,3.55,1.8,188660000,,ASX,118152,0.12,,0.26,11870000,3.85,9.1,20.52,0,,,0
ADH,1.475,1.475,,,3/15/2016,-0.02,-0.01356,31/1/17,1.45,1.475,1.455,2.75,1.45,241350000,,ASX,228301,0.164,0.13,0.576,45090000,0.966,2.561,8.872,0.79,11.192,9.094,0
ADJ,0.097,0.097,,,,-0.006,-0.06186,31/1/17,0.09,0.097,0.091,0.159,0.08,101310000,,ASX,1117753,-0.008,,0.028,-4030000,13.961,3.464,,0,,,0
ADO,0.04,0.041,,,,-0.001,-0.025,31/1/17,0.039,0.041,0.039,0.074,0.037,44220000,,ASX,1377083,-0.005,,0.01,-3380000,5.068,4,,0,,,0
ADR,0.21,0.21,,,,-0.01,-0.0476,31/1/17,0.19,0.21,0.2,0.6,0.11,33800000,,ASX,1471770,-0.05,-0.06,0.18,-6330000,16.89,1.15,,0,,,0
ADV,0.029,0.029,,,,0,0,31/1/17,0.029,0.03,0.029,0.053,0.016,,,ASX,883003,-0.001,,0,0,,,,0,,,0
ADX,0.018,0.018,,,,0,0,31/1/17,0.018,0.018,0.018,0.018,0.003,13970000,,ASX,672215,-0.002,0,0.001,-1900000,2516.625,18,,0,,,0
AEB,0.054,0.054,,,,-0.003,-0.05556,31/1/17,0.051,0.054,0.051,0.078,0.042,17390000,,ASX,435369,-0.01,,-0.002,-3170000,,,,0,,,0
AEE,0.035,0.036,,,,0.002,0.05714,31/1/17,0.036,0.037,0.037,0.043,0.013,26320000,,ASX,948584,-0.004,-1,0.03,-1520000,5073.602,1.167,,0,,,0
AEF,87.5,87.5,,,9/8/16,0.5,0.0057,31/1/17,87.5,88,88,92.5,60,98120000,,ASX,367,2.72,,11.71,5430000,4.23,7.47,32.38,0,,,0
AEG,1.04,1.05,,,,0.01,0.0096,31/1/17,1.05,1.05,1.05,1.37,0.99,,,ASX,96688,-0.02,,0,0,,,,0,,,0
AEI,0.39,0.385,,,,-0.005,-0.01282,31/1/17,0.385,0.385,0.385,0.47,0.345,59650000,,ASX,500,-0.014,,0.035,-2530000,43.845,11.143,,0,,,0
AFG,1.48,1.45,,,9/2/16,-0.06,-0.0405,31/1/17,1.42,1.45,1.42,1.45,0.9,,,ASX,392026,0.11,0.11,0,0,,,,0,,,0
AFI,5.92,5.96,,,,0,0,31/1/17,5.92,5.97,5.92,5.97,5.32,6730000000,,ASX,377293,0.21,,5.01,0,24.71,1.18,28.19,0,,,0
AFY,2.65,2.64,,,,0,0,31/1/17,2.63,2.65,2.65,3.14,1.05,,,ASX,19580,,-0.01,0,0,,,,0,,53,0
AGD,0.16,0.16,,,,-0.015,-0.09375,31/1/17,0.145,0.16,0.145,0.23,0.12,75250000,,ASX,5000,0.039,,0.176,5250000,1.486,0.909,3.718,0,,,0
AGE,0.018,0.017,,,,0.001,0.05556,31/1/17,0.017,0.019,0.019,0.024,0.008,6840000,,ASX,1312800,-0.028,,0.037,-955067,,0.486,,0,,,0
AGI,1.83,1.81,7.31,0.11,2/26/2016,-0.02,-0.0109,31/1/17,1.8,1.84,1.81,2.64,1.6,593170000,,ASX,738201,0.17,0.14,0.96,88920000,2.1,1.9,10.71,0.66,12.93,10.65,0
AGL,22.66,22.45,4.49,0.73,8/24/2016,-0.06,-0.0026,31/1/17,22.31,22.68,22.6,22.95,16.51,15250000000,,ASX,1732816,-0.61,1.16,11.73,1650000000,1.37,1.93,,1.77,19.48,17.12,0
AGO,0.045,0.044,0,0,9/10/14,-0.001,-0.02222,31/1/17,0.043,0.045,0.044,0.05,0.008,395810000,,ASX,38128363,-0.045,0,0.03,60360000,0.515,1.5,,0,,,0
AGR,0.082,0.082,,,,-0.001,-0.0122,31/1/17,0.081,0.082,0.081,0.145,0.075,29710000,,ASX,416581,-0.016,,0.066,-2300000,511.059,1.242,,0,,,0
AGS,0.09,0.09,,,,0.01,0.0588,31/1/17,0.09,0.09,0.09,0.2,0.02,9390000,,ASX,373250,0.46,,0.24,-1030000,12.74,0.36,0.19,0,,,0
AGY,0.026,0.028,,,,0.002,0.07692,31/1/17,0.027,0.028,0.028,0.046,0.003,14400000,,ASX,2074806,0,,0.002,0,3391.418,13,,0,,,0
AHF,0.165,0.17,,,,0,0,31/1/17,0.165,0.17,0.165,0.35,0.165,30200000,,ASX,511033,-0.006,0,0.038,-1470000,3.067,4.342,,0,,,0
AHG,3.95,3.94,,,3/17/2016,-0.04,-0.0101,31/1/17,3.9,3.95,3.91,5,3.52,1200000000,,ASX,1131856,0.29,0.31,2.27,221520000,0.22,1.74,13.3,4.09,12.61,11.85,0
AHK,0.15,0.145,,,,-0.005,-0.03333,31/1/17,0.145,0.145,0.145,0.39,0.073,7050000,,ASX,7690,-0.018,,0.003,-405997,,50,,0,,,0
AHL,0.074,0.076,,,,0.002,0.02703,31/1/17,0.076,0.076,0.076,0.58,0.051,12170000,,ASX,1480,-0.095,-0.01,0.026,-13920000,2.236,2.846,,0,,,0
AHQ,0.04,0.03,,,,-0.01,-0.1429,31/1/17,0.03,0.03,0.03,0.17,0.01,1060000,,ASX,1163000,-0.09,,-0.01,-238293,18.2,,,0,,,0
AHY,1.42,1.42,,,3/1/16,0.09,0.0634,31/1/17,1.41,1.61,1.51,2.33,1.24,845810000,,ASX,12161052,0.12,0.11,0.56,134650000,1.31,2.55,12.91,-12.45,13.73,12.58,0
AHZ,0.375,0.355,,,,-0.03,-0.08,31/1/17,0.34,0.355,0.345,0.68,0.28,67710000,,ASX,1265496,-0.126,-0.05,0.106,-27810000,5.201,3.538,,15.87,,,0
AIA,6.58,6.55,,,9/28/2016,-0.01,-0.0015,31/1/17,6.52,6.62,6.57,7.59,5.03,7820000000,,ASX,26701,0.16,0.2,2.37,310950000,19.05,2.78,41.06,2.97,32.85,29.86,0
AIB,0.765,0.795,,,,0.03,0.03922,31/1/17,0.795,0.795,0.795,0.86,0.65,6000000000,,ASX,4584,-0.077,,0.765,0,42687.047,1,,0,,,0
AIK,0.18,0.18,,,5/4/07,0,0,31/1/17,0.17,0.18,0.18,0.19,0.1,,,ASX,409549,0.03,,0,0,,,,0,,,0
AIY,0.024,0.026,,,,0.002,0.08333,31/1/17,0.026,0.026,0.026,0.061,0.008,3680000,,ASX,135000,-0.002,,0.013,0,2725.781,1.846,,0,,,0
AIZ,2.08,2.06,,,9/8/16,0,0,31/1/17,2.02,2.08,2.08,2.95,1.61,2340000000,,ASX,245111,0.3,0.31,1.36,840670000,0.62,1.53,7.03,1.17,6.71,7.7,0
AJA,6.3,6.28,0,0,6/29/2016,0,0,31/1/17,6.22,6.3,6.3,7.47,5.16,,,ASX,46067,2.16,0.59,0,0,,,,11.87,10.68,9.84,0
AJC,0.006,0.006,,,,0,0,31/1/17,0.006,0.006,0.006,0.007,0.002,5420000,,ASX,1161000,-0.011,,0.002,-305687,31.257,3,,0,,,0
AJD,1.54,1.535,,,9/29/2016,-0.005,-0.00325,31/1/17,1.5,1.54,1.535,1.67,1.25,176520000,,ASX,472550,0.275,0.11,1.425,0,13.296,1.081,5.582,9.09,13.955,13.955,0
AJM,0.18,0.185,,,11/25/2002,-0.005,-0.02778,31/1/17,0.172,0.185,0.175,0.282,0.051,213930000,,ASX,2546902,-0.035,-0.01,0.017,-7000000,162.995,10.588,,0,,17.5,0
AJQ,0.074,0.073,,,,-0.001,-0.01351,31/1/17,0.073,0.073,0.073,0.125,0.052,23570000,,ASX,70000,-0.06,-0.02,0.157,-8910000,295.391,0.471,,0,,,0
AJX,0.68,0.67,,,,-0.025,-0.03676,31/1/17,0.65,0.675,0.655,0.905,0.465,195670000,,ASX,861471,-0.07,0.02,0.038,-15700000,67.686,17.895,,0,32.75,65.5,0
AKG,0.18,0.185,,,3/6/15,0.005,0.02778,31/1/17,0.185,0.185,0.185,0.31,0.1,14090000,,ASX,10765,-0.06,,0.331,1300000,0.249,0.544,,0,,,0
AKK,0.005,0.005,,,,0.001,0.2,31/1/17,0.005,0.006,0.006,0.012,0.004,6710000,,ASX,3855745,-0.014,0.04,0.01,-3410000,9.219,0.5,,0,,,0
AKM,0.029,0.029,,,,0,0,31/1/17,0.029,0.029,0.029,0.059,0.005,26920000,,ASX,77744,-0.002,-0.03,0.037,-1780000,,0.784,,0,,,0
AKP,12.89,12.89,,,,-0.22,-0.0171,31/1/17,12.54,13.09,12.67,34.8,6.95,340730000,,ASX,9245,-0.22,,0.15,-3800000,,83.7,,0,,,0
ALC,0.089,0.09,,,,-0.005,-0.05618,31/1/17,0.084,0.09,0.084,0.145,0.035,50630000,,ASX,3288889,-0.006,,0.011,-1400000,13.182,8.091,,0,,,0
ALF,1.42,1.42,,,,0,0.0035,31/1/17,1.42,1.43,1.43,1.58,1.36,,,ASX,125222,0.11,,0,0,,,,0,,,0
ALI,1.68,1.68,,,,-0.015,-0.00893,31/1/17,1.665,1.68,1.665,1.965,1.615,,,ASX,11000,,,0,0,,,,0,,,0
ALK,0.35,0.35,,,,-0.01,-0.0286,31/1/17,0.33,0.35,0.34,0.65,0.18,161890000,,ASX,1475658,0.01,0.01,0.4,36240000,1.52,0.88,30.91,18.25,34,,0
ALL,15.18,15.32,1.9,0.22,6/1/16,0.1,0.0066,31/1/17,15.17,15.39,15.28,16.68,9.24,9740000000,,ASX,1960938,0.55,0.74,1.7,763000000,4.54,8.93,27.83,1.59,20.65,18.41,0
ALQ,6.05,6.04,2.21,0.1,12/5/16,-0.13,-0.0215,31/1/17,5.88,6.1,5.92,6.6,2.93,2970000000,,ASX,1224360,-0.49,0.21,2.35,223000000,2.29,2.57,,1.73,28.19,21.93,0
ALR,1.13,1.13,,,,-0.01,-0.0132,31/1/17,1.12,1.13,1.12,1.16,0.95,,,ASX,23836,0.04,,0,0,,,,0,,,0
ALT,0.005,0.006,,,,0.001,0.2,31/1/17,0.006,0.006,0.006,0.01,0.002,13210000,,ASX,403999,-0.003,,0.001,-3820000,5.254,5,,0,,,0
ALU,8.36,8.29,3.6,0.22,9/22/2016,-0.29,-0.0347,31/1/17,8,8.29,8.07,9.98,4.87,1050000000,,ASX,666901,0.18,0.22,1,28590000,11.62,8.33,45.08,1.56,36.68,29.89,0
ALY,0.02,0.02,,,,0,0.0526,31/1/17,0.02,0.02,0.02,0.03,0.01,4620000,,ASX,82307,0,,0.06,-552102,,0.32,,0,,,0
AMA,1.02,1.02,,,3/3/16,-0.03,-0.0294,31/1/17,0.98,1.02,0.99,1.15,0.75,468460000,,ASX,187030,0.01,0.05,0.31,24680000,1.83,3.29,66,-9.38,19.8,16.5,0
AMC,14.27,14.35,,,9/6/16,0.03,0.0021,31/1/17,14.24,14.4,14.3,16.66,12.06,16530000000,,ASX,2037544,0.21,0.59,0.68,1380000000,1.75,21.05,69.08,2.31,24.24,22,0
AMH,0.93,0.94,,,,0.01,0.0162,31/1/17,0.94,0.94,0.94,1.03,0.83,242500000,,ASX,10000,0.02,,0.87,0,35.62,1.07,49.47,0,,,0
AMI,0.17,0.17,,,,0,0.0303,31/1/17,0.17,0.18,0.17,0.22,0.05,65960000,,ASX,12426250,0.02,0.03,-0.06,32110000,0.7,,7.08,0.46,5.67,1.55,0
AML,0.17,0.18,,,,0.02,0.0857,31/1/17,0.18,0.19,0.19,0.2,0.03,64760000,,ASX,90032,-0.01,,0.09,-1650000,,1.84,,0,,,0
AMP,5.09,5.08,8.5,0.29,8/31/2016,-0.09,-0.0177,31/1/17,4.96,5.08,5,5.96,4.39,14640000000,,ASX,9970972,0.34,0.24,2.94,2780000000,1.29,1.73,14.88,125,20.83,14.29,0
ANG,0.19,0.19,,,3/3/14,0,-0.027,31/1/17,0.18,0.19,0.18,0.22,0.08,94720000,,ASX,633550,-0.27,0,0.26,-10840000,0.52,0.71,,0,,18,0
ANL,0.039,0.04,,,,-0.002,-0.05128,31/1/17,0.036,0.04,0.037,0.085,0.018,35600000,,ASX,1473102,-0.016,,0.016,-2600000,2747.638,2.438,,0,,,0
ANN,23.7,23.85,,,9/19/2016,0.08,0.0034,31/1/17,23.67,24.21,23.78,25.67,14.76,3510000000,,ASX,878001,1.04,1.07,7.59,267300000,2.23,3.12,22.76,5.39,22.22,21.04,0
ANP,0.038,0.038,,,,0,0,31/1/17,0.038,0.038,0.038,0.06,0.028,6140000,,ASX,50000,-0.014,,0.028,-2540000,4.017,1.357,,0,,,0
ANR,1.3,1.3,,,,0,0,31/1/17,1.26,1.3,1.3,1.8,0.97,64240000,,ASX,68228,-0.01,-0.04,0.27,-990867,26.24,4.76,,0,,65,0
ANW,0.01,0.01,,,,0,0,31/1/17,0.01,0.01,0.01,0.02,0,15070000,,ASX,1390000,0,,0.01,-1030000,6211.71,1.43,,0,,,0
ANZ,29.55,29.37,7.79,1.68,11/14/2016,-0.26,-0.0088,31/1/17,29.12,29.54,29.29,31.84,21.86,84910000000,,ASX,5086988,1.89,2.31,19.94,0,4.61,1.48,15.47,1.71,12.68,12.15,0
AO1,0.22,0.22,,,,0,0,31/1/17,0.22,0.22,0.22,0.22,0.02,13320000000,,ASX,117436,-2.92,,0,0,,,,0,,,0
AOA,0.008,0.008,,,,0,0,31/1/17,0.008,0.008,0.008,0.015,0.005,1920000,,ASX,918496,-0.004,,0.01,-301544,,0.8,,0,,,0
AOF,2.06,2.05,,,9/29/2016,0,0,31/1/17,2.05,2.06,2.06,2.29,1.97,,,ASX,387818,,0.17,0,0,,,,0,,,0
AOG,3.18,3.1,,,6/29/2016,0.01,0.0031,31/1/17,3.1,3.2,3.19,3.69,2.77,1730000000,,ASX,793897,0.22,0.19,3.01,61000000,3.87,1.06,14.43,0.75,16.79,13.87,0
AOH,0.14,0.135,,,,-0.005,-0.03571,31/1/17,0.135,0.14,0.135,0.15,0.085,72490000,,ASX,157606,-0.01,-0.01,0.107,-6320000,,1.308,,-1.23,,,0
AOK,0.04,0.041,,,,0.004,0.1,31/1/17,0.041,0.044,0.044,0.067,0.041,24750000,,ASX,134765,-0.036,0,0.067,-127324,2.934,0.597,,0,,,0
AON,0.145,0.145,,,,0,0,31/1/17,0.145,0.145,0.145,0.15,0.03,18000000,,ASX,68900,-0.473,,0.046,-1060000,2159.411,3.152,,0,,,0
AOP,0.07,0.073,,,,0.005,0.07143,31/1/17,0.073,0.075,0.075,0.2,0.05,11050000,,ASX,451661,-0.002,,0.054,22536,45.87,1.296,,0,,,0
AOU,0.22,0.22,,,,0.02,0.0698,31/1/17,0.22,0.23,0.23,0.23,0.06,17670000,,ASX,162568,0.04,,0.11,-1250000,376.25,1.9,6.05,0,,,0
AOW,0.06,0.059,,,,-0.001,-0.01667,31/1/17,0.059,0.059,0.059,0.21,0.058,11150000,,ASX,100000,-0.014,,0.058,-2310000,,1.034,,0,,,0
APA,8.42,8.4,4.63,0.3,6/29/2016,0,0,31/1/17,8.35,8.47,8.42,9.85,7.15,9380000000,,ASX,2495510,0.16,0.22,3.62,1330000000,4.48,2.33,52.3,1.76,38.27,33.68,0
APC,0.115,0.12,,,,0,0,31/1/17,0.115,0.12,0.115,0.12,0.115,16970000,,ASX,154508,-0.044,,0.005,-4730000,1004.739,23,,0,,,0
APD,0.42,0.42,,,3/15/2016,0.01,0.0238,31/1/17,0.4,0.43,0.43,0.64,0.35,125860000,,ASX,3306321,0.17,0.01,0.47,5400000,6.18,0.9,2.53,0,,,0
APE,9.6,9.68,,,3/24/2016,0.02,0.0021,31/1/17,9.52,9.93,9.62,12.5,8.41,1780000000,,ASX,47702,0.48,0.52,3.77,165800000,0.52,2.55,20.04,2.18,18.5,16.88,0
API,1.91,1.9,,,11/3/16,-0.025,-0.01309,31/1/17,1.865,1.92,1.885,2.24,1.565,921950000,,ASX,1897211,0.105,0.12,1.097,102780000,0.243,1.741,17.952,1.62,15.708,14.5,0
APL,1.095,1.095,,,,0,0,31/1/17,1.085,1.1,1.095,1.1,1.025,,,ASX,598234,,,0,0,,,,0,,,0
APN,2.55,2.55,,,8/30/2012,-0.01,-0.0039,31/1/17,2.51,2.6,2.54,4.73,2.4,497870000,,ASX,1004912,-1.8,0.19,1.39,139460000,0.59,1.83,,-0.61,13.37,12.1,0
APO,5.63,5.6,,,3/9/16,0,0,31/1/17,5.56,5.63,5.63,8.28,4.35,938040000,,ASX,693602,0.29,0.31,1.5,81430000,2.98,3.75,19.69,1.29,18.16,16.09,0
APW,1.565,1.57,,,9/29/2016,0.01,0.00639,31/1/17,1.57,1.575,1.575,1.59,1.1,,,ASX,13010,0.095,,0,0,,,,0,,,0
APX,2.86,2.89,,,9/1/16,-0.06,-0.021,31/1/17,2.78,2.94,2.8,3.62,1.25,271870000,,ASX,184625,0.11,0.11,0.32,18030000,2.77,8.88,25,0,25.45,20,0
APY,0.009,0.009,,,,0,0,31/1/17,0.008,0.009,0.009,0.019,0.006,10430000,,ASX,3598880,0.006,0,0.006,-3210000,17.953,1.5,1.5,0,,,0
APZ,1.04,1.05,,,6/29/2016,0.01,0.0096,31/1/17,1.05,1.08,1.05,1.29,0.97,118720000,,ASX,6388,0.08,0.06,1.3,5050000,3.16,0.8,12.65,0.2,17.5,11.67,0
AQC,0.018,0.018,,,,-0.001,-0.05556,31/1/17,0.017,0.018,0.017,0.031,0.009,73410000,,ASX,670932,-0.002,,0.003,-4040000,598.729,6,,0,,,0
AQD,0.009,0.009,,,,-0.002,-0.22222,31/1/17,0.007,0.009,0.007,0.019,0.005,3500000,,ASX,4916666,-0.016,,0.021,-1000000,230.609,0.429,,0,,,0
AQF,1.91,1.89,,,,-0.02,-0.0105,31/1/17,1.89,1.89,1.89,1.98,1.5,,,ASX,5210,,,0,0,,,,0,,,0
AQG,2.39,2.43,,,3/25/2014,0.05,0.0209,31/1/17,2.41,2.47,2.44,3.85,1.88,712580000,,ASX,323221,0.08,0.07,2.23,46850000,4.51,1.07,29.05,-8.9,34.86,61,0
AQI,0.21,0.2,,,,-0.015,-0.07143,31/1/17,0.195,0.205,0.195,0.45,0.033,14050000,,ASX,171553,-0.024,,0.021,-1450000,93.283,10,,0,,,0
AQQ,0.017,0.017,,,,0,0,31/1/17,0.016,0.017,0.017,0.045,0.012,12050000,,ASX,1368891,0,,0.042,-543956,,0.405,,0,,,0
ARA,0.65,0.65,,,9/8/16,0,0,31/1/17,0.65,0.65,0.65,0.69,0.31,130700000,,ASX,2443,0.05,,0.43,12830000,4.23,1.51,12.04,0,,,0
ARB,16.38,16.27,2.85,0.37,10/6/16,-0.17,-0.0104,31/1/17,16.01,16.35,16.21,18.5,14.46,1280000000,,ASX,122992,0.6,0.66,3.15,69250000,3.63,5.2,27.06,2.04,24.56,22.21,0
ARD,0.029,0.029,,,,-0.002,-0.06897,31/1/17,0.026,0.029,0.027,0.044,0.018,8600000,,ASX,1562624,-0.008,,0.002,-2090000,,14.5,,0,,,0
